ticker,gate,struct,budget,mean,t,sharpe,maxDD,worst,worst3,y2020,y2022,dSharpe,dDD,dMean
-,none,-,0.0,1.5059508351304012,3.6695482708523324,1.3041916800733182,24.970180371039778,-8.251813572160826,-6.8411150953147315,31.951971786993816,-15.701689153652595,0.0,0.0,0.0
SPY,always,put5,1.0,1.4894578295850962,3.637411706480955,1.2927700453690674,25.078539239037724,-8.230852426966552,-6.8682051278241225,32.05217701251131,-15.534164754396903,-0.011421634704250838,0.10835886799794636,-0.016493005545304973
SPY,always,put5,2.0,1.4729648240397912,3.6038874575366084,1.2808552146251273,25.186898107035653,-8.209891281772277,-6.8952951603335135,32.15238223802881,-15.366640355141215,-0.023336465448190902,0.21671773599587496,-0.032986011090609946
SPY,always,put5,3.0,1.4564718184944856,3.568995513044061,1.2684542921273314,25.2952569750336,-8.188930136578003,-6.922385192842904,32.252587463546305,-15.199115955885526,-0.0357373879459868,0.3250766039938213,-0.049479016635915585
SPY,always,put5,5.0,1.4234858074038759,3.4952109246555274,1.2422305612506128,25.511974711029488,-8.147007846189455,-6.976565257861687,32.45299791458129,-14.864067157374148,-0.061961118822705386,0.5417943399897105,-0.08246502772652531
SPY,always,put10,1.0,1.4830793952749668,3.6205964159575017,1.286793734286611,25.28509836572394,-8.24618894220227,-6.875403406365639,32.113624818591134,-15.656255162986318,-0.01739794578670728,0.31491799468416204,-0.022871439855434383
SPY,always,put10,2.0,1.4602079554195322,3.570261444486617,1.2689042159689223,25.600016360408112,-8.240564312243714,-6.90969171741655,32.275277850188466,-15.61082117232004,-0.03528746410439587,0.6298359893683347,-0.04574287971086899
SPY,always,put10,3.0,1.4373365155640978,3.518582225849768,1.2505369396711197,25.914934355092313,-8.234939682285159,-6.94398002846746,32.43693088178579,-15.56538718165376,-0.05365474040219853,0.9447539840525359,-0.06861431956630337
SPY,always,put10,5.0,1.3915936358532286,3.4113684376345685,1.212432159393375,26.54477034446067,-8.22369042236805,-7.012556650569278,32.76023694498044,-15.474519200321206,-0.09175952067994331,1.574589973420892,-0.11435719927717258
SPY,always,spr5_15,1.0,1.4938120477303265,3.648740396435221,1.2967963674376015,24.907531634940977,-8.216444615417823,-6.862846630551665,31.980870758423045,-15.40534327594432,-0.007395312635716689,-0.06264873609880084,-0.01213878740007468
SPY,always,spr5_15,2.0,1.4816732603302518,3.6265290707111726,1.2889022551178924,24.844882898842133,-8.181075658674821,-6.8845781657886,32.00976972985228,-15.10899739823605,-0.015289424955425845,-0.1252974721976443,-0.02427757480014936
SPY,always,spr5_15,3.0,1.4695344729301771,3.602921591495065,1.280511936825663,24.782234162743308,-8.145706701931818,-6.906309701025535,32.03866870128151,-14.81265152052778,-0.023679743247655205,-0.18794620829647002,-0.03641636220022404
SPY,always,spr5_15,5.0,1.4452568981300276,3.551570603456648,1.2622613167438368,24.65693669054567,-8.074968788445812,-6.949772771499404,32.09646664413997,-14.219959765111238,-0.04193036332948141,-0.3132436804941072,-0.06069393700037362
SPY,vix<20,put5,1.0,1.499219950737255,3.655008918362297,1.2990242585948284,24.846495208994654,-8.251813572160826,-6.875192176222214,32.10167960554349,-15.445519661701857,-0.005167421478489809,-0.12368516204512403,-0.006730884393146175
SPY,vix<20,put5,2.0,1.4924890663441086,3.639645890872411,1.2935640953392589,24.72281004694952,-8.251813572160826,-6.909269257129696,32.25138742409316,-15.189350169751119,-0.010627584734059337,-0.24737032409025872,-0.013461768786292572
