ticker,gate,struct,months,open_pct,mean,mean_mid,paid,best,carry_yr
SPY,always,put5,181,100.0,-25.569442059349228,-24.644819767349617,21.54696132596685,402.72727272727275,-306.83330471219074
SPY,always,put10,181,100.0,-32.34980937197033,-31.05362892991474,17.67955801104972,583.1578947368422,-388.19771246364394
SPY,always,spr5_15,181,100.0,-22.04318460922722,-19.95095123882432,23.204419889502763,373.134328358209,-264.51821531072665
SPY,vix<20,put5,134,74.03314917127072,-23.128198171417598,-22.13010528282993,20.8955223880597,402.72727272727275,-205.47040143447236
SPY,vix<20,put10,134,74.03314917127072,-30.63904851969267,-29.174554569642332,18.65671641791045,583.1578947368422,-272.196629942905
SPY,vix<20,spr5_15,134,74.03314917127072,-19.575201144700927,-17.401335077783905,22.388059701492537,373.134328358209,-173.90565436839276
SPY,vix<16,put5,77,42.5414364640884,-21.23064847309594,-20.16430799032071,22.07792207792208,402.72727272727275,-108.38187397315276
SPY,vix<16,put10,77,42.5414364640884,-28.907383512235512,-27.202880432580862,19.480519480519483,583.1578947368422,-147.57139428345644
SPY,vix<16,spr5_15,77,42.5414364640884,-18.119241436689837,-15.833497274853938,23.376623376623375,302.7027027027027,-92.49822700277022
SPY,vix<median,put5,95,52.48618784530387,-26.131619507948994,-25.120452650569703,21.052631578947366,402.72727272727275,-164.58589082354615
SPY,vix<median,put10,95,52.48618784530387,-33.98053095272302,-32.443211551156416,18.947368421052634,583.1578947368422,-214.02102368013394
SPY,vix<median,spr5_15,95,52.48618784530387,-22.396558225665828,-20.19717071278598,21.052631578947366,302.7027027027027,-141.06119545446987
QQQ,always,put5,178,100.0,-27.14272631696823,-26.02792327312531,23.03370786516854,376.3888888888889,-325.7127158036187
QQQ,always,put10,178,100.0,-32.78754079603208,-31.060611214016326,17.97752808988764,533.3333333333334,-393.45048955238497
QQQ,always,spr5_15,178,100.0,-24.26229023706615,-21.54729280971399,25.280898876404496,350.25380710659897,-291.1474828447938
QQQ,vix<20,put5,132,74.15730337078652,-24.51870995014191,-23.2917608791803,21.96969696969697,376.3888888888889,-218.18896944395948
QQQ,vix<20,put10,132,74.15730337078652,-30.300664298416958,-28.315860376889724,17.424242424242426,533.3333333333334,-269.64186656568796
QQQ,vix<20,spr5_15,132,74.15730337078652,-22.414086020967822,-19.52193033287535,25.0,350.25380710659897,-199.46018122029793
QQQ,vix<16,put5,77,43.258426966292134,-24.45899318830109,-23.14846114293966,23.376623376623375,376.3888888888889,-126.96690846061914
QQQ,vix<16,put10,77,43.258426966292134,-29.63126777068501,-27.36619648505575,16.883116883116884,533.3333333333334,-153.8162439332188
QQQ,vix<16,spr5_15,77,43.258426966292134,-23.12682507158899,-20.18256211173517,27.27272727272727,350.25380710659897,-120.05160879858553
QQQ,vix<median,put5,93,52.24719101123596,-27.924767255219322,-26.68248483349264,21.50537634408602,376.3888888888889,-175.07887784733015
QQQ,vix<median,put10,93,52.24719101123596,-34.20235874913016,-32.108367881560305,16.129032258064516,533.3333333333334,-214.43726047207454
QQQ,vix<median,spr5_15,93,52.24719101123596,-25.463773689693642,-22.54593263926284,23.655913978494624,281.57894736842115,-159.64927773987702
