cik,company,first_10_12b,n
0001530950,"Post Holdings, Inc.",2011-09-26,6
0001531266,"Elio Motors, Inc.",2016-07-25,1
0001532750,"Atlas Resource Partners, L.P.",2011-10-17,6
0001532930,CHESAPEAKE OILFIELD OPERATING LLC,2014-03-17,4
0001534701,Phillips 66,2011-11-14,4
0001534992,"Fiesta Restaurant Group, Inc.",2011-12-09,5
0001544229,"Engility Holdings, Inc.",2012-03-29,5
0001545158,"Kraft Foods Group, Inc.",2012-04-02,7
0001545654,"A & B II, Inc.",2012-04-02,5
0001546640,ADT Corp,2012-04-10,6
0001547282,Justice Delaware Holdco Inc.,2012-04-17,1
0001548106,"Kinbasha Gaming International, Inc.",2012-05-14,1
0001549872,"Comverse, Inc.",2012-06-07,6
0001551152,AbbVie Inc.,2012-06-04,7
0001553226,"McGraw-Hill Education, Inc.",2012-07-11,3
0001555039,Altisource Residential Corp,2012-09-20,5
0001556593,New Residential Investment Corp.,2013-01-07,7
0001559053,Neotope Corp Ltd,2012-10-01,6
0001560385,"Liberty Spinco, Inc.",2012-10-19,5
0001561402,"Satori Beverages International, Ltd.",2013-01-28,1
0001562039,"Corner Store Holdings, Inc.",2012-11-16,5
0001562463,First Internet Bancorp,2012-11-30,3
0001563633,"Archeo, Inc.",2013-03-14,2
0001563665,"Harvard Apparatus Regenerative Technology, Inc.",2013-07-31,3
0001564708,New Newscorp LLC,2012-12-21,7
0001567892,Mallinckrodt plc,2013-02-01,6
0001568762,MUNOZ LUIS ROSENDO,2013-02-08,1
0001571123,"SAIC Gemini, Inc.",2013-03-07,7
0001573516,Murphy USA Inc.,2013-05-06,7
0001573974,"Institute of Kings & Priests, Inc.",2013-04-22,2
0001574085,"Ashford Hospitality Prime, Inc.",2013-06-17,5
0001575360,"FTD Companies, Inc.",2013-04-30,7
0001576197,"Strategic Environmental & Energy Resources, Inc.",2013-05-21,1
0001576263,"Mirati Therapeutics, Inc.",2013-05-10,3
0001579241,Allegion plc,2013-06-17,5
0001579471,Starwood Waypoint Residential Trust,2013-10-31,4
0001579684,New Media Investment Group Inc.,2013-09-27,2
0001583107,"Theravance Biopharma, Inc.",2013-08-01,7
0001583813,QEP Field Services Co,2014-06-26,1
0001587523,Knowles Corp,2013-09-30,6
0001587732,"ONE Gas, Inc.",2013-10-01,5
0001589094,"RIGHTSIDE GROUP, LTD.",2014-01-13,8
0001589096,DOMAIN MEDIA CORP,2014-01-15,1
0001590584,OIS Accommodations SpinCo Inc.,2013-12-12,6
0001590717,"CareTrust REIT, Inc.",2013-11-07,6
0001591517,Time Inc.,2013-11-22,5
0001591877,New Online Co,2013-11-22,5
0001593195,Tribune Publishing Co,2013-12-09,7
0001593538,New Corp,2013-12-06,5
0001593654,Hess Retail Corp,2014-01-08,1
0001594590,PARAGON OFFSHORE LTD.,2014-05-23,3
0001594686,SPG SpinCo Subsidiary Inc.,2013-12-24,4
0001597503,NorthStar Asset Management Group Inc.,2014-02-05,5
0001597672,Rayonier Holding Co,2014-01-29,5
0001598428,TimkenSteel Corp,2014-02-11,5
0001599617,NOW Inc.,2014-02-26,4
0001600486,RED LOBSTER SEAFOOD CO.,2014-03-10,1
0001601046,"Keysight Technologies, Inc.",2014-03-05,9
0001601548,Exelis MSCO Inc.,2014-03-10,6
0001601669,Watford Holdings Ltd.,2019-01-29,1
0001603923,Weatherford International plc,2021-03-29,3
0001603978,"AquaBounty Technologies, Inc.",2014-04-25,10
0001604532,"American Realty Capital Centers, Inc.",2014-04-04,2
0001604738,Ashford Inc,2014-04-07,9
0001606498,"Halyard Health, Inc.",2014-05-06,7
0001606757,"Kimball Electronics, Inc.",2014-05-12,6
0001606965,"Stockbridge/SBE Investment Company, LLC",2014-05-07,1
0001609253,California Resources Corp,2014-06-05,6
0001609702,Dealer Services Holdings LLC,2014-06-10,6
0001610114,New Senior Investment Group Inc.,2014-06-16,5
0001611547,Vornado SpinCo,2014-06-26,4
0001616000,"Xenia Hotels & Resorts, Inc.",2014-08-11,4
0001616318,Vista Outdoor Inc.,2014-08-13,4
0001616741,"New Patriot Transportation Holding, Inc.",2014-08-22,5
0001617227,"J. Alexander's Holdings, Inc.",2015-06-25,3
0001617406,Park Hotels & Resorts Inc.,2016-06-02,7
0001617898,KLX Inc.,2014-08-29,5
0001620280,"COMMUNICATIONS SALES & LEASING, INC.",2014-10-24,5
0001620393,"NexPoint Residential Trust, Inc.",2014-09-29,5
0001620546,Baxalta Inc,2014-12-10,6
0001623595,"Atlas Energy Group, LLC",2014-11-05,5
0001624794,"CSW INDUSTRIALS, INC.",2015-06-17,5
0001626115,PJT Partners Inc.,2015-03-04,5
0001627223,"Chemours Company, LLC",2014-12-18,5
0001627562,Federal-Mogul Motorparts Corp,2014-12-24,1
0001629995,"Columbia Pipeline Group, Inc.",2015-02-06,6
0001630391,"FlexFridge, Inc.",2015-01-21,1
0001630805,"Babcock & Wilcox Enterprises, Inc.",2015-03-16,5
0001631129,"ASB Hawaii, Inc.",2015-03-30,3
0001632127,"Cable One, Inc.",2015-02-27,5
0001632790,"Energizer SpinCo, Inc.",2015-02-06,4
0001633430,"Gaia, Inc.",2015-02-20,4
0001633917,"PayPal Holdings, Inc.",2015-02-25,6
0001633931,Masco SpinCo Corp.,2015-03-04,4
0001633978,Lumentum Holdings Inc.,2015-02-26,6
0001634519,"American Capital Income, Ltd.",2015-09-30,1
0001635718,"Gannett SpinCo, Inc.",2015-03-12,5
0001635881,"Exterran SpinCo, Inc.",2015-03-13,8
0001636519,"MSG SPINCO, INC.",2015-03-27,7
0001637761,SeaSpine Holdings Corp,2015-04-01,4
0001639947,"Care Capital Properties, Inc.",2015-04-23,4
0001641991,"SPX FLOW, Inc.",2015-05-14,4
0001642122,"Gabelli Securities Group, Inc.",2015-05-12,7
0001642380,OncoCyte Corp,2015-11-23,3
0001644440,GCP Applied Technologies Inc.,2015-08-05,8
0001644889,"BIM HOMES, INC.",2015-06-22,2
0001644949,"Vistana Signature Experiences, Inc.",2015-06-16,3
0001645590,Hewlett Packard Enterprise Co,2015-07-01,6
0001646383,Computer Sciences Government Services Inc.,2015-07-10,7
0001646775,"Aabaco Holdings, Inc.",2015-11-16,1
0001648893,"QIG GROUP, LLC",2015-07-30,6
0001650132,"Four Corners Property Trust, Inc.",2015-08-11,6
0001650445,Quorum Health Corp,2015-09-04,7
0001650962,"Manitowoc Foodservice, Inc.",2015-09-01,9
0001653477,Ingevity Corp,2015-10-06,8
0001653821,CEN BIOTECH INC,2015-09-23,2
0001655075,"Armstrong Flooring, Inc.",2015-10-08,5
0001656239,"PNK Entertainment, Inc.",2015-12-22,7
0001657853,"Hertz Rental Car Holding Company, Inc.",2015-12-21,6
0001658678,BIOSTEM TECHNOLOGIES,2024-09-27,5
0001659166,Fortive Corp,2015-12-03,4
0001659910,"Save-A-Lot, Inc.",2016-01-07,3
0001660690,"Versum Materials, LLC",2015-12-18,6
0001661458,"Highlands REIT, Inc.",2015-12-23,1
0001661920,Lonestar Resources US Inc.,2015-12-31,6
0001662618,PERI AL HEDRO CARTA DEY,2016-02-22,1
0001664571,MEL FREE EL,2016-03-01,1
0001668881,JOHN ADAMS SMART EL,2016-05-04,1
0001669811,"Donnelley Financial Solutions, Inc.",2016-03-31,9
0001669812,"LSC Communications, Inc.",2016-03-31,9
0001670541,Adient Ltd,2016-04-27,6
0001671534,Vertiv Co.,2016-04-12,2
0001671584,Aptevo Therapeutics Inc.,2016-04-15,5
0001673358,"Yum! China Holding, Inc.",2016-05-04,8
0001673985,AdvanSix Inc.,2016-05-12,6
0001674168,Hilton Grand Vacations Inc.,2016-06-02,8
0001675149,Alcoa Upstream Corp,2016-06-29,6
0001677203,"HCP SpinCo, Inc.",2016-06-17,5
0001677626,HELENE HOLLOMAN CHIN EL,2016-07-18,1
0001677703,CONDUENT Inc,2016-06-30,7
0001677761,"Parkway, Inc.",2016-07-01,5
0001678043,"C2 Aviation Capital, Inc.",2016-06-30,3
0001679049,"OSG International, INC",2016-07-15,7
0001679273,"Lamb Weston Holdings, Inc.",2016-07-13,5
0001680966,"Agora Holdings, Inc.",2016-08-25,1
0001681622,Varex Imaging Corp,2016-08-11,5
0001681689,Bioverativ Inc.,2016-08-11,5
0001683606,Cars.com Inc.,2016-09-07,6
0001685040,"Brighthouse Financial, Inc.",2016-10-05,6
0001688405,Huntsman Spin Corp,2016-10-28,5
0001689796,JBG SMITH Properties,2017-01-24,5
0001690334,SEACOR Marine Holdings Inc.,2016-12-14,4
0001693577,"MainStreet Bancshares, Inc.",2019-02-15,2
0001699031,"GRAIL, LLC",2024-05-06,3
0001705284,"Private Bancorp of America, Inc.",2026-07-13,2
0001707092,Delphi Jersey Holdings plc,2017-06-09,6
0001707178,CorePoint Lodging Inc.,2017-07-26,6
0001707656,FISHER LORNA,2019-08-30,3
0001708026,WOMACK DAVID DWAYNNE,2019-10-02,1
0001708200,FISHER GREGORY LEE,2019-10-01,1
0001708599,"AgeX Therapeutics, Inc.",2018-06-08,6
0001709179,"Greater States Sports Authority, Inc.",2017-06-19,1
0001710366,CONSOL Mining Corp,2017-07-11,7
0001710482,"John Marshall Bancorp, Inc.",2022-03-04,3
0001720116,"Red Violet, Inc.",2018-02-28,3
0001720635,nVent Electric plc,2017-10-30,6
0001722684,"WYNDHAM HOTELS & RESORTS, INC.",2018-03-19,2
0001722992,Spirit MTA REIT,2018-03-06,3
0001723089,Apergy Corp,2018-03-26,2
0001724670,Ultra SC Inc.,2018-02-08,4
0001726126,Epsilon Energy Ltd.,2018-12-21,2
0001727263,"frontdoor, inc.",2018-08-01,2
0001729149,"VIEMED HEALTHCARE, INC.",2019-07-10,2
0001733186,"Veoneer, Inc.",2018-04-26,3
0001734342,Mercantil Bank Holding Corp,2018-06-15,4
