strategy,alloc_key,ticker,entry_date,exit_date,days_held,exit_type,contracts,risk_per_pos,mlpc,net_pnl_1ct,pnl_dollars,roc_pct,is_win,vix_on_entry
UVXY Bear Call Spread,UVXY combined,UVXY,2025-01-03,2025-01-21,18,early,5,636.9355653733161,121.50000000000001,23.499999999999993,117.49999999999997,19.341563786008223,True,16.13
UVXY Bear Call Spread,UVXY combined,UVXY,2025-01-10,2025-01-15,5,early,3,636.9355653733161,197.99999999999997,36.00000000000003,108.00000000000009,18.181818181818198,True,19.54
UVXY Bear Call Spread,UVXY combined,UVXY,2025-01-17,2025-02-06,20,early,4,636.9355653733161,127.50000000000001,15.499999999999986,61.99999999999994,12.156862745098026,True,15.97
UVXY Bear Call Spread,UVXY combined,UVXY,2025-01-24,2025-02-13,20,early,5,636.9355653733161,119.5,19.499999999999993,97.49999999999997,16.31799163179916,True,14.85
UVXY Bear Call Spread,UVXY combined,UVXY,2025-02-07,2025-02-13,6,early,5,636.9355653733161,114.5,23.5,117.5,20.52401746724891,True,16.54
UVXY Bear Call Spread,UVXY combined,UVXY,2025-02-14,2025-03-07,21,expiry,8,636.9355653733161,78.99999999999999,-78.99999999999999,-631.9999999999999,-100.0,False,14.77
UVXY Bear Call Spread,UVXY combined,UVXY,2025-02-21,2025-02-24,3,early,9,636.9355653733161,64.5,60.5,544.5,93.7984496124031,True,18.21
UVXY Bear Call Spread,UVXY combined,UVXY,2025-02-28,2025-03-21,21,expiry,4,636.9355653733161,157.5,18.500000000000007,74.00000000000003,11.74603174603175,True,19.63
UVXY Bear Call Spread,UVXY combined,UVXY,2025-03-07,2025-03-17,10,early,3,636.9355653733161,209.49999999999997,56.00000000000003,168.00000000000009,26.730310262529848,True,23.37
UVXY Bear Call Spread,UVXY combined,UVXY,2025-03-21,2025-03-24,3,early,6,636.9355653733161,102.49999999999999,27.000000000000014,162.00000000000009,26.341463414634163,True,19.28
UVXY Bear Call Spread,UVXY combined,UVXY,2025-03-28,2025-04-17,20,expiry,5,636.9355653733161,114.00000000000001,-114.00000000000001,-570.0000000000001,-100.0,False,21.65
UVXY Bear Call Spread,UVXY combined,UVXY,2025-04-04,2025-04-14,10,early,1,636.9355653733161,722.5,128.99999999999994,128.99999999999994,17.85467128027681,True,45.31
UVXY Bear Call Spread,UVXY combined,UVXY,2025-04-25,2025-05-08,13,early,3,636.9355653733161,200.0,27.999999999999996,83.99999999999999,13.999999999999998,True,24.84
UVXY Bear Call Spread,UVXY combined,UVXY,2025-05-02,2025-05-08,6,early,5,636.9355653733161,121.50000000000001,44.99999999999999,224.99999999999997,37.03703703703703,True,22.68
