delta_target,vix_threshold,entry_date,expiry,actual_dte,strike,call_entry_delta,call_entry_mid,call_entry_bid,vix_on_entry,exit_date,exit_price,exit_type,days_held,short_pnl,short_pnl_worst,pnl_pct,pnl_pct_worst,margin_reg_t,roc,annualized_roc,breakeven_pct,is_win,is_open,split_flag,missing_exit_data
0.1,,2018-01-12,2018-02-02,21,15.0,0.0863,0.23,0.21,10.16,2018-01-23,0.095,early,11,13.5,11.5,0.5869565217391305,0.5476190476190477,323.0,0.04179566563467492,1.3868561778778494,0.015333333333333334,True,False,False,False
0.1,,2018-01-19,2018-02-09,21,16.0,0.1462,0.355,0.32,11.27,2018-01-23,0.165,early,4,18.999999999999996,15.5,0.5352112676056338,0.484375,355.5,0.05344585091420533,4.876933895921237,0.0221875,True,False,False,False
0.1,,2018-01-26,2018-02-16,21,17.0,0.1056,0.34,0.33,11.08,2018-02-16,0.015,early,21,32.5,31.5,0.9558823529411765,0.9545454545454546,374.00000000000006,0.08689839572192512,1.5103768780239366,0.02,True,False,False,False
0.1,,2018-02-23,2018-03-16,21,32.0,0.0992,0.485,0.46,16.49,2018-03-05,0.145,early,10,34.0,31.500000000000007,0.7010309278350515,0.6847826086956523,688.5,0.04938271604938271,1.802469135802469,0.01515625,True,False,False,False
0.1,,2018-03-09,2018-03-29,20,20.5,0.1007,0.345,0.32,14.64,2018-03-29,0.01,early,20,33.5,31.0,0.9710144927536232,0.96875,444.50000000000006,0.07536557930258717,1.3754218222722157,0.016829268292682924,True,False,False,False
0.1,,2018-03-16,2018-04-06,21,21.0,0.1339,0.395,0.35,15.8,2018-04-05,0.04,early,20,35.50000000000001,31.0,0.89873417721519,0.8857142857142857,459.5,0.07725788900979327,1.4099564744287272,0.01880952380952381,True,False,False,False
0.1,,2018-04-13,2018-05-04,21,27.0,0.0884,0.32,0.28,17.41,2018-04-16,0.14,early,3,18.0,14.000000000000002,0.5625,0.5,572.0,0.03146853146853147,3.8286713286713288,0.011851851851851851,True,False,False,False
0.1,,2018-04-20,2018-05-11,21,25.5,0.0963,0.295,0.26,16.88,2018-04-27,0.095,early,7,20.0,16.5,0.6779661016949152,0.6346153846153846,539.5,0.03707136237256719,1.9330067522838605,0.011568627450980392,True,False,False,False
0.1,,2018-04-27,2018-05-18,21,23.0,0.099,0.285,0.26,15.41,2018-05-04,0.105,early,7,18.0,15.500000000000004,0.6315789473684211,0.5961538461538463,488.50000000000006,0.0368474923234391,1.9213335282936101,0.012391304347826086,True,False,False,False
0.1,,2018-05-04,2018-05-25,21,20.0,0.1359,0.3,0.27,14.77,2018-05-09,0.13,early,5,17.0,14.000000000000002,0.5666666666666667,0.5185185185185186,430.0,0.03953488372093023,2.886046511627907,0.015,True,False,False,False
0.1,,2018-05-11,2018-06-01,21,18.0,0.0978,0.195,0.18,12.65,2018-05-21,0.09,early,10,10.500000000000002,9.0,0.5384615384615385,0.5,379.5,0.027667984189723323,1.0098814229249014,0.010833333333333334,True,False,False,False
0.1,,2018-05-18,2018-06-08,21,17.0,0.1064,0.245,0.23,13.42,2018-06-01,0.105,early,14,14.000000000000002,12.5,0.5714285714285715,0.5434782608695652,364.50000000000006,0.03840877914951989,1.0013717421124828,0.014411764705882353,True,False,False,False
0.1,,2018-05-25,2018-06-15,21,17.0,0.0979,0.26,0.25,13.22,2018-06-04,0.12,early,10,14.000000000000002,13.0,0.5384615384615385,0.52,366.00000000000006,0.03825136612021858,1.3961748633879782,0.015294117647058824,True,False,False,False
0.1,,2018-06-01,2018-06-22,21,20.0,0.0958,0.22,0.2,13.46,2018-06-06,0.1,early,5,12.0,10.0,0.5454545454545454,0.5,422.0,0.02843601895734597,2.075829383886256,0.011,True,False,False,False
0.1,,2018-06-08,2018-06-29,21,16.0,0.0994,0.25,0.23,12.18,2018-06-18,0.105,early,10,14.500000000000002,12.5,0.5800000000000001,0.5434782608695652,345.0,0.04202898550724638,1.534057971014493,0.015625,True,False,False,False
0.1,,2018-06-15,2018-07-06,21,15.0,0.1067,0.245,0.23,11.98,2018-07-05,0.035,early,20,21.0,19.5,0.8571428571428571,0.8478260869565217,324.5,0.06471494607087827,1.1810477657935283,0.01633333333333333,True,False,False,False
0.1,,2018-06-22,2018-07-13,21,16.5,0.0981,0.24,0.22,13.77,2018-07-06,0.08,early,14,15.999999999999998,14.000000000000002,0.6666666666666666,0.6363636363636365,354.0,0.04519774011299434,1.1783696529459238,0.014545454545454545,True,False,False,False
0.1,,2018-06-29,2018-07-20,21,25.0,0.1007,0.255,0.25,16.09,2018-07-06,0.105,early,7,15.000000000000002,14.500000000000002,0.5882352941176471,0.5800000000000001,525.5,0.0285442435775452,1.488378415114857,0.0102,True,False,False,False
0.1,,2018-07-06,2018-07-27,21,18.0,0.1203,0.245,0.22,13.37,2018-07-10,0.115,early,4,13.0,10.5,0.5306122448979592,0.4772727272727273,384.5,0.033810143042912875,3.0851755526658,0.01361111111111111,True,False,False,False
0.1,,2018-07-13,2018-08-03,21,14.5,0.0983,0.2,0.18,12.18,2018-07-25,0.065,early,12,13.5,11.5,0.675,0.6388888888888888,310.00000000000006,0.04354838709677419,1.3245967741935483,0.013793103448275864,True,False,False,False
0.1,,2018-07-20,2018-08-10,21,15.0,0.0986,0.245,0.23,12.86,2018-07-26,0.12,early,6,12.5,11.000000000000002,0.5102040816326531,0.47826086956521746,324.5,0.03852080123266564,2.343348741653826,0.01633333333333333,True,False,False,False
0.1,,2018-07-27,2018-08-17,21,16.0,0.1007,0.225,0.22,13.03,2018-08-02,0.105,early,6,12.000000000000002,11.5,0.5333333333333334,0.5227272727272727,342.5,0.035036496350364967,2.1313868613138687,0.0140625,True,False,False,False
0.1,,2018-08-03,2018-08-24,21,14.0,0.0958,0.19,0.17,11.64,2018-08-08,0.08,early,5,11.0,9.000000000000002,0.5789473684210527,0.5294117647058825,299.0,0.03678929765886288,2.68561872909699,0.013571428571428571,True,False,False,False
0.1,,2018-08-10,2018-08-31,21,14.5,0.0941,0.235,0.21,13.16,2018-08-20,0.11,early,10,12.499999999999998,10.0,0.5319148936170212,0.47619047619047616,313.50000000000006,0.03987240829346091,1.4553429027113234,0.016206896551724137,True,False,False,False
0.1,,2018-08-17,2018-09-07,21,14.0,0.1051,0.23,0.21,12.64,2018-08-23,0.115,early,6,11.5,9.499999999999998,0.5,0.4523809523809523,303.0,0.037953795379537955,2.308855885588559,0.016428571428571428,True,False,False,False
