delta_target,vix_threshold,entry_date,expiry,actual_dte,strike,put_entry_delta,put_entry_mid,put_entry_bid,vix_on_entry,exit_date,exit_price,exit_type,days_held,short_pnl,short_pnl_worst,pnl_pct,pnl_pct_worst,margin_reg_t,roc,annualized_roc,breakeven_pct,is_win,is_open,split_flag,missing_exit_data
0.1,,2018-01-12,2018-02-09,28,6.5,-0.0953,0.1,0.08,10.16,2018-01-19,0.04,early,7,6.000000000000001,4.0,0.6000000000000001,0.5,140.0,0.042857142857142864,2.234693877551021,0.015384615384615385,True,False,False,False
0.1,,2018-01-19,2018-02-16,28,7.0,-0.1444,0.24,0.23,11.27,2018-01-24,0.09,early,5,15.0,14.000000000000002,0.625,0.6086956521739131,164.0,0.09146341463414634,6.676829268292683,0.03428571428571429,True,False,False,False
0.1,,2018-01-26,2018-02-23,28,5.5,-0.1116,0.63,0.01,11.08,2018-02-05,0.125,early,10,50.5,-11.5,0.8015873015873016,-11.5,173.0,0.29190751445086704,10.654624277456646,0.11454545454545455,True,False,False,False
0.1,,2018-02-02,2018-03-02,28,8.5,-0.086,0.26,0.18,17.31,2018-02-12,0.1,early,10,16.0,7.999999999999999,0.6153846153846154,0.4444444444444444,196.00000000000003,0.08163265306122448,2.9795918367346936,0.03058823529411765,True,False,False,False
0.1,,2018-02-09,2018-03-09,28,11.5,-0.0953,1.135,0.53,29.06,2018-02-13,0.35,early,4,78.5,18.000000000000004,0.6916299559471366,0.33962264150943405,343.5,0.22852983988355166,20.85334788937409,0.09869565217391305,True,False,False,False
0.1,,2018-02-16,2018-03-16,28,10.0,-0.091,0.33,0.29,19.46,2018-02-22,0.125,early,6,20.5,16.499999999999996,0.6212121212121212,0.5689655172413792,233.0,0.08798283261802575,5.352288984263233,0.033,True,False,False,False
0.1,,2018-02-23,2018-03-23,28,10.0,-0.1072,0.335,0.3,16.49,2018-02-27,0.055,early,4,28.000000000000004,24.5,0.8358208955223881,0.8166666666666667,233.5,0.11991434689507496,10.94218415417559,0.0335,True,False,False,False
0.1,,2018-03-02,2018-03-29,27,12.0,-0.0895,0.275,0.22,19.59,2018-03-19,0.065,early,17,21.000000000000004,15.5,0.7636363636363637,0.7045454545454546,267.50000000000006,0.07850467289719626,1.6855415063221548,0.02291666666666667,True,False,False,False
0.1,,2018-03-09,2018-04-06,28,10.5,-0.1109,0.19,0.16,14.64,2018-03-14,0.065,early,5,12.5,9.5,0.6578947368421053,0.59375,229.0,0.05458515283842795,3.98471615720524,0.018095238095238095,True,False,False,False
0.1,,2018-03-16,2018-04-13,28,11.0,-0.136,0.265,0.24,15.8,2018-03-19,0.095,early,3,17.0,14.499999999999998,0.6415094339622641,0.6041666666666666,246.50000000000003,0.0689655172413793,8.390804597701147,0.024090909090909093,True,False,False,False
0.1,,2018-03-23,2018-04-20,28,13.5,-0.1012,0.39,0.33,24.87,2018-03-28,0.13,early,5,26.0,20.0,0.6666666666666666,0.6060606060606061,309.0,0.08414239482200647,6.142394822006472,0.02888888888888889,True,False,False,False
0.1,,2018-04-06,2018-05-04,28,12.0,-0.1056,0.915,0.03,21.49,2018-04-09,0.2,early,3,71.50000000000001,-17.0,0.7814207650273226,-5.666666666666667,331.5,0.21568627450980396,26.24183006535948,0.07625,True,False,False,False
