ticker,n,n_oos,avg_roc,median_roc,win_rate,sharpe,oos_avg_roc,oos_win_rate
OIH,24,11,77.42961125982649,65.82707046655256,0.6666666666666666,0.5817464921097819,122.00804860201747,0.7272727272727273
OZK,21,21,44.91156348980428,21.702127659574458,0.6190476190476191,0.542209977312482,44.91156348980428,0.6190476190476191
NOV,22,0,58.65130826028992,12.366294728741824,0.5454545454545454,0.47601895506403746,,
WBD,28,24,55.14970013724828,33.4024020567131,0.5714285714285714,0.45950929289940223,40.751734499677234,0.5416666666666666
TEM,16,16,49.380420425440846,11.273332929562113,0.6875,0.44871963417335925,49.380420425440846,0.6875
EOSE,20,20,44.85424168400143,23.225165562913915,0.6,0.43762229959535,44.85424168400143,0.6
ETHA,17,17,42.082097590885496,37.28571428571428,0.5882352941176471,0.43696756430490835,42.082097590885496,0.5882352941176471
FANG,23,19,51.41829671302245,20.27027027027028,0.5652173913043478,0.41739302376615683,42.75562829304724,0.5263157894736842
BTDR,16,16,32.30707912213379,18.27282109015857,0.6875,0.4107204772089935,32.30707912213379,0.6875
AG,30,11,84.62383676768555,41.983534707415316,0.6666666666666666,0.39650118962071024,140.8484071243097,0.8181818181818182
BE,26,25,37.268221668280816,34.77569979220142,0.5769230769230769,0.37475936865922876,33.330993545764734,0.56
RRC,37,13,32.76874743895271,11.42857142857144,0.5405405405405406,0.3634158930699632,17.216184684869834,0.6153846153846154
LOW,86,21,30.648934952596996,11.174480307677333,0.6162790697674418,0.361009336863881,48.17673175627861,0.6666666666666666
CYBR,22,0,29.687228936487188,-4.706558061821223,0.45454545454545453,0.31396431805890246,,
VLO,103,32,32.25206737659597,7.848101265822774,0.5339805825242718,0.3088481332934266,42.64700989712789,0.59375
WGS,15,15,52.372873184991846,-25.000000000000007,0.4666666666666667,0.3078680997179604,52.372873184991846,0.4666666666666667
SU,82,35,22.43110888704265,20.32438926712054,0.5609756097560976,0.2797463542532128,23.00648734946045,0.5714285714285714
MT,51,11,22.277358725682642,14.285714285714285,0.5686274509803921,0.2781752470174826,-8.430238182251122,0.36363636363636365
ZION,15,15,17.45759276707777,22.597402597402603,0.6,0.2767545355057115,17.45759276707777,0.6
BK,38,3,24.546609294180737,-0.38363171355499964,0.4473684210526316,0.27227929054016764,,
ET,18,4,39.136589549370775,5.770782889426952,0.5555555555555556,0.2708781507069499,,
BBAI,16,16,53.167035826612604,-23.18681318681319,0.25,0.2693967426280016,53.167035826612604,0.25
EOG,76,45,23.695033821725747,22.461368653421637,0.5921052631578947,0.26639820971763295,18.83633007563583,0.6444444444444445
CAT,209,93,24.876685245131043,6.411698537682793,0.5263157894736842,0.26505240916515804,25.163156796243516,0.5806451612903226
TECK,58,29,21.901168919965546,11.851263308437945,0.5517241379310345,0.26012737683124026,10.647524960090934,0.5172413793103449
AR,46,38,20.449759655132993,12.352734468919348,0.5652173913043478,0.254463143392459,27.449814052224042,0.631578947368421
CLF,103,37,22.57036607505682,4.458598726114654,0.5436893203883495,0.25100328100391933,33.53964246024921,0.5945945945945946
URI,73,30,22.927527165563543,5.8921161825726065,0.5068493150684932,0.24687678602866073,30.462988405824778,0.5
HPE,40,21,25.729206808282175,4.311099987485917,0.525,0.24466377313546644,42.324835144641476,0.5714285714285714
MU,148,63,19.69247948830531,1.0919264588329298,0.5067567567567568,0.24286654043695333,35.13731898568742,0.5555555555555556
CEG,25,25,38.7051372297589,-0.7746478873239396,0.48,0.23989825575511076,38.7051372297589,0.48
FUTU,61,45,36.31107669085431,-8.854781582054299,0.45901639344262296,0.23868535291512405,30.165287631295435,0.4666666666666667
PAA,18,2,16.719147413517156,12.222222222222225,0.5,0.23684804405791218,,
PSX,107,52,22.79862032258747,-6.2499999999999964,0.48598130841121495,0.23315455201958718,28.366924151045218,0.46153846153846156
HCA,24,3,15.262775927442325,20.41994667343829,0.5416666666666666,0.2312950267631705,,
KOLD,68,67,18.110064381533537,5.635805911879526,0.5147058823529411,0.2306405826115693,18.575042629927612,0.5223880597014925
JETS,32,6,18.169447896482936,-1.1904761904761911,0.5,0.22832346139539617,29.368746433654945,0.8333333333333334
PAAS,26,25,20.288853940514862,9.07189542483659,0.5384615384615384,0.2241982636789666,22.851759449486806,0.56
STX,164,68,20.823074654385557,-5.817789757412399,0.4817073170731707,0.22128871693086796,24.84783523045835,0.5147058823529411
BSX,70,29,17.92547921124388,-4.916943521594698,0.45714285714285713,0.22081858785334216,15.366621386040794,0.41379310344827586
CMA,28,28,15.611921769060842,-4.3942394239424,0.4642857142857143,0.2124417835547508,15.611921769060842,0.4642857142857143
RCL,121,46,37.98654899313997,7.1907957813998085,0.5289256198347108,0.2074340989944639,28.888566582468048,0.5434782608695652
FDX,175,83,18.45506113421914,2.41245136186768,0.5028571428571429,0.20435653746830088,21.58522025028096,0.5421686746987951
VOD,32,2,15.254191616809575,4.523809523809515,0.5625,0.20268970017373758,,
XOM,228,83,16.695548501510295,-3.787581699346403,0.4692982456140351,0.20053139126863082,28.15779080430359,0.5421686746987951
GM,99,47,15.868215163193517,2.8753993610223736,0.5151515151515151,0.19907900272737353,24.25507125278075,0.5531914893617021
WFC,193,85,19.440005456159827,0.9230769230769171,0.5077720207253886,0.19849587588761938,15.745176875715313,0.5176470588235295
COP,133,65,20.754651639328156,-3.2679738562091507,0.49624060150375937,0.19833756823744308,9.260504963052894,0.38461538461538464
DB,24,5,25.57114681226331,-20.591278640059123,0.4583333333333333,0.19689664951053013,41.65361305361306,0.4
APLD,38,38,31.12087452344027,-7.6804939105862156,0.4473684210526316,0.19564125324790707,31.12087452344027,0.4473684210526316
IOT,63,63,20.258772852658357,-0.48780487804877015,0.49206349206349204,0.19339412054801242,20.258772852658357,0.49206349206349204
COHR,53,50,16.455829904475216,-3.4482758620689538,0.49056603773584906,0.19311673125761256,15.898320292746883,0.48
NEE,34,34,25.34368549026781,2.4787886698864288,0.5294117647058824,0.19229446912552298,25.34368549026781,0.5294117647058824
ERX,49,11,19.62178818567462,-1.463414634146332,0.4897959183673469,0.18849361976361542,26.368142099044178,0.6363636363636364
ETN,20,10,11.949035277404287,-5.651381718797457,0.45,0.1879959113219763,8.669785550569404,0.4
AEM,21,21,14.33979593680886,-2.777777777777775,0.42857142857142855,0.18537380977792842,14.33979593680886,0.42857142857142855
AFL,60,23,24.432143038897262,-0.9818902093944544,0.48333333333333334,0.1802830363483192,-12.313807567067064,0.34782608695652173
HSBC,35,11,22.974772447704083,-24.285714285714278,0.42857142857142855,0.17799319073491374,115.05624304126314,0.7272727272727273
OSCR,22,22,31.442580318784394,-29.742424242424242,0.4090909090909091,0.17522549192878728,31.442580318784394,0.4090909090909091
CVS,145,57,17.88440229484973,-10.60869565217392,0.41379310344827586,0.17439053722261266,30.392766346090486,0.43859649122807015
MRK,154,54,15.890448797682598,-7.25873026531475,0.474025974025974,0.17390831586658284,15.137666889894794,0.48148148148148145
PBR,93,22,13.960630080740447,0.56497175141243,0.5053763440860215,0.16976523162667492,-2.5563396711681077,0.36363636363636365
FEZ,16,3,16.350910430117782,-4.259376986649702,0.4375,0.16672519969824343,,
SIG,88,36,13.48051926073977,-4.404039564458484,0.4659090909090909,0.16555805629607306,26.608473212744613,0.5555555555555556
LRCX,119,55,14.13045898754484,0.041067761806973344,0.5042016806722689,0.16428996333716273,28.067722914261562,0.5818181818181818
SMH,83,33,16.748142614777894,1.6611295681063212,0.5060240963855421,0.16421157759583924,34.03379870938676,0.5757575757575758
INTC,207,77,16.594590061153287,-6.493506493506483,0.463768115942029,0.15768842359028498,25.062587445064576,0.4675324675324675
BKNG,184,86,12.620357175242717,-0.8401956101671797,0.4891304347826087,0.15497102445376712,5.07145369046724,0.46511627906976744
HD,167,56,13.961829305512639,-16.66666666666667,0.41916167664670656,0.15363649562448792,24.009225371925567,0.4642857142857143
