delta_target,vix_threshold,entry_date,expiry,actual_dte,strike,call_entry_delta,call_entry_mid,call_entry_bid,vix_on_entry,exit_date,exit_price,exit_type,days_held,short_pnl,short_pnl_worst,pnl_pct,pnl_pct_worst,margin_reg_t,roc,annualized_roc,breakeven_pct,is_win,is_open,split_flag,missing_exit_data
0.1,,2018-01-12,2018-02-09,28,15.5,0.0964,0.335,0.32,10.16,2018-02-09,8.19,expiry,28,-785.5,-786.9999999999999,-23.44776119402985,-24.593749999999996,343.5,-2.2867540029112083,-29.809471823663966,0.021612903225806453,False,False,False,False
0.1,,2018-01-19,2018-02-16,28,23.0,0.0993,0.3,0.29,11.27,2018-02-14,0.12,early,26,18.0,17.0,0.6,0.5862068965517242,490.00000000000006,0.03673469387755102,0.5156985871271585,0.013043478260869565,True,False,False,False
0.1,,2018-01-26,2018-02-23,28,19.0,0.1,0.36,0.33,11.08,2018-02-23,0.01,early,28,35.0,32.0,0.9722222222222222,0.9696969696969697,416.0,0.08413461538461539,1.0967548076923077,0.01894736842105263,True,False,False,False
0.1,,2018-02-09,2018-03-16,35,91.0,0.1153,0.89,0.79,29.06,2018-02-12,0.245,early,3,64.5,54.50000000000001,0.7247191011235955,0.6898734177215191,1909.0,0.03378732320586694,4.110790990047144,0.00978021978021978,True,False,False,False
0.1,,2018-02-16,2018-03-16,28,55.0,0.0933,0.4,0.36,19.46,2018-02-26,0.14,early,10,26.0,21.999999999999996,0.65,0.611111111111111,1140.0,0.02280701754385965,0.8324561403508772,0.007272727272727273,True,False,False,False
0.1,,2018-02-23,2018-03-23,28,40.0,0.0903,0.5,0.44,16.49,2018-03-05,0.19,early,10,31.0,25.0,0.62,0.5681818181818182,850.0,0.036470588235294116,1.3311764705882352,0.0125,True,False,False,False
0.1,,2018-03-09,2018-04-06,28,30.0,0.0362,0.165,0.15,14.64,2018-04-03,0.045,early,25,12.000000000000002,10.5,0.7272727272727274,0.7,616.5,0.019464720194647206,0.2841849148418492,0.0055000000000000005,True,False,False,False
0.1,,2018-03-16,2018-04-13,28,25.0,0.108,0.35,0.31,15.8,2018-04-05,0.155,early,20,19.499999999999996,15.5,0.557142857142857,0.5,535.0,0.036448598130841114,0.6651869158878504,0.013999999999999999,True,False,False,False
0.1,,2018-03-23,2018-04-20,28,53.0,0.101,0.5,0.44,24.87,2018-03-26,0.2,early,3,30.0,24.0,0.6,0.5454545454545454,1110.0000000000002,0.02702702702702702,3.2882882882882876,0.009433962264150943,True,False,False,False
0.1,,2018-04-06,2018-05-11,35,35.0,0.1569,0.595,0.53,21.49,2018-04-12,0.26,early,6,33.5,27.0,0.5630252100840336,0.5094339622641509,759.5,0.044107965766951945,2.6832345841562435,0.016999999999999998,True,False,False,False
0.1,,2018-04-13,2018-05-11,28,30.0,0.106,0.32,0.29,17.41,2018-04-17,0.06,early,4,26.0,23.0,0.8125,0.7931034482758622,632.0,0.04113924050632911,3.7539556962025316,0.010666666666666666,True,False,False,False
0.1,,2018-04-20,2018-05-18,28,26.0,0.0966,0.385,0.36,16.88,2018-05-01,0.15,early,11,23.5,21.0,0.6103896103896104,0.5833333333333334,558.5,0.04207699194270367,1.3961910962806219,0.014807692307692308,True,False,False,False
