ticker,n_folds,years
DE,3,"2022,2024,2025"
WDC,3,"2021,2024,2025"
CF,3,"2021,2024,2025"
BP,3,"2021,2022,2023"
LVS,3,"2021,2022,2023"
MAR,3,"2021,2022,2023"
MDB,3,"2021,2022,2023"
NUGT,3,"2021,2024,2025"
REGN,3,"2021,2022,2023"
GD,3,"2021,2022,2023"
ASML,3,"2022,2023,2024"
ELF,2,"2024,2025"
DELL,2,"2024,2025"
M,2,"2023,2024"
META,2,"2023,2024"
ON,2,"2024,2025"
MS,2,"2024,2025"
KOLD,2,"2024,2025"
OZK,2,"2024,2025"
AR,2,"2024,2025"
SIRI,2,"2024,2025"
UCO,2,"2024,2025"
CAH,2,"2024,2025"
FANG,2,"2024,2025"
FIVE,2,"2021,2022"
COHR,2,"2024,2025"
CTRA,2,"2024,2025"
CMA,2,"2024,2025"
GME,2,"2021,2023"
NEM,2,"2024,2025"
APO,2,"2022,2023"
GOOGL,2,"2021,2025"
WBD,2,"2024,2025"
MNST,2,"2021,2022"
NOC,2,"2022,2023"
VRTX,2,"2024,2025"
SPGI,2,"2021,2025"
CIEN,1,2025
ARM,1,2025
CCJ,1,2025
WMT,1,2024
CEG,1,2025
SPHR,1,2025
NLY,1,2024
SYM,1,2025
HE,1,2025
YPF,1,2025
VST,1,2025
KVUE,1,2025
UUP,1,2025
NOW,1,2025
BE,1,2025
CLS,1,2025
UBER,1,2021
NFLX,1,2024
SO,1,2021
ADP,1,2021
AIG,1,2021
CME,1,2021
CRWD,1,2021
EWZ,1,2021
GOOG,1,2021
LITE,1,2021
PCG,1,2021
RTX,1,2021
XLI,1,2021
NEE,1,2024
XLY,1,2021
DASH,1,2022
IVV,1,2022
LUMN,1,2022
MJ,1,2022
SAVA,1,2022
AZN,1,2024
GSK,1,2024
HOOD,1,2024
ZION,1,2025
