date,t,symbol,kind,price,stop,stop_pct,tag,below_ema9,adr_vs_21,vol_pace,gap_adr,light_vol,spy_vs_vwap,qqq_vs_vwap,index_above,gated,close,max_up_pct,stopped,result_pct
2026-09-08,09:36,TGTX,UR,54.98,54.09,1.65,undercut PDL 55.56,True,0.4,0.5,-0.3,,,,,,55.75,1.72,False,1.4
2026-09-08,09:37,RVMD,UR,207.93,206.47,0.71,undercut PDL 207.48,True,0.1,0.3,-0.25,,,,,,207.08,2.44,True,-0.7
2026-09-08,09:42,OKTA,UR,168.72,167.17,0.93,undercut PDL 167.47,False,1.8,0.3,-0.19,,,,,,167.59,0.69,True,-0.92
2026-09-08,09:48,SPCX,UR,147.26,145.14,1.46,undercut PDL 147.32,False,1.1,0.9,0.15,,,,,,153.46,5.26,False,4.21
2026-09-08,09:54,LITE,ORB9,922.0,915.88,0.67,,False,0.8,1.1,0.24,True,,,,,978.24,8.48,False,6.1
2026-09-08,09:55,MSFT,UR,493.55,491.2,0.48,undercut PDL 499.36,True,0.5,0.5,-0.66,,,,,,494.02,0.13,True,-0.48
2026-09-08,09:56,TXG,UR,62.12,61.36,1.25,opened below 9 EMA 62.19,True,0.7,0.2,-0.32,,,,,,65.61,6.29,False,5.62
2026-09-08,09:57,MU,UR,1024.92,1009.16,1.56,deep flush,False,1.9,1.1,0.44,,,,,,999.94,0.35,True,-1.54
2026-09-08,09:59,GLW,ORB9,164.28,162.35,1.19,,False,1.7,1.1,0.72,True,,,,,165.99,3.32,False,1.04
2026-09-08,10:24,AMD,ORB9,497.1,493.51,0.73,,False,1.3,1.4,0.7,False,,,,,505.53,3.07,False,1.7
2026-09-08,10:24,AXTI,ORB9,66.6,65.64,1.46,,False,0.2,1.3,0.39,False,,,,,69.53,5.99,False,4.4
2026-09-08,10:29,INTC,ORB9,103.27,102.73,0.53,,False,2.4,1.4,1.22,False,,,,,104.44,2.73,True,-0.52
2026-09-08,11:37,ILMN,UR,214.72,211.64,1.46,undercut PDL 213.95,True,0.5,0.6,0.03,,,,,,211.11,0.49,True,-1.43
