time,open,high,low,close,volume,wap
2024-10-14 09:30:00-04:00,224.48,225.35,221.63,222.13,583658.0,223.771
2024-10-14 09:31:00-04:00,221.91,222.56,220.5,221.35,233491.0,221.447
2024-10-14 09:32:00-04:00,221.11,222.09,219.94,221.94,195912.0,220.844
2024-10-14 09:33:00-04:00,222.05,222.11,219.04,219.32,190648.0,220.905
2024-10-14 09:34:00-04:00,219.5,219.84,217.74,217.87,209489.0,219.12
2024-10-14 09:35:00-04:00,217.9,218.45,216.81,217.96,204111.0,217.6
2024-10-14 09:36:00-04:00,217.96,219.64,216.87,219.12,172063.0,217.905
2024-10-14 09:37:00-04:00,219.29,219.3,218.05,218.87,130271.0,218.688
2024-10-14 09:38:00-04:00,218.97,220.81,218.75,220.72,151543.0,219.903
2024-10-14 09:39:00-04:00,220.66,220.87,218.65,218.86,129868.0,219.751
2024-10-14 09:40:00-04:00,218.99,220.16,218.97,219.84,114902.0,219.334
2024-10-14 09:41:00-04:00,219.84,220.49,219.16,220.35,75209.0,219.75
2024-10-14 09:42:00-04:00,220.35,221.75,219.75,220.0,152633.0,220.88
2024-10-14 09:43:00-04:00,220.11,222.55,219.82,222.19,152575.0,221.725
2024-10-14 09:44:00-04:00,222.19,222.54,221.24,222.25,96382.0,221.982
2024-10-14 09:45:00-04:00,222.12,223.55,221.66,223.11,151187.0,222.534
2024-10-14 09:46:00-04:00,223.27,224.85,222.6,224.17,141490.0,224.106
2024-10-14 09:47:00-04:00,224.4,224.66,223.42,224.44,86343.0,224.093
2024-10-14 09:48:00-04:00,224.25,224.79,223.6,224.71,94304.0,224.178
2024-10-14 09:49:00-04:00,224.8,225.81,223.82,224.86,157213.0,225.122
2024-10-14 09:50:00-04:00,225.03,225.4,223.44,223.5,249227.0,224.729
2024-10-14 09:51:00-04:00,223.62,223.9,222.58,223.31,110641.0,223.195
2024-10-14 09:52:00-04:00,223.34,223.85,222.55,223.77,120809.0,223.132
2024-10-14 09:53:00-04:00,223.85,224.32,223.0,223.26,79046.0,223.414
2024-10-14 09:54:00-04:00,223.21,224.03,223.01,223.47,57551.0,223.537
2024-10-14 09:55:00-04:00,223.19,224.83,223.16,224.48,60099.0,223.995
