time,timestamp,price,open,high,low,close,volume,vwap
2026-08-31 09:30:00,1788183000,166.695,164.79,168.6,164.79,168.1799,478023,166.63664
2026-08-31 09:35:00,1788183300,167.63505,168.06,168.06,167.2101,167.31,120386,167.51436
2026-08-31 09:40:00,1788183600,167.0525,167.31,168.125,165.98,168.12,175172,167.10246
2026-08-31 09:45:00,1788183900,168.85505,168.06,169.88,167.8301,169.5,298922,169.12362
2026-08-31 09:50:00,1788184200,169.18,169.5,169.78,168.58,169.57,223085,169.20266
2026-08-31 09:55:00,1788184500,169.23000000000002,169.61,169.72,168.74,168.84,121343,169.41378
2026-08-31 10:00:00,1788184800,168.82819999999998,168.85,169.2659,168.3905,168.83,141799,168.84928
2026-08-31 10:05:00,1788185100,167.7525,168.71,168.815,166.69,166.78,173949,167.97056
2026-08-31 10:10:00,1788185400,167.465,166.8699,168.38,166.55,168.215,121719,167.49386
2026-08-31 10:15:00,1788185700,168.16,168.12,168.75,167.57,168.54,81348,168.12498
2026-08-31 10:20:00,1788186000,168.665,168.54,168.95,168.38,168.78,86107,168.69355
2026-08-31 10:25:00,1788186300,168.925,168.7,169.29,168.56,168.96,106196,169.01
2026-08-31 10:30:00,1788186600,168.7183,168.91,168.975,168.4616,168.495,90482,168.79467
2026-08-31 10:35:00,1788186900,169.095,168.57,169.8,168.39,169.675,162420,169.3207
2026-08-31 10:40:00,1788187200,169.58499999999998,169.71,169.82,169.35,169.57,130398,169.60249
2026-08-31 10:45:00,1788187500,169.51999999999998,169.605,169.75,169.29,169.37,82601,169.5443
2026-08-31 10:50:00,1788187800,169.12,169.35,169.4,168.84,169.13,104363,169.05974
2026-08-31 10:55:00,1788188100,169.16,169.15,169.37,168.95,169.1,64118,169.16391
2026-08-31 11:00:00,1788188400,168.9525,169.06,169.33,168.575,168.6865,85092,168.98909
2026-08-31 11:05:00,1788188700,168.6091,168.62,168.875,168.3432,168.665,95445,168.60577
2026-08-31 11:10:00,1788189000,168.76,168.72,169.0,168.52,168.57,72119,168.72195
2026-08-31 11:15:00,1788189300,168.42000000000002,168.585,168.66,168.18,168.315,60046,168.41055
