stop,exit,taken,skipped,avg_expo%,fill%,final_x,CAGR%,maxDD%,Sharpe,MAR
1.0%,close<10EMA,3490,19284,88.6464315012335,15.324492842715378,0.1459355140825018,-9.775260854922518,-88.13217828770154,-0.5619479518080115,-0.11091591113306924
1.0%,close<20EMA,2564,20210,86.06849876948544,11.258452621410381,0.22938509074730604,-7.552946826724027,-82.60046937757181,-0.4303684471430517,-0.09143951461339819
1.0%,close<50EMA,1654,21120,84.68416735028869,7.262667954685167,1.6002052169307928,2.5041484033291095,-44.780635117308144,0.1717569117156907,0.05592034138795035
1.0%,hold 20d,3036,19738,88.40032813782042,13.330991481514006,0.21282254917616567,-7.918429103679292,-82.85978701444397,-0.4330763510340717,-0.09556419813508531
1.0%,target 2R,7956,14818,107.38720262511276,34.934574514797575,0.04443944494599459,-15.33084547538559,-96.23627079701578,-0.8577088599165409,-0.1593042347590737
1.0%,target 4R,4641,18133,94.29450369155519,20.378501800298586,0.15816539206454475,-9.38633711349034,-87.54182184925209,-0.5720161630068785,-0.10722117629278619
1.0ATR,close<10EMA,4480,18294,83.60345567687962,19.67155528233951,0.6251717449120959,-2.478302341527505,-63.55176427612523,-0.15678758457206937,-0.03899659387518435
1.0ATR,close<20EMA,3040,19734,83.72231892689007,13.348555370158953,1.9810947749810037,3.7099676655297342,-45.8427163816539,0.3081724048404619,0.08092818136349465
1.0ATR,close<50EMA,1946,20828,84.83429378915923,8.544831825766225,2.7095496902939535,5.391063804306984,-32.93155486000649,0.4335868700875832,0.16370510980197067
1.0ATR,hold 20d,3635,19139,85.81127259907954,15.96118380609467,1.6909562750839875,2.843183265152205,-41.84019787979288,0.2509874544665929,0.06795338954468347
1.0ATR,target 2R,5370,17404,88.14025086125571,23.579520505839994,1.5570253625235337,2.384206259039745,-43.79908416413002,0.21777449738930654,0.054435071064621254
1.0ATR,target 4R,3220,19554,86.70385970996598,14.138930359181522,1.4953668801896385,2.1472125399903508,-41.52845702197412,0.20811535697687797,0.051704606767696365
1.5%,close<10EMA,3644,19130,80.75866311256756,16.000702555545796,0.3712384295790977,-5.156257571613432,-74.01801049042423,-0.23632116630697564,-0.0696622016378095
1.5%,close<20EMA,2547,20227,79.89337707607005,11.18380609466936,0.9804115918736087,-0.10541800671780566,-56.38632972779975,0.057538472210670835,-0.00186956674120664
1.5%,close<50EMA,1680,21094,79.51609596063044,7.376833230877316,0.9309998226705815,-0.3752645833882462,-54.17018040995454,0.039759336552437435,-0.006927512157948915
1.5%,hold 20d,3080,19694,83.25199917982196,13.524194256608412,0.8200248940989064,-1.0518607585749518,-53.2602086399021,-0.010518622811086445,-0.01974946748118644
1.5%,target 2R,5786,16988,89.77650194791477,25.406164924914375,0.7213649500316428,-1.7297808556839822,-51.234551274155,-0.07380114055260713,-0.03376199874237136
1.5%,target 4R,3480,19294,86.20463399630708,15.280583121103012,1.1668207588266375,0.8268122023659341,-46.35815650946999,0.1086107023359718,0.017835312372635737
10d low,close<10EMA,4913,17623,45.20280727564704,21.800674476393326,0.6972966359410082,-1.9025372923153094,-42.58334704290444,-0.298717492428613,-0.04467796508335586
10d low,close<20EMA,2866,19670,46.4924004960166,12.717429889953852,1.343437560795008,1.5795285667737025,-25.09883612727205,0.2797095188445888,0.06293234310802995
10d low,close<50EMA,1423,21113,43.859400293420975,6.314341498047568,1.761280283956462,3.034197683976636,-21.424137109076447,0.44509626305622924,0.14162519911670945
10d low,hold 20d,2765,19771,48.1502785629038,12.269258075967342,2.2701702684900815,4.476751029005577,-20.13261187596277,0.6931579614461038,0.222363151715579
10d low,target 2R,955,21581,37.967853898768,4.2376641817536385,2.100216375377119,3.956563880452335,-16.019512555661166,0.7821311015668081,0.24698403691778484
10d low,target 4R,582,21954,39.058691794136266,2.582534611288605,2.264445010763391,4.299327523344165,-16.324069284443766,0.8294987033683615,0.26337351602895154
2.0ATR,close<10EMA,4967,17799,63.08749139258359,21.817622770798557,0.7014157782219034,-1.871749792063182,-48.605747306756264,-0.20094079205044604,-0.03850881625685871
2.0ATR,close<20EMA,2944,19822,62.44142464746538,12.931564613897917,1.537846539183091,2.323210610403148,-27.61796277042604,0.30352994047771525,0.08411955037070643
2.0ATR,close<50EMA,1548,21218,60.87064912767174,6.799613458666433,2.391853374210809,4.705822780243629,-24.418888295879704,0.5023560780921913,0.19271240865775455
2.0ATR,hold 20d,3101,19665,65.97565268540241,13.621189493103751,2.8828801264462536,5.816133278801772,-24.262360748070776,0.6869714016207997,0.2397183579616935
2.0ATR,target 2R,2147,20619,61.297060823329964,9.430730036018625,1.996759481351395,3.720858382195358,-23.53793279915478,0.4867805453402124,0.15807923380293487
2.0ATR,target 4R,1163,21603,60.32342825946641,5.108495124308178,2.462957263827484,4.81005185658685,-21.810485671806845,0.6672055382345591,0.2205385028543645
20EMA,close<10EMA,4854,17768,70.20404172108357,21.456988771991867,0.673361291403449,-2.0849173682151556,-55.85423010488794,-0.18421834993871766,-0.03732783290182169
20EMA,close<20EMA,2858,19764,70.95853381316431,12.63371938820617,1.8188279321528813,3.2426389069488692,-37.6018580404034,0.35923470680609587,0.0862361350193024
20EMA,close<50EMA,1648,20974,69.40509195301533,7.2849438599593315,1.9703205805920294,3.6435505261028123,-32.59677672524053,0.37103839131077315,0.11177640528124723
20EMA,hold 20d,3331,19291,71.71397060252653,14.724604367429935,2.683817462725371,5.40940501008389,-30.810295671665834,0.525766842972421,0.1755713436745288
20EMA,target 2R,2347,20275,61.190282134869925,10.374856334541597,2.566279364442846,5.031099806728356,-24.85038388798333,0.6126763890361971,0.20245561716095656
20EMA,target 4R,1364,21258,61.69190298296974,6.029528777296437,1.9988845651739864,3.6762907574964254,-29.626527067914378,0.47019276561913526,0.12408780648062728
20d low,close<10EMA,4856,17249,31.663526456867707,21.967880570006784,0.9455794717807916,-0.29767938959002205,-22.274745999095945,-0.05470549808927064,-0.01336398581613922
20d low,close<20EMA,2889,19216,32.41964227179747,13.069441302872653,1.0825413800277461,0.41939171873217607,-18.37569940752035,0.11829919278146062,0.02282317039647143
20d low,close<50EMA,1339,20766,32.231327358605746,6.057453064917439,1.4679440964247965,2.043556535573754,-13.31071277554987,0.45103887365876405,0.15352720549477367
20d low,hold 20d,2532,19573,34.293455363452246,11.454422076453291,1.579838322250952,2.4759079986736765,-14.30158443213866,0.5378801061456294,0.1731212377496994
20d low,target 2R,609,21496,28.323178569615294,2.7550327980095,1.6193487657522931,2.5324417087855267,-12.283153499361976,0.6700658118102119,0.20617194997335736
20d low,target 4R,415,21690,29.58624352301242,1.877403302420267,2.225894893491014,4.2016860325042815,-13.189592305712628,0.9609473244524803,0.318560720840815
3.0%,close<10EMA,5128,17646,81.80569788891032,22.516905242820762,0.830897722456253,-0.9828062383711811,-59.05049740720531,-0.031660922836226416,-0.01664348788789812
3.0%,close<20EMA,3367,19407,82.7628612420569,14.784403266883288,1.1525347658153915,0.753574773968757,-43.360459606606675,0.10293334091250128,0.017379307802676925
3.0%,close<50EMA,1937,20837,85.56466489034585,8.505313076315096,3.2869284451038463,6.455510398329145,-27.3535615084592,0.5090811627040925,0.236002554780033
3.0%,hold 20d,3728,19046,85.5503176880503,16.369544217089665,2.2899877519615517,4.5164847577132905,-33.511173577354555,0.3781473948489153,0.13477548756350752
3.0%,target 2R,3941,18833,87.01578192252475,17.304821287433036,2.5733113060079735,5.154614651709766,-29.35693194140806,0.46233637841545344,0.17558424231788208
3.0%,target 4R,2288,20486,88.24554211928641,10.046544304909107,3.2733302157548176,6.448598674798878,-29.153816114714417,0.5918271712268354,0.22119226688626065
5.0%,close<10EMA,5072,17702,52.11354785816614,22.271010801791515,0.8576661201480339,-0.8152714490900825,-48.14137926208566,-0.07014346293729047,-0.01693494165698239
5.0%,close<20EMA,3008,19766,52.82114320835827,13.208044260999385,1.4071644561704757,1.8394542399902125,-39.196059231328505,0.2476841262866372,0.046929570881962014
5.0%,close<50EMA,1559,21215,54.13398893669284,6.8455255993677,2.2746319565762905,4.426135552877941,-24.253414169665643,0.47890154411148134,0.18249536011362147
5.0%,hold 20d,3030,19744,54.77566072526025,13.304645648546588,2.3471545580012725,4.663730809279709,-27.97376811575062,0.5631018007618914,0.16671800488164473
5.0%,target 2R,1739,21035,55.2673632452363,7.635900588390269,2.3001153711710036,4.498086353112218,-29.085850798758315,0.6255230221946306,0.15464860850156886
