date,ticker,dir,conf,action,r1,b_uni1,b_liq1,b_scr1,n_scr1,r3,b_uni3,b_liq3,b_scr3,n_scr3,r5,b_uni5,b_liq5,b_scr5,n_scr5,r10,b_uni10,b_liq10,b_scr10,n_scr10,r20,b_uni20,b_liq20,b_scr20,n_scr20
2026-07-21,PANW,long,stated,buy,-0.02007891275756246,-0.006558360544670003,-0.007539503400910884,-0.006105890047462956,777,,,,,0,,,,,0,,,,,0,,,,,0
2026-07-21,NET,long,stated,buy,-0.012228709926186965,-0.006558360544670003,-0.007539503400910884,-0.006105890047462956,777,,,,,0,,,,,0,,,,,0,,,,,0
2026-07-20,MSTR,long,stated,buy,0.042220404825189295,0.013917351349651167,0.012330964343850627,0.007124184178552664,732,,,,,0,,,,,0,,,,,0,,,,,0
2026-07-20,COIN,long,stated,buy,0.09611668640528581,0.013917351349651167,0.012330964343850627,0.007124184178552664,732,,,,,0,,,,,0,,,,,0,,,,,0
2026-07-20,BMNR,long,stated,buy,0.03607937462417321,0.013917351349651167,0.012330964343850627,0.007124184178552664,732,,,,,0,,,,,0,,,,,0,,,,,0
2026-07-15,TSLA,long,stated,stopped_out,-0.008619378390711252,-0.005911507794944823,-0.0026760862843611976,0.005901213495679683,765,-0.06309892004258988,-0.019392015162903193,-0.015649859335339154,-0.005701175154882861,765,-0.05184302590883738,-0.016700521894745957,-0.010505465219489332,-0.0016778517041637206,764,,,,,0,,,,,0
2026-07-15,MU,short,stated,hold,0.05648692882735429,0.005911507794944823,0.0026760862843611976,-0.00046764395001375636,276,0.04292918122705347,0.019392015162903193,0.015649859335339154,0.026219199087309932,276,-0.061043039766444096,0.016700521894745957,0.010505465219489332,0.02630907750965744,275,,,,,0,,,,,0
2026-07-15,LITE,short,inferred,hold,0.06086436170212761,0.005911507794944823,0.0026760862843611976,-0.00046764395001375636,276,-0.018018617021276606,0.019392015162903193,0.015649859335339154,0.026219199087309932,276,-0.10332446808510642,0.016700521894745957,0.010505465219489332,0.02630907750965744,275,,,,,0,,,,,0
2026-07-15,INTC,long,stated,buy,-0.05835518011457419,-0.005911507794944823,-0.0026760862843611976,0.005901213495679683,765,-0.05757840567045336,-0.019392015162903193,-0.015649859335339154,-0.005701175154882861,765,-0.0035925818040585256,-0.016700521894745957,-0.010505465219489332,-0.0016778517041637206,764,,,,,0,,,,,0
2026-07-15,DELL,long,stated,sell,-0.05161384123291657,-0.005911507794944823,-0.0026760862843611976,0.005901213495679683,765,-0.07463409905980423,-0.019392015162903193,-0.015649859335339154,-0.005701175154882861,765,0.0705631482019966,-0.016700521894745957,-0.010505465219489332,-0.0016778517041637206,764,,,,,0,,,,,0
