entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
BOTH,1.0%,close<10EMA,319,0,100.0,4.921155027646953,0.8861822591590957,-0.6427197193117351,-33.74613733709298,-0.028642683106213533,-0.019045727008444084
BOTH,1.0%,close<20EMA,313,6,98.11912225705329,5.744419414294506,1.0872262864108062,0.4467435202867298,-39.915012732584174,0.07454069477363039,0.011192368226956264
BOTH,1.0%,close<50EMA,310,9,97.17868338557994,7.710423919721496,1.0830581582391579,0.4250613887743615,-50.64374885734972,0.0738071570035888,0.00839316595561772
BOTH,1.0%,hold 20d,319,0,100.0,5.160761826745869,1.059030456926705,0.3065236005719507,-29.487035776689197,0.06496329940782913,0.010395198855975585
BOTH,1.0%,target 2R,319,0,100.0,2.2731927093999444,0.8437938643877698,-0.9026467235647928,-16.050178017349616,-0.19799883725669745,-0.056239047479041473
BOTH,1.0%,target 4R,319,0,100.0,2.561949621134534,0.8457427795319152,-0.890440773526413,-16.653238697297134,-0.18004310647806823,-0.05346952564073522
BOTH,1.0ATR,close<10EMA,319,0,100.0,3.0863036108558317,1.039716834003245,0.20793309959326045,-9.269990443979182,0.07084823904739608,0.02243077820304681
BOTH,1.0ATR,close<20EMA,319,0,100.0,4.512322100879336,1.4563068743465826,2.0060289060607417,-10.273901375865657,0.2675845586951783,0.1952548338426811
BOTH,1.0ATR,close<50EMA,319,0,100.0,7.013972978063384,1.6366711683049928,2.6230488997865953,-15.590619499661873,0.31524903016826167,0.16824532853511584
BOTH,1.0ATR,hold 20d,319,0,100.0,3.631677064997788,1.2295078920901799,1.106693617603205,-7.240235186694055,0.22845193924905288,0.15285326913648636
BOTH,1.0ATR,target 2R,319,0,100.0,2.2553194661011964,0.9779884398937841,-0.11873556120367557,-11.429746894136738,-0.0183148215762502,-0.010388293135746064
BOTH,1.0ATR,target 4R,319,0,100.0,3.381794412352765,1.1252144467446432,0.6296764743810357,-7.799139489715834,0.1644861482339733,0.08073666014197398
BOTH,1.5%,close<10EMA,319,0,100.0,4.542289576080261,1.1295110730823406,0.6519916233242773,-19.282247313734636,0.10619289687492159,0.033813051596940535
BOTH,1.5%,close<20EMA,311,8,97.4921630094044,5.639975424943664,1.6639114579172782,2.7510555395043212,-19.205356111133355,0.19427692492703913,0.1432441826949271
BOTH,1.5%,close<50EMA,306,13,95.92476489028213,7.823059594511547,1.8322561672539783,3.271498245356308,-28.82508046901654,0.2126874313242185,0.11349485212618127
BOTH,1.5%,hold 20d,318,1,99.68652037617555,4.837190251894308,1.211193467669579,1.0277050243456376,-18.656077789958992,0.1340708183056894,0.055086874953896546
BOTH,1.5%,target 2R,319,0,100.0,1.916854392791324,0.8963872977607837,-0.5822487143613886,-13.87853264321165,-0.1372730177510585,-0.04195318981694953
