regime,slots,entry,stop,exit,taken,skipped,fill%,avg_expo%,final_x,CAGR%,maxDD%,Sharpe,MAR
none,30,BOTH,2.0ATR,close<50EMA,1739,493,77.91218637992831,33.04793728743323,1.0125378325730474,0.06510214896653377,-36.23649487682567,0.043894179914524274,0.001796590679860942
none,30,BOTH,2.0ATR,target 4R,1769,463,79.25627240143369,36.666697113433685,1.2636079659290969,1.218358409278486,-38.67340155498289,0.147965153604789,0.0315037819351452
none,30,BOTH,20EMA,close<50EMA,1656,567,74.49392712550608,27.508458427971682,1.1561906448243713,0.7579929880908054,-29.661717774130626,0.11843770554622664,0.02555458837086929
none,30,BOTH,20EMA,target 4R,1421,802,63.92262708052182,37.743902568658484,2.2971215742162108,4.308008471198788,-22.940270332548497,0.45252993788018625,0.18779240212729434
none,30,BREAKOUT,2.0ATR,close<50EMA,3971,7402,34.91602919194584,75.72483230219916,1.2991575068240446,1.3744112967111866,-58.51804379395581,0.13659184120165663,0.023486965858779206
none,30,BREAKOUT,2.0ATR,target 4R,3438,7935,30.229490899498813,82.5639346950639,1.7233021088605351,2.8381838202539145,-51.726679657438424,0.2424617814655903,0.054868857600176096
none,30,BREAKOUT,20EMA,close<50EMA,3803,7394,33.96445476466911,68.79887787621861,1.20375203884483,0.9706694984168207,-63.88482170403065,0.11533455483033357,0.015194055059178146
none,30,BREAKOUT,20EMA,target 4R,2701,8496,24.12253282129142,72.54675019793366,2.1978225767956165,4.119464442499643,-44.41594611976355,0.36378853360463737,0.09274742074370955
none,30,CONFIRMED,2.0ATR,close<50EMA,3370,3054,52.45952677459527,64.68273477150774,1.1122387878746811,0.5550970356267948,-49.766555111652835,0.08797607990853824,0.011154017680778127
none,30,CONFIRMED,2.0ATR,target 4R,3195,3229,49.73536737235367,72.45937898410776,2.6690430148722397,5.226212468789759,-44.40062415787087,0.40117870392197746,0.1177058333731399
none,30,CONFIRMED,20EMA,close<50EMA,3163,3066,50.77861615026489,55.07003466503272,1.0141887034182548,0.07333378775395971,-43.813223376223135,0.04918341044688995,0.001673782070865779
none,30,CONFIRMED,20EMA,target 4R,2281,3948,36.619039974313694,63.01739259575747,2.367686626876284,4.509170515005367,-36.56387321900095,0.41270889917064063,0.12332310879642014
none,30,DUMB,2.0ATR,close<50EMA,3617,106594,3.281886563047246,93.0221556256069,0.9796840821375712,-0.10785983070480398,-58.82712166036885,0.032103473859879425,-0.0018335051530741116
none,30,DUMB,2.0ATR,target 4R,2828,107383,2.5659870611826405,95.28314639644643,2.0377093159564983,3.7606122007068032,-58.04725181460051,0.3543816512658005,0.06478536163465544
none,30,DUMB,20EMA,close<50EMA,3463,105898,3.166576750395479,94.6436894602242,0.7598038881305413,-1.4337198093229642,-61.013681825394904,-0.07865913706493222,-0.023498332938272647
none,30,DUMB,20EMA,target 4R,2680,106681,2.4505993910077635,97.90273640019616,2.745182732546402,5.351018116127326,-52.29850944070091,0.49389785824997445,0.10231683796255459
none,30,GATES,2.0ATR,close<50EMA,4625,14986,23.583703023813165,82.8496043971477,1.700609268908282,2.8049631850643575,-57.80100924533747,0.2268379891588974,0.04852792748234964
none,30,GATES,2.0ATR,target 4R,3594,16017,18.326449441639895,88.16360405041746,1.8826257728829587,3.304969479690989,-57.272120112123304,0.27737772263854726,0.05770642807042508
none,30,GATES,20EMA,close<50EMA,4523,14625,23.621265928556507,84.0183590808988,0.7153447085460578,-1.7276558832040934,-64.87121599533498,-0.04837572807775577,-0.026632087231543998
none,30,GATES,20EMA,target 4R,3514,15634,18.351786087319823,84.15006679514876,2.3603828239083176,4.445509506877832,-51.26640411610646,0.3530727505211651,0.08671389350440473
none,30,LEADER,2.0ATR,close<50EMA,2303,1167,66.36887608069165,43.93191762713674,1.4372496383418267,1.91269470374007,-27.898185913990392,0.19761666499397657,0.06855982355400718
none,30,LEADER,2.0ATR,target 4R,2306,1164,66.45533141210375,48.94956606962787,2.736586037063891,5.3085389154461815,-25.9927865933114,0.45189072142626424,0.20423123532327245
