ticker,alert,level,kind,precision,adr,note
EPAM,buy-stop,121.53,SETUP pivot,,3.9,contr 0.37 dryup 0.67 off52 -47%
MDGL,buy-stop,552.08,SETUP pivot,,3.6,contr 0.37 dryup 0.67 off52 -13%
NOV,buy-stop,21.84,SETUP pivot,,3.2,contr 0.53 dryup 0.73 off52 -3%
NTRA,buy-stop,343.18,SETUP pivot,,3.2,contr 0.28 dryup 0.71 off52 -4%
NUE,buy-stop,268.47,SETUP pivot,,3.4,contr 0.54 dryup 0.74 off52 -7%
PARR,buy-stop,85.39,SETUP pivot,YES,5.7,contr 0.49 dryup 0.79 off52 -3%
DHT,broke-today,21.59,A breakout,,3.2,rvol 1.70 pos 0.72
FRO,broke-today,48.72,A breakout,,3.1,rvol 1.69 pos 0.77
QRVO,broke-today,114.28,A breakout,,3.2,rvol 1.95 pos 0.51
