etf,label,gap_pct,gap_adr,src,adr,day,ext21,ret1d,ret5d,members,up,down,mem_avg,hot
GRID,power [power],-4.309101950899397,-3.5494057422878034,last,1.214034760681354,OUT,0.24,1.9972918077183488,1.8249408583981053,1,0,1,-6.781509413247955,HOT DOWN
SMH,Semiconductors [semis],-4.754366524193965,-2.421418328113407,last,1.963463507727812,OUT,0.4,1.4724780466909504,2.882736156351773,12,0,11,-7.478462321507962,HOT DOWN
CIBR,Cybersecurity [cyber],5.9851727243197095,2.345739091362042,last,2.551508284258693,SHORT,-0.37,0.2548853016142827,-0.9651699538396841,4,4,0,10.940117006453592,HOT UP
IGV,Software [software],5.043340612340863,2.3422585933214943,last,2.1531954783818454,SHORT,-0.7,0.3162055335968361,-5.077138849929885,9,7,2,3.8826463409142864,HOT UP
QTUM,quantum [quantum],-3.127329861096384,-2.1714418825912802,last,1.44020887050608,OUT,-0.4,1.236178833871282,0.8828360251847744,3,0,0,0.7397967662562918,HOT DOWN
DRAM,memory [memory],-7.275805013433933,-2.084147102334964,last,3.491022781109127,LONG,0.87,0.9221311475409832,5.554563314877647,5,0,5,-5.926654793813793,HOT DOWN
XLC,Communication Svcs,2.193605412810151,1.8094434874700451,last,1.2123094354702613,LONG,0.68,0.9865470852017832,-0.6879520197565769,0,0,0,,HOT UP
OIH,Oil Services,-4.423895795137822,-1.7884996802758388,last,2.4735233916594987,LONG,0.22,0.10708676407595874,-2.1265210209162166,0,0,0,,HOT DOWN
KIE,Insurance,1.7000799477339346,1.3976305153190154,last,1.21640156615061,SHORT,-1.25,0.16064257028112205,-3.7808641975308532,0,0,0,,
XLK,Technology,-1.8063628820286226,-1.3636335605590848,last,1.324668836463676,OUT,0.92,1.3227513227513255,0.9141259342904773,0,0,0,,
XLP,Consumer Staples,1.2472993151179113,1.3142651876980613,last,0.9490469098573318,OUT,-1.73,0.34901913587674915,-2.2050199390101,0,0,0,,
XLI,Industrials [industrial],-1.4155638012523952,-1.2291933213953077,last,1.1516201533258663,OUT,-2.07,1.0671357373204238,-1.254582951420713,3,0,0,0.27508592731210574,
XLV,Health Care [health],1.4453313981615867,1.2064333933967508,last,1.1980200532183638,OUT,-1.85,-0.1810938065918033,-4.559621378275414,4,3,0,2.8225103027653216,HOT UP (members)
XME,Metals & Mining,-3.044972129767387,-1.1234064855114319,last,2.7104811740348467,LONG,-0.91,-0.9932909296854531,-4.012502111843219,0,0,0,,
IHI,Medical Devices,1.926101828521154,1.0907219616614217,last,1.765896256079098,OUT,-2.77,-0.03929273084478657,-5.6204785754034425,0,0,0,,
GDX,Gold Miners,-3.048404336098409,-1.057607764784446,last,2.8823581270885557,LONG,0.34,1.1142351348536916,-4.325549315203469,0,0,0,,
URA,Uranium,-3.0783399340478246,-0.9854291575833667,last,3.1238571645241775,OUT,-1.19,-3.266666666666662,-4.7483588621444195,0,0,0,,
XLU,Utilities,-1.3446574785934917,-0.9735279251193969,last,1.3812212715198469,SHORT,-1.34,-0.3057384760112969,-1.4873344178480186,0,0,0,,
TAN,Solar,-1.9724258309583798,-0.9025108932163486,last,2.185487007175162,OUT,-1.6,0.23384353741495723,-1.19446772841576,0,0,0,,
IBIT,crypto [crypto],2.216133603990844,0.8628736751804887,last,2.5683175506858427,OUT,1.06,0.2060439560439553,-5.566343042071198,4,2,0,3.5559249400965554,
XLB,Materials [materials],-0.9028426330386807,-0.6958383431296221,last,1.2974890532447958,OUT,-1.81,0.37431048069347383,-3.173698213606979,5,0,3,-1.7974297856541743,
XLRE,Real Estate,-0.6909283005878342,-0.6786247866889014,last,1.0181300685448924,OUT,-1.78,0.8594657375145198,-1.8757062146892656,0,0,0,,
XAR,Aerospace & Defense,-1.2725639002054479,-0.6530515767341931,last,1.9486422597267694,OUT,-2.87,0.5313496280552554,-3.1386602607017644,0,0,0,,
XRT,Retail,0.8609466246802588,0.6331261391786986,last,1.3598342753579762,OUT,-1.62,1.3870620590697325,-2.236826934163494,0,0,0,,
ARKK,Hi-growth/Innovation,1.3639641310159378,0.5973279664678804,last,2.2834426103993257,LONG,0.03,0.6260534553334862,-4.085379848519621,0,0,0,,
XLE,Energy [energy],-0.9364464548712426,-0.578877897608206,last,1.61769253713163,OUT,1.74,0.3234252271677063,0.8047044258743252,7,0,4,-2.389797040725136,
XOP,Oil & Gas E&P,-1.1496008477911657,-0.5656086257215575,last,2.032502326718583,OUT,2.01,0.12789686396890154,1.7625955389174885,0,0,0,,
IYT,Transports,0.6087160818705195,0.4630821545300252,last,1.3144883168480026,OUT,-2.2,0.13409728148239264,-1.7464114832535849,0,0,0,,
KWEB,China Internet,0.528453423724895,0.4363737409896888,last,1.211011053337836,OUT,-4.24,0.654664484451728,-3.680501174628026,0,0,0,,
XLF,Financials,-0.38428160821506463,-0.39344334298373307,last,0.9767139667450232,SHORT,-0.49,0.6681906101635438,-2.2370218579235046,0,0,0,,
XBI,Biotech (equal-wt) [biotech],0.8962907192801683,0.3895599185807992,last,2.3007775608574765,SHORT,-1.29,-0.3953577349827819,-4.976274485947196,8,3,0,2.8563754642035866,
ARKX,space [space],-0.5967348664250194,-0.36892793843767857,last,1.6174835360857964,SHORT,-1.1,0.5526606663508682,-1.5765069551777477,1,0,0,-2.02367971927494,
MGK,megacap [megacap],-0.32257996623853424,-0.3616668595002945,last,0.8919256983740076,LONG,0.53,0.9091929509484897,-0.8492334840630833,6,3,1,1.029086236548345,
ITB,Homebuilders,0.5695812505671194,0.3030127171394243,last,1.8797272139077903,OUT,-2.55,1.4962593516209655,-4.358043153172398,0,0,0,,
KRE,Regional Banks,0.2841686202321503,0.1888706614763547,last,1.504567294946051,SHORT,-0.67,0.12193469719550265,-1.295579003606251,0,0,0,,
XHB,homebuilders [homebuilders],-0.19297517462277813,-0.10791762074907908,last,1.7881711372368714,OUT,-2.51,1.5994221442575451,-3.725432678204754,1,0,0,-0.19297517462277813,
XLY,Consumer Discretionary,-0.09738095421291115,-0.09574526557267357,last,1.0170837547993017,OUT,-2.01,0.8931761343336841,-3.0053237162974367,0,0,0,,
JETS,Airlines,0.03549984087958258,0.020833303093818548,last,1.703994835562861,OUT,-2.03,1.18534482758621,-0.8796622097114737,0,0,0,,
