ticker,date,ext10_%,gap_%,newhigh_over_open_%,open_to_close_%,close_pctl,range_%,vol_x,nextday_ft_%
COIN,2024-02-16,20.0,14.1,2.4,-4.6,0.1,7.8,2.4,-3.9
SMCI,2024-02-16,34.0,4.1,3.1,-23.2,0.01,26.5,4.4,-2.0
NVDA,2024-03-08,12.0,2.7,2.4,-8.0,0.09,11.5,2.31,-2.0
MSTR,2024-03-11,29.0,8.7,6.9,-4.2,0.04,11.6,2.18,7.4
DJT,2024-03-26,23.0,41.9,12.0,-18.2,0.03,31.2,11.7,14.2
DELL,2024-04-04,11.0,1.0,4.9,-2.1,0.05,7.3,2.54,4.4
AFRM,2024-06-12,12.0,6.5,9.0,-0.7,0.07,10.4,4.07,-6.5
SMCI,2024-06-20,12.0,4.5,5.5,-4.5,0.15,11.8,2.15,-1.3
TSLA,2024-07-11,14.0,0.0,2.9,-8.5,0.04,11.9,2.43,3.0
BABA,2024-09-30,16.0,4.1,0.4,-5.0,0.0,5.5,3.72,6.2
CELH,2024-10-11,13.0,0.0,1.4,-6.0,0.03,7.7,2.64,6.2
MSTR,2024-10-14,18.0,5.6,1.2,-10.2,0.01,11.5,2.62,-3.6
MARA,2024-11-13,32.0,-3.6,7.7,-10.8,0.06,19.6,2.28,-4.2
MSTR,2024-11-13,34.0,2.9,4.5,-10.5,0.11,16.8,2.64,-0.2
MSTR,2024-11-21,34.0,13.0,1.4,-25.8,0.15,32.0,4.66,6.2
SMCI,2024-12-03,31.0,5.8,3.5,-9.5,0.19,16.1,2.41,4.0
PLTR,2024-12-09,12.0,5.6,0.4,-10.1,0.14,12.2,2.58,-2.2
