tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_iv30,ib_pctile,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
AA,47.095,0.9583920470678889,0.5265,36.597938144329895,,,,,35.0,False,False,False,,,,,athena,36.597938144329895,False,,True,False
AAL,13.045,0.9452486319422388,0.4952,46.22641509433962,,,,,36.0,False,False,False,,,,,athena,46.22641509433962,False,,True,False
AAOI,99.87,1.150796680878222,0.8532,2.197802197802198,8.0,10.25,15.053763440860218,27.0,50.0,False,False,True,,,,,athena,2.197802197802198,True,42.53810200775958,True,False
AAPL,335.67,1.1017008272236215,0.2405,38.52813852813853,11.0,10.524999999999999,6.382978723404252,139.0,43.0,False,False,True,,,,,athena,38.52813852813853,False,64.69150156962095,True,False
ABBV,263.03499999999997,1.0644422041170414,0.2738,63.681592039801,8.0,8.1,10.852713178294577,57.0,43.0,False,False,True,,,,,athena,63.681592039801,False,,True,False
ABR,4.485,1.1992099701341445,0.576,71.95121951219512,8.0,0.225,99.99999999999999,5.0,43.0,False,False,False,,,,,athena,71.95121951219512,False,30.548904499372554,True,False
ACHR,5.395,2.7330015521594255,0.6281,2.564102564102564,8.0,0.405,37.5,1097.0,50.0,False,True,False,,,,,athena,2.564102564102564,True,44.4255807370529,True,False
ADI,363.53499999999997,1.138189463060757,0.3554,57.00483091787439,8.0,15.9,23.448275862068957,1.0,69.0,False,False,True,,,,,athena,57.00483091787439,False,46.7708878692983,True,False
ADP,272.75,1.166273984422253,0.2703,76.88679245283019,8.0,9.100000000000001,20.40816326530612,1.0,42.0,False,False,True,,,,,athena,76.88679245283019,False,50.990521659449556,True,False
AFL,116.81,1.0682619349571083,0.2054,60.69364161849711,8.0,2.725,18.181818181818183,11.0,48.0,False,False,True,,,,,athena,60.69364161849711,False,,True,False
AG,19.475,1.1325319739897777,0.6087,26.923076923076923,8.0,1.39,14.285714285714283,97.0,49.0,False,False,True,,,,,athena,26.923076923076923,True,49.24320453847604,True,False
AGNC,9.995000000000001,1.026844040962089,0.2167,,8.0,0.275,22.22222222222222,446.0,34.0,False,False,True,,,,,none,,False,,True,False
AIG,75.28,1.1697393190895111,0.2319,53.233830845771145,8.0,2.0,18.181818181818183,18.0,49.0,False,False,True,,,,,athena,53.233830845771145,False,46.329782531417834,True,False
AMAT,415.525,1.1045914183643248,0.4909,70.995670995671,8.0,23.25,20.04662004662005,7.0,56.0,False,False,True,,,,,athena,70.995670995671,False,33.012817219962116,True,False
AMC,2.725,1.1266406314683952,0.8334,,8.0,0.30000000000000004,28.571428571428577,2983.0,49.0,False,False,False,,,,,none,,False,58.10709810204702,True,False
AMLP,54.974999999999994,3.7419104857057888,0.1249,,,,,,,False,True,False,,,,,none,,False,48.71963494949388,True,False
AMRN,13.865,1.7723292036825227,0.5389,,,,,,42.0,False,True,False,,,,,none,,False,46.218711022571185,True,False
ANET,202.445,1.1326789007656537,0.4741,50.0,8.0,11.725,14.840989399293287,245.0,48.0,False,False,True,,,,,athena,50.0,False,57.516322214932764,True,False
ANF,139.555,1.3315144991736965,0.4661,19.138755980861244,8.0,9.149999999999999,42.85714285714286,0.0,69.0,False,True,False,,,,,athena,19.138755980861244,True,57.11029775670649,True,False
APA,45.065,1.1003968903698922,0.4515,36.56716417910448,8.0,2.4749999999999996,6.949806949806956,80.0,49.0,False,False,True,,,,,athena,36.56716417910448,False,58.64005873855574,True,False
APLD,26.215,0.9395680196908422,0.8993,9.89010989010989,,,,,22.0,False,False,False,,,,,athena,9.89010989010989,True,,True,False
APO,127.57,1.0988874803024569,0.3566,47.712418300653596,8.0,5.725,20.560747663551414,2.0,48.0,False,False,True,,,,,athena,47.712418300653596,False,,True,False
AR,35.754999999999995,1.1790107981639164,0.3517,23.376623376623375,8.0,1.6,22.222222222222225,45.0,43.0,False,False,True,,,,,athena,23.376623376623375,True,36.82176693730064,True,False
ARM,259.25,1.0665275393244247,0.6585,73.59307359307358,8.0,20.950000000000003,12.889812889812896,15.0,49.0,False,False,True,,,,,athena,73.59307359307358,False,,True,False
ARQQ,19.525,0.9774296432025105,1.1039,,,,,,83.0,False,False,False,,,,,none,,False,,True,False
ASML,1621.7150000000001,0.976955054717617,0.4325,72.72727272727273,,,,,27.0,False,False,False,,,,,athena,72.72727272727273,False,,True,False
ASO,50.16,1.0166792940081244,0.3932,30.075187969924812,8.0,2.575,28.57142857142857,4.0,83.0,False,False,False,,,,,athena,30.075187969924812,False,,True,False
ASPI,3.335,8.781122985481892,0.908,0.0,8.0,0.425,100.00000000000003,145.0,64.0,False,True,False,,,,,athena,0.0,True,37.96623258414292,True,False
ASTS,63.045,1.2111915066593688,0.7207,1.8867924528301887,8.0,5.155,5.917159763313606,133.0,54.0,False,True,True,65.879208,0.4,2026-09-17,251.0,ib,0.4,True,50.34415238520075,True,True
AVGO,348.12,1.24049228825629,0.3417,7.35930735930736,11.0,15.2,6.792452830188668,80.0,85.0,False,True,True,35.717642999999995,1.6,2026-09-17,251.0,ib,1.6,True,39.02176976522937,True,True
AVXL,2.415,2.624499533688256,1.5222,,,,,,69.0,False,True,False,,,,,none,,False,33.82650959729202,True,False
AXP,314.57,1.1727697798170023,0.2393,28.888888888888886,8.0,8.875,9.944751381215474,61.0,36.0,False,False,True,,,,,athena,28.888888888888886,True,34.79214473063007,True,False
AZN,165.565,1.1391263083428451,0.2771,58.87850467289719,,,,,50.0,False,False,False,,,,,athena,58.87850467289719,False,54.53665931827483,True,False
AZO,2871.55,0.8296277484089226,0.4296,,,,,,6.0,False,False,False,,,,,none,,False,,True,False
BAC,58.345,0.889948192910319,0.2664,54.97835497835498,,,,,27.0,False,False,False,,,,,athena,54.97835497835498,False,,True,False
BBAI,2.795,1.2507778081036107,0.6642,3.9215686274509802,8.0,0.29000000000000004,28.571428571428577,1206.0,54.0,False,True,False,,,,,athena,3.9215686274509802,True,40.14146331654933,True,False
