tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_iv30,ib_pctile,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
AA,42.754999999999995,0.9220310711581333,0.5094,30.927835051546392,,,,,28.0,False,False,False,,,,,athena,30.927835051546392,False,,True,False
AAL,13.379999999999999,0.7294454531124267,0.5419,58.490566037735846,,,,,29.0,False,False,False,,,,,athena,58.490566037735846,False,,True,False
AAOI,101.38499999999999,1.1414794638150754,0.8576,4.395604395604396,,,,,43.0,False,False,False,,,,,athena,4.395604395604396,True,44.311312216539925,True,False
AAPL,335.845,1.1895573602662741,0.2234,28.57142857142857,8.0,8.950000000000001,5.940594059405936,749.0,36.0,False,False,True,,,,,athena,28.57142857142857,True,61.35981427457778,True,False
ABBV,263.985,1.0716634990513065,0.2617,57.711442786069654,,,,,36.0,False,False,False,,,,,athena,57.711442786069654,False,,True,False
ABR,4.12,1.3323300996068979,0.3891,39.02439024390244,,,,,36.0,False,True,False,,,,,athena,39.02439024390244,False,23.52072778023164,True,False
ACHR,5.695,1.323652914482089,0.5796,0.0,,,,,43.0,False,True,False,,,,,athena,0.0,True,52.22915907664777,True,False
ADI,382.05,1.0078040790309946,0.4079,70.53140096618358,,,,,62.0,False,False,False,,,,,athena,70.53140096618358,False,,True,False
ADP,265.45,1.0691893442985296,0.2755,78.77358490566037,,,,,35.0,False,False,False,,,,,athena,78.77358490566037,False,,True,False
AFL,114.85,1.0186514810906315,0.1947,52.601156069364166,8.0,2.75,80.00000000000001,8.0,41.0,False,False,False,,,,,athena,52.601156069364166,False,,True,False
AG,18.775,1.119561926701807,0.5881,26.923076923076923,8.0,1.315,29.090909090909093,400.0,42.0,False,False,False,,,,,athena,26.923076923076923,True,45.152400261878284,True,False
AGNC,9.695,0.7257440768612322,0.2611,,,,,,27.0,False,False,False,,,,,none,,False,,True,False
AIG,74.37,1.075878220561608,0.2391,56.71641791044776,,,,,42.0,False,False,False,,,,,athena,56.71641791044776,False,,True,False
AMAT,472.095,1.0700797854001338,0.5375,77.92207792207793,,,,,49.0,False,False,False,,,,,athena,77.92207792207793,False,,True,False
AMC,2.8899999999999997,1.0067149555999277,0.8354,,,,,,42.0,False,False,False,,,,,none,,False,,True,False
AMLP,53.72,1.0466195664333982,0.1326,,,,,,,False,False,False,,,,,none,,False,,True,False
AMRN,13.434999999999999,0.9670065178020412,1.0145,,,,,,35.0,False,False,False,,,,,none,,False,,True,False
ANET,205.8,1.1898249695472296,0.4617,40.625,,,,,41.0,False,False,False,,,,,athena,40.625,False,59.53862742218788,True,False
ANF,134.41,1.412424345067603,0.4385,11.961722488038278,8.0,7.425000000000001,40.963855421686745,0.0,62.0,False,True,False,,,,,athena,11.961722488038278,True,51.97259487939077,True,False
APA,44.035,1.1233277319121857,0.4479,35.82089552238806,8.0,2.5,43.939393939393945,119.0,42.0,False,False,False,,,,,athena,35.82089552238806,False,52.29318596753526,True,False
APLD,27.005,0.9696769298586919,0.873,8.791208791208792,,,,,15.0,False,False,False,,,,,athena,8.791208791208792,True,,True,False
APO,120.89,0.9963382605317762,0.3733,54.90196078431373,,,,,41.0,False,False,False,,,,,athena,54.90196078431373,False,,True,False
AR,35.25,1.001485347352361,0.3622,27.27272727272727,8.0,1.55,26.66666666666666,401.0,36.0,False,False,False,,,,,athena,27.27272727272727,True,,True,False
ARM,308.95,1.098700894161338,0.6964,76.62337662337663,8.0,27.55,13.186813186813193,16.0,42.0,False,False,True,,,,,athena,76.62337662337663,False,,True,False
ARQQ,23.195,1.3064272064524343,0.8962,,,,,,76.0,False,True,False,,,,,none,,False,57.81170993863879,True,False
ASML,1722.7,0.9246532669098757,0.4656,79.65367965367966,,,,,20.0,False,False,False,,,,,athena,79.65367965367966,False,,True,False
ASO,48.040000000000006,1.073312263208642,0.3983,33.83458646616541,,,,,76.0,False,False,False,,,,,athena,33.83458646616541,False,,True,False
ASPI,2.965,0.9642487739297854,0.896,0.0,,,,,57.0,False,False,False,,,,,athena,0.0,True,,True,False
ASTS,61.3,1.1497749033039897,0.7081,1.8867924528301887,,,,,47.0,False,False,False,,,,,athena,1.8867924528301887,True,48.11078468491608,True,False
AVGO,350.14,1.2878661492096748,0.3459,8.225108225108226,,,,,78.0,False,True,False,,,,,athena,8.225108225108226,True,42.342109770746575,True,False
AVXL,2.605,0.18250725601869083,2.634,,,,,,62.0,False,False,False,,,,,none,,False,,True,False
AXP,305.505,0.8935213480836863,0.2995,64.0,,,,,29.0,False,False,False,,,,,athena,64.0,False,,True,False
AZN,165.875,1.025327072900651,0.2739,58.87850467289719,,,,,43.0,False,False,False,,,,,athena,58.87850467289719,False,,True,False
AZO,2865.0,1.0921648559399149,0.3214,,,,,,76.0,False,False,False,,,,,none,,False,,True,False
BAC,56.08,0.8839639221156605,0.2767,60.17316017316018,,,,,20.0,False,False,False,,,,,athena,60.17316017316018,False,,True,False
BBAI,2.795,1.2981802494233317,0.6246,3.9215686274509802,,,,,47.0,False,True,False,,,,,athena,3.9215686274509802,True,42.12777770422045,True,False
BKNG,157.0,0.8277345386279209,0.4128,86.36363636363636,,,,,34.0,False,False,False,,,,,athena,86.36363636363636,False,,True,False
BP,44.45,1.0328664300360109,0.3307,77.11442786069652,,,,,40.0,False,False,False,,,,,athena,77.11442786069652,False,,True,False
BROS,38.465,1.0551611820209643,0.5329,67.52136752136752,,,,,42.0,False,False,False,,,,,athena,67.52136752136752,False,,True,False
BSX,44.8,1.233375967939524,0.3609,80.10752688172043,,,,,28.0,False,True,False,,,,,athena,80.10752688172043,False,44.52295865403801,True,False
BTDR,12.245000000000001,1.1265783242043779,0.8865,8.771929824561402,,,,,47.0,False,False,False,,,,,athena,8.771929824561402,True,53.752206525383116,True,False
BTU,25.35,1.140673932888329,0.5258,13.333333333333334,8.0,1.71,39.47368421052632,19.0,36.0,False,False,False,,,,,athena,13.333333333333334,True,44.19141434302761,True,False
BURL,256.5,1.2901005907340406,0.3748,62.0,8.0,11.85,54.54545454545454,21.0,62.0,False,True,False,,,,,athena,62.0,False,40.42970343135213,True,False
C,132.065,0.9209773253250102,0.3215,60.67415730337079,,,,,19.0,False,False,False,,,,,athena,60.67415730337079,False,,True,False
CAH,225.195,1.0466039742625624,0.3232,84.21052631578947,,,,,36.0,False,False,False,,,,,athena,84.21052631578947,False,,True,False
