tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_iv30,ib_pctile,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
AAL,13.01,0.9401909322102212,0.4834896092961093,43.39622641509434,,,,,35.0,False,False,False,,,,,athena,43.39622641509434,False,,True,False
AAOI,98.59,1.1535403861692148,0.8439958554629997,2.197802197802198,7.0,9.6,15.384615384615383,494.0,49.0,False,False,True,,,,,athena,2.197802197802198,True,42.04693222269027,True,False
AAPL,334.9,1.1586417025567342,0.22830195720732177,31.601731601731604,7.0,8.625,3.1413612565444913,2347.0,42.0,False,False,True,,,,,athena,31.601731601731604,False,60.8531559515716,True,False
ABBV,263.4875,1.1828299509376177,0.2532276050981131,53.73134328358209,,,,,42.0,False,False,False,,,,,athena,53.73134328358209,False,59.22807952414663,True,False
ABR,4.3484,1.151843587190969,0.46084722793896626,50.0,7.0,0.7,140.0,36.0,42.0,False,False,False,,,,,athena,50.0,False,27.464946449831686,True,False
ACHR,5.275,1.220817346261704,0.6550796230881589,7.6923076923076925,,,,,49.0,False,True,False,,,,,athena,7.6923076923076925,True,41.99999396419789,True,False
ADI,369.615,1.133139248670169,0.3530966379433274,57.00483091787439,,,,,68.0,False,False,False,,,,,athena,57.00483091787439,False,51.168471644524274,True,False
ADP,270.005,1.0953574404326756,0.2714274279739568,77.83018867924528,7.0,8.0,21.621621621621617,7.0,41.0,False,False,True,,,,,athena,77.83018867924528,False,,True,False
AFL,115.73,1.1526218705628113,0.1954934005886091,52.601156069364166,7.0,2.4749999999999996,26.086956521739136,3.0,47.0,False,False,False,,,,,athena,52.601156069364166,False,42.810731609399404,True,False
AG,19.39,1.098160083314849,0.592804424400012,26.923076923076923,7.0,1.25,11.940298507462682,175.0,48.0,False,False,True,,,,,athena,26.923076923076923,True,,True,False
AGNC,9.945,0.9094608028037008,0.23230535766867697,,,,,,33.0,False,False,False,,,,,none,,False,,True,False
AIG,75.36,1.1457576773644096,0.2366458771007659,56.21890547263681,7.0,1.875,34.48275862068966,18.0,48.0,False,False,False,,,,,athena,56.21890547263681,False,47.12397563015573,True,False
AMAT,426.65,1.0939916298928025,0.4922432310559886,70.995670995671,7.0,22.6,16.239316239316242,198.0,55.0,False,False,True,,,,,athena,70.995670995671,False,,True,False
AMC,2.665,1.130474538988012,0.7959232638160085,,7.0,0.26,22.222222222222225,3649.0,48.0,False,False,True,,,,,none,,False,55.83890581520723,True,False
AMLP,54.95,1.0746101595151143,0.12361125118036294,,,,,,,False,False,False,,,,,none,,False,,True,False
AMRN,13.7,1.3753257954581564,0.6148942884980764,,,,,,41.0,False,True,False,,,,,none,,False,44.01337408244727,True,False
APO,124.685,1.0716214945012341,0.36364190102499205,50.326797385620914,7.0,5.175000000000001,25.742574257425737,8.0,47.0,False,False,False,,,,,athena,50.326797385620914,False,,True,False
ARQQ,18.7099,1.1090936471168096,0.9778757395594301,,,,,,82.0,False,False,False,,,,,none,,False,44.29952638408047,True,False
ASO,49.91,0.903840794038553,0.4177986884436682,39.849624060150376,,,,,82.0,False,False,False,,,,,athena,39.849624060150376,False,,True,False
ASPI,3.13,1.0470298586580167,0.9114254101228514,0.0,7.0,0.4,100.00000000000003,28.0,63.0,False,False,False,,,,,athena,0.0,True,,True,False
ASTS,58.5524,1.1706880123952657,0.7189097545709588,1.8867924528301887,7.0,4.675,8.153477218225417,108.0,53.0,False,False,True,,,,,athena,1.8867924528301887,True,43.394756529980576,True,False
AVXL,2.425,1.789081848531276,0.9041194484625853,,,,,,68.0,False,True,False,,,,,none,,False,34.355872617406376,True,False
AXP,309.365,1.1901249747845726,0.23561674947621083,25.77777777777778,7.0,7.875,14.012738853503192,3.0,35.0,False,False,True,,,,,athena,25.77777777777778,True,30.39527467326667,True,False
AZN,166.74,1.0956057327230282,0.27697970251987897,58.87850467289719,,,,,49.0,False,False,False,,,,,athena,58.87850467289719,False,,True,False
BAC,58.0895,0.9335263184590079,0.26080467327573364,53.246753246753244,,,,,26.0,False,False,False,,,,,athena,53.246753246753244,False,,True,False
BBAI,2.79,1.185647484977414,0.6952073016015403,3.9215686274509802,7.0,0.28,28.571428571428577,1205.0,53.0,False,False,False,,,,,athena,3.9215686274509802,True,40.69516656350699,True,False
BP,44.875,1.0421923815690062,0.30955231911387276,73.6318407960199,,,,,46.0,False,False,False,,,,,athena,73.6318407960199,False,,True,False
BROS,39.65,1.5417669893502606,0.43488192424030847,28.205128205128204,7.0,1.9,18.181818181818183,12.0,48.0,False,True,True,43.654897,15.6,2026-09-18,251.0,ib,15.6,True,23.327599425814014,True,True
BTDR,11.92,1.0717996869254505,0.9330230772777995,14.035087719298245,,,,,53.0,False,False,False,,,,,athena,14.035087719298245,True,,True,False
BTU,26.36,1.118957806112934,0.5212186208710571,12.592592592592592,,,,,42.0,False,False,False,,,,,athena,12.592592592592592,True,45.37286958149176,True,False
BURL,239.0,1.3077167483381054,0.3631940171960188,53.0,7.0,11.649999999999999,21.84873949579832,3.0,68.0,False,True,True,37.146348,45.6,2026-09-18,251.0,ib,45.6,False,27.28046851670524,True,False
CAH,223.11,1.212957985176088,0.25821086763847684,52.63157894736842,7.0,6.725,22.222222222222214,0.0,42.0,False,True,False,,,,,athena,52.63157894736842,False,34.17772311841833,True,False
