tkr,spot,fvr,iv30,ath_pctile,dte,cost,ba,oi,earn_days,earn_in_win,g_fvr,g_liq,ib_pctile,ib_iv30,ib_asof,ib_days,iv_src,ivpct,g_iv,rsi14,g_rsi,pass_all
MCK,886.8,1.2312995453042628,0.2498,64.93506493506493,,,,,50.0,False,True,False,,,,,athena,64.93506493506493,False,51.26004735350473,True,False
MDB,378.49,1.1977501069953933,0.5758,61.979166666666664,,,,,76.0,False,False,False,,,,,athena,61.979166666666664,False,46.42269349074151,True,False
MET,97.11500000000001,1.3333840012939928,0.2134,,,,,,50.0,False,True,False,,,,,none,,False,53.90567791537035,True,False
META,678.69,1.10327338788373,0.3941,75.75757575757575,,,,,43.0,False,False,False,,,,,athena,75.75757575757575,False,72.24454396958994,False,False
MNST,44.489999999999995,1.446743710105461,0.2346,,,,,,51.0,False,True,False,,,,,none,,False,44.16390938167604,True,False
MPC,415.575,0.957611245175707,0.5366,91.56626506024097,,,,,49.0,False,False,False,,,,,athena,91.56626506024097,False,,True,False
MRK,145.15,1.269477720219334,0.2658,35.585585585585584,,,,,43.0,False,True,False,,,,,athena,35.585585585585584,False,53.68887769346032,True,False
MRVL,233.82999999999998,1.0135811053614296,0.6616,65.36796536796537,,,,,77.0,False,False,False,,,,,athena,65.36796536796537,False,,True,False
MS,202.25,0.9062522101255245,0.3425,73.91304347826086,,,,,28.0,False,False,False,,,,,athena,73.91304347826086,False,,True,False
MSFT,492.44,1.2425540804674515,0.2538,68.83116883116884,,,,,43.0,False,True,False,,,,,athena,68.83116883116884,False,51.84643131582185,True,False
MSTR,127.6,1.0922992854792513,0.6798,49.78165938864629,,,,,44.0,False,False,False,,,,,athena,49.78165938864629,False,,True,False
MSTY,14.440000000000001,1.7461591019337415,0.5289,47.61904761904761,,,,,,False,True,False,,,,,athena,47.61904761904761,False,52.49650355487583,True,False
MT,65.83,1.1195993355823344,0.4887,79.72027972027972,,,,,50.0,False,False,False,,,,,athena,79.72027972027972,False,48.519291611207166,True,False
MU,934.29,0.9542649814312095,0.5952,49.78354978354979,,,,,7.0,False,False,False,,,,,athena,49.78354978354979,False,,True,False
NBIS,223.615,1.1291830450959022,0.7916,12.972972972972974,9.0,20.85,8.403361344537814,65.0,56.0,False,False,True,,,,,athena,12.972972972972974,True,46.45714089440474,True,False
NEE,80.46000000000001,1.162004549923135,0.2012,7.55813953488372,9.0,2.2199999999999998,46.666666666666686,70.0,42.0,False,False,False,,,,,athena,7.55813953488372,True,29.26375197268301,True,False
NEM,122.97999999999999,1.0705287840567648,0.4079,57.84313725490197,9.0,6.72,39.669421487603294,7.0,37.0,False,False,False,,,,,athena,57.84313725490197,False,,True,False
NET,326.25,1.14081718825189,0.57,66.50246305418719,9.0,23.975,19.77011494252872,17.0,44.0,False,False,True,,,,,athena,66.50246305418719,False,59.87522012901218,True,False
NFLX,76.78999999999999,1.2008031557072123,0.3381,62.33766233766234,9.0,3.185,4.4776119402985115,1524.0,35.0,False,True,True,,,,,athena,62.33766233766234,False,45.649633647599416,True,False
