day,level,m,gex_sign,tw30,tw60,touch60
2010-01-08,random,32,1.0,2.629042152308969,1.7526947682067195,False
2010-01-11,kstar,15,1.0,-33.98100548923977,-19.168772327262662,False
2010-01-11,mirror,15,1.0,-33.98100548923977,-19.168772327262662,False
2010-01-11,random,298,1.0,2.6191723415380785,20.95337873232017,False
2010-01-12,random,277,1.0,-0.8812902088661811,5.287741253194866,False
2010-01-13,random,163,-1.0,28.025923979679845,18.392012611665454,False
2010-01-21,kstar,59,-1.0,-9.758694109297528,-40.80908445706078,False
2010-01-21,random,295,-1.0,-5.350454788657366,-32.99447119671895,False
2010-01-29,random,258,-1.0,-1.845699520117705,43.37393872277606,True
2010-02-04,kstar,42,-1.0,10.21735091956133,11.146201003158218,False
2010-02-04,random,249,-1.0,-21.43922445935864,7.457121551082135,False
2010-02-10,random,76,-1.0,2.8147870144490383,15.95045974854603,False
2010-02-12,random,173,-1.0,-12.05266085666512,-61.19043204153463,False
2010-02-18,random,100,-1.0,-0.0,6.3388571946032535,False
2010-03-09,random,119,1.0,14.847161572053569,28.82096069869,False
2010-03-12,random,298,1.0,3.4641032302751285,23.38269680436489,False
2010-03-18,kstar,132,1.0,-9.417001969009853,-17.121821761835186,False
2010-03-18,mirror,132,1.0,-9.417001969009853,-17.121821761835186,False
2010-03-18,random,289,1.0,-0.8557247989049444,7.701523190142279,True
2010-03-19,random,26,1.0,-47.16172183159117,-45.44675012862265,False
2010-03-24,random,265,-1.0,17.135023989034437,11.994516792324106,False
2010-03-26,random,51,-1.0,8.531695247846471,1.7063390495697384,False
2010-03-29,random,95,-1.0,7.6726342711008755,5.11508951406725,False
2010-03-31,random,91,-1.0,8.538251366119187,17.930327868851403,False
2010-04-08,random,251,-1.0,5.89523328280217,-2.5265285497733103,False
2010-04-09,random,231,1.0,5.036514731806552,5.87593385377394,False
2010-04-15,kstar,37,1.0,-9.075158815279316,-20.62536094381562,False
2010-04-15,mirror,37,1.0,-9.075158815279316,-20.62536094381562,False
2010-04-15,random,250,1.0,4.9415252841378265,3.2943501894255878,False
2010-04-16,mirror,103,1.0,-15.03633781638869,-45.944365550079084,False
2010-04-16,random,217,1.0,-19.259755484843932,15.910232791827017,False
2010-04-19,random,294,-1.0,19.303399076793237,39.446076374318736,False
2010-04-21,random,65,-1.0,-5.790866975512454,-38.054268696227076,False
2010-04-22,random,194,-1.0,-40.87761741887075,-36.70643196796553,False
2010-04-23,random,288,-1.0,-8.242664029014524,-24.72799208704357,False
2010-04-26,random,236,-1.0,-7.38916256157629,0.8210180623979824,False
2010-04-28,kstar,34,-1.0,16.839269175719096,41.25620948050912,True
2010-04-28,mirror,34,-1.0,16.839269175719096,41.25620948050912,True
2010-04-28,random,141,-1.0,18.534119629316503,37.91069924178547,True
2010-04-29,random,266,-1.0,-4.960317460318553,14.054232804231459,False
2010-04-30,kstar,170,-1.0,-0.8349336227764237,-8.349336227769788,True
2010-04-30,random,201,-1.0,-13.35670757158458,3.3391768928958676,False
2010-05-04,kstar,15,-1.0,11.83632059519768,-36.35441325667954,False
2010-05-04,mirror,15,-1.0,11.83632059519768,-36.35441325667954,False
2010-05-04,random,95,-1.0,26.414451261076444,21.30197682344903,False
2010-05-11,random,242,-1.0,-8.552856654122643,65.85699623674279,False
2010-05-13,random,230,-1.0,10.225820195993718,2.556455048998707,False
2010-05-14,kstar,15,-1.0,0.873591333974133,-31.44928802306324,False
2010-05-14,mirror,15,-1.0,0.873591333974133,-31.44928802306324,False
2010-05-14,random,247,-1.0,10.59602649006619,15.011037527594695,False
2010-05-18,random,26,-1.0,-19.14042108926428,-74.82164607621411,False
2010-06-02,random,36,-1.0,-35.13963380802565,-30.515997780653503,True
2010-06-21,random,295,-1.0,40.95441595441507,106.83760683760535,True
2010-06-28,kstar,15,-1.0,-6.5061808718291925,-0.9294544102611546,False
2010-06-28,mirror,15,-1.0,-6.5061808718291925,-0.9294544102611546,False
2010-06-28,random,108,-1.0,-13.885031935574332,21.290382301213384,True
2010-06-29,kstar,55,-1.0,35.3863810252486,33.47360367253138,True
2010-06-29,random,151,-1.0,5.7361376673048525,2.8680688336524263,False
2010-07-08,random,278,-1.0,-14.10702529859753,-4.702341766199547,False
2010-07-16,kstar,15,-1.0,-76.3850542978095,-56.138413399594576,False
2010-07-16,mirror,15,-1.0,-76.3850542978095,-56.138413399594576,False
2010-07-16,random,51,-1.0,9.26784059314123,-18.53568118628357,False
2010-07-19,kstar,54,-1.0,-22.516183506896546,25.330706445256812,True
2010-07-19,mirror,54,-1.0,-22.516183506896546,25.330706445256812,True
2010-07-19,random,274,-1.0,29.96815883124171,57.12680277205395,True
2010-07-21,mirror,282,-1.0,-31.586770717205724,-59.45745076179843,True
2010-07-21,random,150,-1.0,15.682656826567776,-3.690036900370064,False
2010-08-02,kstar,44,-1.0,-4.450774434752169,2.6704646608510796,False
2010-08-02,mirror,44,-1.0,-4.450774434752169,2.6704646608510796,False
2010-08-02,random,201,-1.0,-16.022787965104257,-11.572013530354308,False
2010-08-09,random,236,-1.0,8.866034222891894,10.639241067469385,False
2010-08-10,random,125,-1.0,-6.250558085543201,-5.357621216178776,False
2010-08-23,random,39,-1.0,18.485996857380282,61.00378962935582,False
2010-08-24,random,145,-1.0,15.07585037218484,16.0180910204466,False
2010-09-17,kstar,15,-1.0,-40.7946080170285,-16.849946789643244,False
2010-09-17,mirror,15,-1.0,-40.7946080170285,-16.849946789643244,False
2010-09-17,random,54,-1.0,9.786476868327565,25.800711743770854,False
2010-09-20,random,295,-1.0,-24.58944410292485,-35.1277772898917,False
2010-09-27,random,30,-1.0,2.618486514793794,10.473946059177397,False
2010-09-30,kstar,85,-1.0,-81.88866626012813,-66.20785782733729,False
2010-09-30,mirror,85,-1.0,-81.88866626012813,-66.20785782733729,False
2010-09-30,random,16,-1.0,42.372881355932094,54.47941888619856,True
2010-10-01,random,159,-1.0,15.721897108916805,-0.8734387282727241,False
2010-10-06,kstar,207,-1.0,-9.502418797512346,-5.183137525915926,False
2010-10-06,mirror,207,-1.0,-9.502418797512346,-5.183137525915926,False
2010-10-06,random,202,-1.0,-25.886616619207324,-18.983518854085446,False
2010-10-08,random,17,-1.0,-12.063765618267608,-13.787160706592028,False
2010-10-20,mirror,160,-1.0,8.45451471085501,7.60906323977073,False
2010-10-20,random,90,-1.0,-31.43318324696276,-21.23863732902853,False
2010-10-25,random,103,-1.0,-4.198152812764366,3.3585222502097167,False
2010-10-26,random,185,-1.0,-1.6854879487604446,-5.8992078206632215,False
2010-10-27,random,137,-1.0,3.4004930714948145,11.901725750234071,False
2010-10-28,random,152,-1.0,-5.932706161538848,-2.5425883549456962,False
2010-11-01,random,296,-1.0,36.186148279053754,54.6999915846158,True
2010-11-09,mirror,255,1.0,28.75215641173101,33.68109751088477,True
2010-11-09,random,287,1.0,8.1947062197818,-13.111529951650436,False
2010-11-11,kstar,22,-1.0,38.90728476821259,17.384105960265295,True
2010-11-11,mirror,22,-1.0,38.90728476821259,17.384105960265295,True
2010-11-11,random,80,-1.0,13.2264197734977,22.31958336777584,True
2010-11-12,kstar,24,-1.0,21.4326931003217,79.1360976011879,True
2010-11-12,mirror,24,-1.0,21.4326931003217,79.1360976011879,True
2010-11-12,random,150,-1.0,-27.426861702127823,-51.529255319148206,False
2010-11-19,random,84,-1.0,-5.010438413360907,12.526096033402823,False
2010-11-26,random,144,-1.0,-10.894159054721797,-7.542110114808764,False
2010-11-30,random,80,-1.0,5.0650008441655014,-0.0,False
2010-12-02,kstar,104,-1.0,0.8178621084475868,-1.635724216897394,False
2010-12-02,random,116,-1.0,-1.6355904481524242,2.453385672227526,False
2010-12-03,random,22,1.0,-16.338534433461007,-6.53541377338418,False
2010-12-07,random,253,1.0,0.0,21.054336383512506,False
2010-12-08,random,70,1.0,35.11924207775241,31.035609278013965,False
2010-12-09,random,166,1.0,1.6214025131744414,28.374543980544953,False
2010-12-10,kstar,42,1.0,15.353535353535008,21.01010101010159,True
2010-12-10,mirror,42,1.0,15.353535353535008,21.01010101010159,True
2010-12-10,random,62,1.0,0.8067118425292286,1.6134236850606776,True
2010-12-13,random,105,1.0,2.4000000000001798,-4.8000000000003595,False
2010-12-16,random,260,-1.0,-12.812299807815064,-20.019218449711662,False
2010-12-17,random,149,1.0,2.4179898444431913,6.447972918515177,False
2010-12-21,kstar,52,-1.0,3.9939292275736893,4.792715073088649,False
2010-12-21,mirror,52,-1.0,3.9939292275736893,4.792715073088649,False
2010-12-21,random,230,-1.0,3.9901045407386704,3.1920836325916024,False
2010-12-27,random,89,1.0,0.7977026164640577,2.3931078493943936,False
2010-12-28,random,111,-1.0,-3.184206336570572,0.0,False
2010-12-29,kstar,187,-1.0,-3.171331166258451,-1.5856655831303357,False
2010-12-29,mirror,187,-1.0,-3.171331166258451,-1.5856655831303357,False
2010-12-29,random,93,-1.0,0.7933989209774062,-0.7933989209774062,True
2010-12-30,random,295,1.0,-0.7951653944027193,1.590330788803218,False
2011-01-12,random,101,-1.0,-2.333540759178465,-4.66708151835693,False
2011-01-14,kstar,266,1.0,-4.645041418285256,1.5483471394273085,False
2011-01-14,random,105,1.0,0.7765783955893113,13.978411120600942,False
2011-01-18,random,135,1.0,8.497489378137546,10.042487446890735,False
2011-01-20,kstar,32,-1.0,35.10962003588914,70.21924007177938,True
