month,stop_share,n_prior,outcome,outcome_R,n
2009-08,0.4444444444444444,9,-1.3531062238699387,-0.2164625638271969,27
2009-09,0.3055555555555556,36,-1.4165024054915807,-0.2309963708362642,14
2009-10,0.3888888888888889,18,-5.493453923748031,-1.1657496606406212,11
2009-11,0.7272727272727273,11,1.2808944461598277,0.039809791584100196,8
2009-12,0.6,5,7.081957232912898,1.7445078720622795,6
2010-01,0.2222222222222222,9,-1.2544229541646097,-0.4376020345197773,3
2010-04,0.375,8,-0.4812688226801991,0.1283656038451805,6
2010-07,0.6666666666666666,9,-2.6097412074618553,-0.6201392817407304,5
2011-10,0.5,8,-3.2564983592401378,-0.8858003779381713,14
2012-08,0.4,5,5.09749986434675,1.3706003183023887,5
2013-05,1.0,5,-0.5798747240609562,-0.7335585588424115,7
2014-12,0.2,5,-6.314848006073479,-1.452959268489658,4
2016-08,0.6,5,-2.7654767570775234,-0.8842594068935689,3
2016-09,0.2,5,-4.327785397739936,-1.1360863464546849,3
2016-12,0.4,5,7.451606330796409,2.256493030432646,3
2018-04,0.4090909090909091,22,1.4084991240180416,0.686799085167233,5
2018-06,0.3333333333333333,6,0.742039371501224,0.2057006537830254,6
2018-07,0.5,6,-6.25576625347061,-1.2465159756675308,4
2018-08,0.6,5,2.8353209043551812,0.3658946504814636,7
2018-09,0.4,5,-4.218497080616757,-0.7805789983219793,7
2019-03,0.5,10,-8.757442166295611,-1.7108911240459623,3
2019-06,0.5,6,-1.9605076713907494,-0.5938020938325098,7
2019-07,0.5,8,4.40747735587616,1.1199537739727994,4
2020-01,0.5,10,-3.115816693446008,-0.8904604212532784,4
2020-03,0.42857142857142855,7,-10.27392877341902,-1.5142302531184342,4
2020-04,0.8,5,2.4781806047879775,0.3838091189858856,24
2020-05,0.375,8,3.601393902031321,0.9696460425880914,36
2020-06,0.4878048780487805,41,2.854285289137365,0.49823658554780165,44
2020-07,0.5789473684210527,38,0.5885539120042921,0.21069836432167577,17
2020-08,0.44,25,0.2314376388991322,-0.18543496370443954,19
2020-09,0.4090909090909091,22,5.6822366452051885,1.2771781379657194,19
