day,side,ret,ctl_a,ctl_b,long_oc
2007-01-03,1,-1.0684499658080597,1.4618007750170883,-1.0684084381729169,-0.5721790151863874
2007-01-04,1,-0.5730698317584624,-0.5731758469693405,-0.573048596436983,1.758521598521601
2007-01-05,-1,-0.6148867536032945,0.2545069778082877,-0.6148867536032945,-0.24761438652400708
2007-01-08,1,-0.20192631339549758,0.11647259495110367,-0.15650739476679013,0.0027848678213218355
2007-01-09,-1,-0.4296882111970909,0.5033864360491785,0.5035833864670236,0.22997272727272142
2007-01-10,1,0.8419804900181503,-0.6552699637023502,0.8419650398305819,1.5039581437670604
2007-01-11,1,0.7263580659536675,-0.5770944741533022,0.1355723494109764,0.7627421158577488
2007-01-12,1,-0.6823338485316829,-0.10832634135571016,0.40105496453901346,0.6240915148822682
2007-01-16,-1,-0.35159593280281487,0.02420203359858783,-0.3516057074823024,-0.17440988307962754
2007-01-18,-1,-0.4229028648164765,-0.4228267681289206,0.4946690532066503,-1.6496673364590289
2007-01-19,1,-0.06527733755944107,-0.019997736019911443,-0.06527733755944107,0.36649840836743913
2007-01-22,-1,-0.042888532845044625,-0.042888532845044625,0.6618886363636415,-1.2410470375395775
2007-01-23,1,-0.5900706955530262,0.7440467502850764,-0.5901749418472098,-0.180389550870766
2007-01-24,1,0.5705792821444867,-0.4743820990458831,0.570511995676273,0.9605153933865398
2007-01-25,1,-0.3126998423778371,0.3290576446746209,-0.31280147327448243,-1.5749515438359247
2007-01-26,-1,-0.11187643546164708,0.025927882406984692,0.16325469537333098,-0.5905911892262086
2007-01-30,-1,-0.31819266055045287,0.33546674311926405,0.3355949158146648,-0.0428937728937729
2007-01-31,1,0.5736812057547456,-0.6594770495547001,0.5966560073092761,1.012004587155965
2007-02-01,1,-0.358339724791323,0.3973685991427773,-0.3586161832105647,-0.6524215044047958
2007-02-02,-1,-0.5432529572338464,0.43491128298453335,0.04786699841664589,0.09333937882566826
2007-02-05,-1,-0.49710131758290715,0.20714447978191602,-0.042660321776569234,-0.06530811055731311
2007-02-06,-1,0.6729384370740358,-0.542439800090849,-0.36156193078324356,-0.40440524649479104
2007-02-07,-1,-0.4273704458022216,0.5004254356189388,-0.4274114527071754,0.4316237579042477
2007-02-09,-1,0.9366587891064487,-0.7176592392527507,0.9367093332674216,-1.567973973524792
2007-02-12,-1,-0.01999771271729641,-0.06574336688014183,-0.01999771271729641,-0.43017092069280244
2007-02-13,1,-0.5201796271032145,0.2528808549340506,0.04846838621319138,0.09416761817767132
2007-02-14,1,0.2048965362123244,-0.2899302744039573,0.2048965362123244,1.1376572077185088
2007-02-15,1,0.15887075134168918,-0.24363372093024022,0.04700022336385782,0.36086937037866845
2007-02-20,-1,-0.5369033707865144,0.6653224719101073,-0.5367925421064893,0.8533706606942858
2007-02-21,1,0.29080150976909097,-0.3752730905861425,0.3799577777777727,0.5587466607301781
2007-02-22,1,-0.3498570486034604,0.3869045524521513,0.3866481835892009,0.09021604938272104
2007-02-23,-1,-0.04209456473707468,-0.04209456473707468,-0.06420110497237129,-0.3723122660206972
2007-02-26,-1,0.1571678476527819,-0.817088131089463,-0.04218770800976259,-0.9651703671136549
2007-02-27,1,-0.7856914414414377,1.0386666666666595,-0.7858237107674586,-2.6572497745716785
