date,sym,vcp,vcp_held,stop_pct,n_ctl,ctl,ctl_held
2019-10-16,KNX,-1.789021855225792,False,7.854218980614713,2,-3.6730718480986244,0.0
2019-10-21,KNX,-1.229205122760968,False,7.328974746058292,2,-3.6730718480986244,0.0
2019-10-23,SEDG,-7.485760474356907,False,9.63934392876964,9,-3.657159131889278,0.1111111111111111
2019-11-25,SNAP,-5.994648054601792,False,12.903225806451612,5,-6.075330365049047,0.0
2019-11-27,NBIX,-4.013820574330107,False,5.579617575222262,3,-0.5956324096382396,0.3333333333333333
2019-12-31,SNAP,-1.055401370902287,True,14.513165319239118,5,-6.075330365049047,0.0
2020-01-24,ENPH,32.39549458474114,False,10.825690620592898,18,29.59288924888487,0.16666666666666666
2020-02-10,FCEL,-6.013401679300601,False,26.699029455821087,0,,
2020-04-06,CIEN,15.713268519879374,True,15.611812058340558,6,-3.1544024120804686,0.16666666666666666
2020-04-06,RGEN,26.001347157542497,False,13.305532367882723,4,0.29364185520580044,0.25
2020-04-08,AMD,7.16401534141573,False,14.531666365129148,7,-6.074940071665954,0.0
2020-04-09,MSCI,4.985403488988305,False,14.612633000498409,2,1.942318216036365,0.0
2020-04-13,AMD,2.641000148708761,True,18.138983338968508,7,-6.074940071665954,0.0
2020-04-13,BIIB,-7.904074155492347,False,10.200037837487418,3,-6.159883531515668,0.0
2020-04-14,RGEN,20.95696419712891,False,9.903733348925192,4,0.29364185520580044,0.25
2020-04-15,RNG,-3.671075948205549,False,15.74922496392025,6,-5.037333643401584,0.0
2020-04-15,TDOC,-4.371461191905213,False,21.103801070238305,16,-1.0691544757615183,0.0625
2020-04-16,CI,-9.109553750946597,False,10.903518027680004,0,,
2020-04-16,COST,-6.478438213314952,False,13.415831806003563,0,,
2020-04-16,RGEN,20.680887995568263,False,10.109372067100075,4,0.29364185520580044,0.25
2020-04-17,CRUS,-1.9322470936172453,False,9.56174946318502,3,-5.486701406235972,0.0
2020-04-17,LRCX,-12.85816366170829,False,10.314689430313296,7,2.6261141152130456,0.14285714285714285
2020-04-20,COR,-4.709869332668748,False,6.025454467719249,5,-3.594674314842443,0.0
2020-04-22,FNV,5.951101306815909,True,9.38215991792497,8,3.901720604082475,0.25
2020-04-22,KGC,-0.9445649582805471,False,14.92537053276697,12,4.034044090298169,0.25
2020-04-23,KR,-4.327795070567508,False,6.05232029275331,1,-2.9586777820763355,0.0
2020-04-24,GEN,-2.7233928656359208,False,9.064905960512505,3,-5.4016347065848676,0.0
2020-04-24,LDOS,-4.869210208285956,False,12.084389968036902,1,-4.073350319019697,0.0
2020-04-27,ADSK,-3.289332481375762,False,8.57486952359653,10,4.6226460608677336,0.4
2020-04-27,BIO,4.3630599952135585,False,8.21290711144802,9,2.7494424245696334,0.1111111111111111
2020-04-27,DLR,-6.133590032063574,False,9.972105446668111,4,-5.012598839922838,0.0
2020-04-27,FAST,8.493784817892802,False,8.482080866123876,4,-1.005207958061638,0.0
2020-04-27,MCO,1.4773621321203523,False,10.531903391757924,3,5.652372826498168,0.0
