date,sym,ret
2010-01-21,STX,-5.78122415813711
2010-01-22,ISRG,-3.803572253546872
2010-02-18,BKNG,-3.567160000123615
2010-02-19,INTU,-2.7924102131400175
2010-04-27,CMI,-2.6120860157937353
2010-05-27,NTAP,-0.6704301857639039
2010-07-22,FFIV,-0.9536924303690242
2010-10-26,RCL,0.2963964349125492
2010-10-26,TPR,12.990497685846258
2010-10-27,FFIV,-2.381178657324312
2010-11-09,BKNG,-1.556906983436912
2011-01-25,GLW,3.890704812446022
2011-02-17,WMB,-3.3142190231727042
2011-05-09,SYY,-1.27460984939336
2011-05-11,M,-3.085377349204488
2011-07-29,EXPE,-9.080695947489502
2011-10-19,ISRG,1.1002210150455438
2012-04-18,ISRG,-3.1160229800847428
2012-04-18,URI,-4.562613714927643
2012-04-19,EBAY,-4.106326794589554
2012-07-27,EXPE,-4.908043053606992
2012-08-21,URBN,2.3910083892846545
2012-09-07,ULTA,-2.7945654566816303
2013-01-29,BSX,2.4709102125026305
2013-01-29,VLO,4.196528138497002
2013-04-25,NOW,-10.757140686709675
2013-05-16,CSCO,-2.497442978016806
2013-07-19,CMG,-2.027574745394811
2013-08-22,GME,-5.083123995778704
2013-09-13,ULTA,8.257699238337079
2013-10-24,MCK,6.595865037237458
2013-11-13,M,3.252507428716589
2014-01-30,NOW,-3.515824817160751
2014-01-31,CMG,-1.783696337251106
2014-02-07,EXPE,1.5160405963655643
2014-02-07,ON,-1.9661737404099044
2014-07-16,INTC,-4.841836321876092
2014-07-22,CMG,1.3400783417941264
2014-07-24,RCL,-1.6994235451519235
2014-07-30,EW,-3.02574839933738
2014-08-29,AVGO,4.374358037677828
2014-10-24,EW,8.561354962807389
2014-10-30,V,7.074072766019457
2014-11-21,ROST,3.7505551842252016
2014-12-05,ULTA,-2.3227193878138985
2015-01-29,NOW,1.9210224607830284
2015-02-12,CSCO,-1.9952423772501504
2015-02-26,AVGO,-3.6379329801396243
2015-02-27,MNST,-3.3822044682254027
2015-02-27,ROST,-1.9046467152611046
2015-03-05,KR,1.0223514728952443
2015-03-10,URBN,-0.40365932214159184
2015-03-13,ULTA,0.9504590423135006
2015-04-16,NFLX,14.639263386911217
2015-04-21,FTNT,6.404620835731456
2015-05-01,EXPE,-3.065515210573211
2015-07-16,NFLX,-8.283096333699946
2015-07-17,GOOG,-4.448795672892436
2015-07-23,FTNT,-4.9308820112864415
2015-07-24,V,-1.454000588738802
2015-07-31,EXPE,-2.45155510025018
2015-08-05,BKNG,-2.700694274863147
2015-10-22,MCD,-1.00996696959601
2015-10-23,MSFT,2.734335557425127
2015-10-28,NOC,-1.640442285536725
2015-10-30,EXPE,-0.8514530800660225
2015-12-04,ULTA,-1.4304981446363052
2016-03-02,ANF,1.0473084107867292
2016-04-27,BSX,2.535702752255231
2016-05-20,AMAT,2.759326064745249
2016-05-27,ULTA,18.095128910956817
2016-07-20,ISRG,-1.9174337021806376
2016-07-21,EBAY,5.268694217037062
2016-07-26,TXN,-3.2753576031701814
2016-08-16,DKS,-2.1190160235702638
2016-08-17,URBN,-2.580611144537892
2016-10-21,MSFT,-0.584495421444009
2016-10-27,FFIV,6.17722972608683
2016-11-03,TTWO,-2.989829100203001
2016-11-17,NTAP,-0.6866538176856452
2016-11-18,MRVL,-5.729275820434198
2016-11-23,DE,7.72884319835232
2016-12-08,CIEN,-4.814612350196034
2016-12-09,AVGO,-0.9295040902595253
2016-12-22,MU,-4.159113056062025
2017-01-19,NFLX,-0.9352636127313629
2017-01-25,STX,9.179120902619452
2017-01-26,RCL,-0.8579483695673962
2017-01-26,URI,-5.038209821536999
2017-02-03,FTNT,-4.009777351900734
2017-02-13,ON,0.40140685927589903
2017-02-17,ANET,23.597677286456964
2017-02-22,TOL,4.30048157010674
2017-04-19,ISRG,11.073904643316968
2017-04-19,LRCX,13.563650579191
2017-04-25,CAT,-2.9810194340626817
2017-04-28,RCL,-2.96163908521786
2017-04-28,WDC,-4.513620390753048
2017-05-02,CMI,-1.3994937762010662
2017-05-02,TPR,6.471931997942271
2017-05-19,DE,2.2436177228763343
2017-06-01,CIEN,-6.880062414295041
2017-06-02,AVGO,-4.587385720216453
2017-07-18,NFLX,-4.450557437635672
2017-07-27,META,-1.9798608477790913
2017-08-03,TTWO,9.355664822958222
2017-08-04,ANET,-4.463282121639378
2017-09-27,MU,17.693732352346192
2017-10-24,CAT,-1.4632207761710592
2017-10-27,FSLR,-0.892011969576989
2017-10-27,MSFT,-0.9499413989651151
2017-11-08,TTWO,-2.3120167835934957
2017-11-16,CSCO,14.69592455186235
2017-11-16,NTAP,4.967801572943942
2017-11-16,WMT,0.799478143034138
2017-11-17,ROST,14.047068684555919
2017-12-01,NTNX,-0.33818939464214104
2018-01-23,NFLX,-0.5267608991972317
2018-02-01,EBAY,-4.283387438250841
2018-02-23,HPE,1.1884832499443831
2018-02-27,PANW,3.371904279233706
2018-02-28,TJX,-1.1654340630353754
2018-03-07,ANF,-7.824882767617503
2018-05-16,M,12.340168442565801
2018-05-31,BURL,2.0248022147624
2018-06-07,FIVE,-0.6330572926673717
2018-07-20,CLF,-0.6005931914435547
2018-08-21,TJX,1.8438507144819205
2018-08-30,CIEN,-3.57954985471709
2018-09-07,FIVE,-3.5928064387472203
2019-01-31,NOW,7.515860403154595
