date,i,sym,ret,ext,grp
2019-10-08,193,SEDG,-2.9688474068246706,-0.8466735437888808,wedge
2019-10-10,195,ACAD,2.610777076523907,-1.8137671783210203,wedge
2019-10-11,196,KNX,2.701389491921602,-0.8821159843020189,wedge
2019-10-11,196,SAM,-6.142109714917732,0.3407356551797184,wedge
2019-10-14,197,SHOP,-6.188397347362862,0.049717087923828694,wedge
2019-10-17,200,APO,6.856724395828229,-0.983287205664498,wedge
2019-10-18,201,ALNY,2.1074456489264204,-0.7638448505537612,wedge
2019-10-21,202,CZR,21.18595439393891,-0.23549788555652884,wedge
2019-10-21,202,WYNN,3.8564402435090184,0.1837733019300086,wedge
2019-10-22,203,PEN,13.792187000011724,0.12252590301797503,wedge
2019-10-24,205,AAL,0.4981800000079417,0.5656669480535709,wedge
2019-10-25,206,LITE,18.92783940258953,0.15353043538643893,wedge
2019-10-28,207,TNDM,-6.372691292177002,0.23007032869729815,wedge
2019-11-01,211,AA,-3.1660027392845125,0.11310323620915062,wedge
2019-11-08,216,MOH,-3.822284719684843,-0.19731435833621994,wedge
2019-11-08,216,PAYC,21.311949867264456,-0.56925197594044,wedge
2019-11-11,217,IR,-2.619532986163875,0.017424609274015457,wedge
2019-11-13,219,PTC,0.9167058580626719,-1.4891973278459893,wedge
2019-11-15,221,MDB,1.7699806542605945,-0.10411997356049436,wedge
2019-11-15,221,NTNX,-2.406265935891161,-0.4839334182568755,wedge
2019-11-18,222,NOW,2.6070869866461344,0.7001703957176476,wedge
2019-11-19,223,FCX,-3.3849021008446445,-0.6130969729555807,wedge
2019-11-19,223,SAM,-1.3472926796890605,-1.7782651871980093,wedge
2019-11-19,223,TEAM,-4.248860098561435,-0.02901371889047418,wedge
2019-11-19,223,TTD,-4.031934844202267,0.1188412798660243,wedge
2019-11-20,224,EIX,-2.9016748792939695,-0.6850610989775046,wedge
2019-11-20,224,SLB,-2.028291940812643,-0.9292149127299599,wedge
2019-11-21,225,SRPT,1.3139225725493198,0.17205315463216647,wedge
2019-11-25,227,FND,-2.7141424581880735,-0.6857126192522036,wedge
2019-11-25,227,IPGP,-2.660208749265003,-2.264995359771622,wedge
2019-11-25,227,XYZ,-2.203119582008395,0.08348977972501294,wedge
2019-11-26,228,NVR,-2.472900851083304,0.41022402481431813,wedge
2019-11-26,228,SHOP,33.91495549400805,0.7712321844473057,wedge
2019-11-27,229,FLEX,-2.1776685559499964,-0.7310657284663331,wedge
2019-12-04,233,AVTR,1.916300987220021,-0.17408053609106713,wedge
2019-12-16,241,ENPH,-1.710748051626343,0.14913015840488594,wedge
2019-12-23,246,EXEL,-3.7565099973448146,0.3591587669083904,wedge
2019-12-26,248,MDB,-4.701239652488242,-2.6698925244591964,wedge
2020-01-02,252,CHWY,-3.5691518869212957,0.006027046218421387,wedge
2020-01-15,261,AXON,5.442275444082578,-1.72644147656571,wedge
2020-02-04,274,SHAK,5.115258829452429,-1.0985562971474643,wedge
2020-02-04,274,ZS,-7.60685079974458,-1.5303563765839279,wedge
2020-02-10,278,ACAD,-3.0453373459816135,-1.7997214609913195,wedge
2020-02-12,280,NKTR,-6.277924645520205,-4.525367632043351,wedge
2020-02-12,280,NTNX,-0.2828819089865209,-0.6342350350570615,wedge
2020-02-12,280,TER,-4.213668842821239,-3.7914534948440783,wedge
