sym,entry,exit,how,pct,R,stop10,trail,hot
AES,2009-06-25,2009-09-01,ema,18.91656039481253,2.8399933473743646,False,,False
WDC,2009-06-26,2009-07-07,stop,-6.766125526738842,-1.2394444852779518,True,,False
NRG,2009-06-29,2009-07-06,stop,-5.959787637444391,-1.107686733015992,True,,False
STX,2009-06-30,2009-07-06,stop,-4.11164499534562,-2.157889735285235,True,,False
ON,2009-07-01,2009-07-06,stop,-5.674077478965089,-1.3928573253202043,True,,False
KMX,2009-07-15,2009-08-17,ema,4.7673361732731845,1.0410954967006811,False,,False
CCL,2009-07-15,2009-08-17,ema,3.4246365996684958,0.5892853101046885,False,,False
MRVL,2009-07-16,2009-08-10,ema,1.3988435286488743,0.42857524359762195,False,,False
TECK,2009-07-17,2009-08-26,ema,19.229487045469984,4.019613161028095,False,,False
MU,2009-07-22,2009-10-01,ema,21.671989683625227,4.090908597895448,False,,False
LEN,2009-07-22,2009-09-24,ema,39.26920191147172,4.772728379146088,False,,False
STX,2009-07-22,2009-08-17,ema,-0.7893484547133345,-0.1296321077869346,False,,False
CBRE,2009-07-23,2009-08-17,ema,8.474045425669274,1.7346954663469585,False,,False
GT,2009-07-23,2009-08-26,ema,18.312629510107502,3.367085135024641,False,,False
BFH,2009-07-23,2009-09-01,ema,5.87707624168663,0.7193402937663295,False,,False
IP,2009-07-23,2009-09-21,ema,24.795164755144672,9.096383149451038,False,,False
NRG,2009-07-27,2009-07-28,stop,-3.2530428183623283,-2.184223362122605,True,,False
CI,2009-07-28,2009-09-01,ema,0.5714106671671049,0.10526472702969347,False,,False
UNH,2009-07-28,2009-08-03,stop,-6.1026663151812155,-1.0617216754840417,True,,False
FITB,2009-07-29,2009-09-02,ema,11.238020830294326,3.0000188274913775,False,,False
PHM,2009-07-30,2009-09-01,ema,11.089856442069213,4.032267419760416,False,,False
CMI,2009-07-31,2009-09-01,ema,2.683039577644908,0.5425297876674395,False,,False
PFG,2009-08-03,2009-09-01,ema,2.624716408251193,0.3977873185237802,False,,False
SCCO,2009-08-03,2009-08-17,stop,-4.580514852352624,-1.5312564408753893,True,,False
AA,2009-08-03,2009-08-26,ema,-2.665406814820692,-0.7239272066883934,False,,False
HOG,2009-08-03,2009-08-05,stop,-3.877092520349401,-1.4098318870147377,True,,False
BAC,2009-08-03,2009-09-01,ema,7.226566628041464,2.279994183658111,False,,False
TXT,2009-08-04,2009-08-17,stop,-6.558195614883211,-2.1904579423978663,True,,False
VNO,2009-08-04,2009-08-17,ema,-0.9799812157741505,-0.11013792785890505,False,,False
DHI,2009-08-04,2009-09-02,ema,-1.4373796684493345,-0.1232056933698933,False,,False
SPG,2009-08-04,2009-08-17,ema,-3.901118230082967,-0.42702946774047884,False,,False
LUV,2009-08-04,2009-08-27,ema,-3.289961066659852,-0.6428605960253093,False,,False
EXPE,2009-08-05,2009-09-02,ema,-0.47207891557919934,-0.06740898670313204,False,,False
WFC,2009-08-05,2009-08-17,stop,-6.326023844463425,-1.211270685369407,True,,False
BXP,2009-08-05,2009-08-17,stop,-9.022703278179034,-1.2936830338649479,True,,False
AXP,2009-08-05,2009-09-02,ema,5.026918534988978,0.7130079133353755,False,,False
HST,2009-08-05,2009-08-17,stop,-7.8173888806660425,-1.2539662226601915,True,,False
COF,2009-08-06,2009-09-02,ema,6.697965957740237,1.8528798599914367,False,,False
ANF,2009-08-06,2009-09-01,ema,2.6657727309691515,0.5287994703921247,False,,False
URBN,2009-08-06,2009-09-25,ema,12.93979610600784,1.738693207250226,False,,False
TFC,2009-08-07,2009-09-02,ema,0.9597235813999294,0.24192618515385797,False,,False
WHR,2009-08-07,2009-08-14,stop,-6.548385151820247,-1.1039355518514258,True,,False
M,2009-08-07,2009-08-17,stop,-9.93642660298838,-1.5294158705952663,True,,False
CNX,2009-08-13,2009-08-17,stop,-7.9676515396713725,-1.4184995345508442,True,,False
VTRS,2009-08-13,2009-10-21,ema,13.214585818176182,2.893940734171492,False,,False
RMBS,2009-08-19,2009-09-01,stop,-13.677643245779025,-1.440000261579241,True,-3.6017940298965905,False
RCL,2009-08-20,2009-09-02,ema,-6.030258392190834,-0.9098405518009529,False,-3.6017940298965905,False
HIG,2009-08-25,2009-09-01,stop,-7.02245509287801,-1.4588417448159725,True,-3.6017940298965905,False
TXT,2009-08-26,2009-09-25,ema,14.220751117524477,2.354051509951635,False,-3.6017940298965905,False
STX,2009-09-08,2009-10-01,ema,-1.956524486526512,-0.28259523854024654,False,3.010596592208935,True
CIEN,2009-09-08,2009-10-01,ema,4.0882185906570445,0.9687493015084437,False,3.010596592208935,True
LVS,2009-09-09,2009-09-30,ema,-0.19980019980019303,0.0,False,3.010596592208935,True
WYNN,2009-09-09,2009-10-01,ema,7.167958812664965,1.478680675089816,False,3.010596592208935,True
AMD,2009-09-10,2009-10-01,ema,-0.014302573260649432,0.05555408383842665,False,3.010596592208935,True
CLF,2009-09-11,2009-10-01,ema,0.823636726435395,0.22464098259992,False,3.010596592208935,True
M,2009-09-15,2009-10-21,ema,6.997630137801969,1.9242504432181433,False,3.010596592208935,True
HST,2009-09-15,2009-10-01,ema,-0.019187821485611156,0.06665892092970223,False,3.010596592208935,True
CNX,2009-09-15,2009-10-01,ema,-4.797179326715451,-0.9008645276221688,False,3.010596592208935,True
MSI,2009-09-15,2009-09-21,stop,-3.9965810142784886,-1.1666740283733,True,3.010596592208935,True
PSKY,2009-09-15,2009-09-23,stop,-2.9296063539404726,-1.1723940246529017,True,3.010596592208935,True
COF,2009-09-16,2009-09-21,stop,-7.134625354967072,-1.449196757552648,True,3.010596592208935,True
PRU,2009-09-16,2009-09-23,stop,-9.93686883838576,-1.4026345110949752,True,3.010596592208935,True
CBRE,2009-09-16,2009-09-21,stop,-7.9238019750812905,-1.5781245110559106,True,3.010596592208935,True
CLF,2009-10-08,2009-10-27,ema,-0.6473085732385364,-0.09248016935387574,False,4.279529183602023,True
CDE,2009-10-08,2009-10-26,stop,-3.4051890927457085,-1.0136968255116858,False,4.279529183602023,True
KGC,2009-10-13,2009-10-20,stop,-4.974346720695733,-1.3780530171173226,True,4.279529183602023,True
TEX,2009-10-14,2009-10-28,stop,-9.997724685712427,-1.7936486753791723,True,4.279529183602023,True
WPM,2009-10-14,2009-10-20,stop,-3.1451875185068534,-1.1621681117249354,True,4.279529183602023,True
PFG,2009-10-14,2009-10-21,stop,-4.43296560455525,-1.059333083140481,True,4.279529183602023,True
HST,2009-10-14,2009-10-16,stop,-7.933679682180317,-1.056176529793835,True,4.279529183602023,True
COF,2009-10-14,2009-10-16,stop,-7.808441604176197,-1.7857105512590972,True,4.279529183602023,True
PSKY,2009-10-15,2009-10-27,ema,-6.159141411372826,-0.7523807705546739,False,4.279529183602023,True
IP,2009-10-15,2009-10-21,stop,-6.346198706189787,-1.138684430185125,True,4.279529183602023,True
ATI,2009-10-15,2009-10-16,stop,-5.577809561854707,-1.5909141030266327,True,4.279529183602023,True
MSI,2009-11-02,2009-11-11,stop,-3.0733630735261475,-1.3000075843586822,True,-1.0209563206260373,False
IAG,2009-11-06,2009-12-04,ema,10.59267360682905,2.282051684729348,False,-1.0209563206260373,False
OSK,2009-11-11,2009-11-12,stop,-2.133791778555072,-1.1304225862182025,True,-1.0209563206260373,False
STX,2009-11-12,2009-11-19,stop,-4.655142570078496,-1.4999919553541723,True,-1.1739093456393122,False
CLF,2009-11-13,2009-12-04,ema,2.179233241200662,0.38608162202912477,False,-1.3217807708888354,False
MOS,2009-11-17,2009-12-17,ema,5.965587685095763,1.0382131568954085,False,-1.3217807708888354,False
BKNG,2009-11-17,2009-12-31,ema,4.149100134060557,1.5000039790279203,False,-1.3217807708888354,False
