day,side,ret,ctl_a,ctl_b,long_oc
2007-01-04,-1,-0.5314140624999854,0.7185617897727151,-0.5313678044112642,0.2844367344048699
2007-01-05,-1,-0.36772440218547486,0.4731026041296985,-0.3677526553144927,-0.4303467062902579
2007-01-08,-1,-0.44035905107927903,0.5819195697086199,-0.4403155356561603,0.2214181224257878
2007-01-09,-1,-0.26093601643873315,-0.2608892510451244,0.3130663186956719,-0.1544434222631143
2007-01-10,1,0.4630427678317487,-0.36103935777207335,0.3419733106189738,0.5561260492246358
2007-01-11,1,0.14897267990423882,-0.4002654555696389,-0.16037694791520266,0.474439813506646
2007-01-12,1,0.22539934085967692,-0.27947409017599406,0.22539934085967692,0.5709900084435648
2007-01-16,1,-0.20850300237396377,0.23487885770143835,-0.20852155182550794,-0.05494513175368145
2007-01-17,1,-0.23664103997764283,-0.23668297455969484,0.27700084293977423,0.0639833414992619
2007-01-18,-1,0.03613091062158231,-0.09014943173846178,0.1132071503680456,-0.5298330655863651
2007-01-19,1,0.01499265066144206,-0.06899979001889989,0.17627804262480404,0.24656447313035976
2007-01-22,-1,0.0783527676313611,-0.13238058443383371,-0.10445531315975626,-0.6280338295938948
2007-01-23,1,0.04308447248509941,-0.0971188222923199,0.057114211596441526,0.32442882249560634
2007-01-24,1,0.38121528262389137,-0.30614096301465854,0.381206017794431,0.6374141428271586
2007-01-25,-1,0.20270911621432436,-0.18699860821154474,0.20269650240380852,-1.0627217741935546
2007-01-26,-1,-0.3434969411433715,-0.34343365445467167,-0.3435088190335436,-0.30049722981977334
2007-01-29,1,-0.27975145685598907,-0.2798020080039214,0.34153637139508725,-0.18877206554609308
2007-01-30,-1,-0.22404390037990793,0.2578665400309762,-0.22401820832997849,0.2609687390235311
2007-01-31,-1,-0.19550470307453366,0.2151295100379046,-0.1954624532033524,0.800221552268111
2007-02-01,1,-0.2554831336150059,-0.16547343630947473,0.30549942499593286,0.2643968088796306
2007-02-02,-1,-0.29007201218667467,0.2292473341642463,-0.2900595570176547,0.007632306204216488
2007-02-05,-1,-0.24852236532335775,0.29502111895859534,-0.06840351241098132,-0.03382100898409877
2007-02-06,-1,-0.0752839966832457,-0.22036760641238332,-0.22043021765609808,-0.15104918258950598
2007-02-07,1,-0.3021278645654158,0.3757459913289081,-0.30216395051034955,-0.0889022877618546
2007-02-08,-1,-0.28997854225790504,0.35720253339794206,-0.289979500612931,0.04215637518993944
2007-02-09,-1,0.3975141457356042,-0.3166864476952912,0.3975222307931523,-0.8126968151109988
2007-02-12,-1,0.1331660285416068,-0.3053880960668133,0.021819638999248447,-0.3881728497985342
2007-02-13,1,0.2505988481021284,-0.27677329817501467,0.3373227227478506,0.4877039716213261
2007-02-14,1,0.06933745704466417,-0.12310240549827241,-0.013134184864728875,0.5531464088397616
2007-02-15,1,-0.20525629588965272,-0.09548891786181482,0.10357937379842501,0.08296148829547952
2007-02-20,-1,-0.3507019840176349,0.44840107467623735,-0.35069629116989226,0.34407392140697446
2007-02-21,1,-0.20521816684960956,0.2304373627881449,0.23037789748480733,0.16540759563214938
2007-02-22,1,-0.19772422750888702,0.2192917692097441,-0.19779751923299668,-0.17746525162615465
2007-02-23,-1,0.34447362992502484,-0.2812686515849385,-0.10951528504544514,-0.28073080354077823
2007-02-26,-1,0.28212495708888446,-0.23968348781323298,0.28213390180283987,-0.45196735925392895
2007-02-27,-1,0.7588186199189831,-0.5577315267495396,0.7588429246784199,-2.723184376954615
2007-02-28,1,-0.24657484775527708,0.19245645092763225,-0.09800156017303335,0.34323669777050375
2007-03-01,1,0.5810555317017276,-0.6354894804637142,0.0868033895891167,0.8553422789896596
2007-03-05,1,-0.7761368383147224,-0.7762866402592669,-0.7761316535368525,-0.19399724477957497
2007-03-06,-1,-0.5687509927081077,0.7740863475561431,-0.5686959491257354,0.7076970745064204
2007-03-07,1,-0.3271347953425155,-0.3271947996285359,0.41211189052686004,-0.22035279805353528
2007-03-08,1,-0.44530908833120897,0.5897313200056745,-0.44530406471314443,-0.03422909996443922
2007-03-09,-1,0.1503754968767746,-0.41746237932991404,-0.4175626651529097,-0.5223208094530651
2007-03-13,1,-0.45378138112509375,0.6023515397197857,-0.45377733618282257,-1.5172839418140354
2007-03-14,-1,-0.4829750452079533,-0.482883905967447,0.6455289137613031,0.4856194466517225
2007-03-15,1,-0.03432798395186941,-0.01999928356496681,-0.1987969387025314,0.3539549769850411
2007-03-16,1,-0.4359384637452436,0.5753410313418944,0.5752236257502865,-0.6229122101787471
2007-03-19,-1,-0.3000991023339285,0.3713425493716387,-0.3000702788188214,0.5544068648571034
2007-03-20,1,0.2616512158596397,-0.22682307637450813,0.2616389901720469,0.5795966590519661
2007-03-21,-1,-0.28260449932580034,0.34544425519835764,-0.2825964453267999,1.5531941885187939
2007-03-22,-1,-0.3274214056168834,0.09176680173258066,-0.32741555099394437,-0.13848051857530952
2007-03-23,1,-0.06875931731104303,0.014835249042147176,0.09861140185612088,0.11258426966293326
2007-03-26,-1,-0.650977216964589,0.6318794251664899,-0.650989021662969,0.03574285714285951
2007-03-27,-1,-0.27209004341128296,0.3300553143817329,-0.27210771574305254,-0.3203968420317107
2007-03-28,-1,-0.6634459841629,0.04362415158370639,0.43014768971095413,-0.5121120719960611
2007-03-29,-1,-0.29421119235095294,0.36311621203600025,-0.2941944066917526,-0.32164024133575664
2007-03-30,1,-0.34963035701759104,0.44648488461807045,-0.3496471033251442,-0.18879580783568248
2007-04-02,-1,-0.5070953624620647,0.6822654761064615,-0.10440185667066153,0.07143640967924507
2007-04-03,1,0.40208938040748615,-0.32005721462460757,0.14733491388327175,0.4555759949639769
2007-04-05,1,0.10869103937664752,-0.12436482537914732,0.10869925764480355,0.3975812626157261
2007-04-10,1,0.0283637368712082,-0.08219458264235248,0.2361708904584018,0.29868149379893216
2007-04-11,-1,0.24351338233253805,-0.47758909998613625,0.16737630976337595,-0.7104439994475767
2007-04-12,1,0.504361672570665,-0.38816836841007285,0.5043447455268831,0.6616702608695715
2007-04-13,-1,-0.4215902797009092,0.554574909997233,-0.3238551305068408,0.2146204278812935
2007-04-16,1,-0.45019736392815984,-0.26587516219353574,-0.45020576351021174,0.6038228438228351
2007-04-17,1,-0.08794713237292974,0.03436871432454703,-0.10831306474624944,0.048038241698411276
2007-04-18,1,0.4017545411252629,-0.319369344853396,0.40174851896873964,0.3483117326057376
2007-04-19,1,-0.27217367595936554,-0.27222275236860827,-0.2721504865638036,0.307522178244854
2007-04-20,-1,-0.3172259371833694,0.2569050996284954,-0.1413870532703894,0.1419046012683848
2007-04-24,-1,0.23673106802674207,-0.20913260825507116,-0.20919011328480933,-0.15491263576873623
2007-04-25,-1,-0.3162255132951723,0.397325479636483,-0.31624003088097097,0.46404962011700274
2007-04-26,-1,-0.35517595013069286,0.10734097459614493,0.053581700220724074,-0.09357682788147884
2007-04-27,1,-0.24105446506330355,-0.24109734038989294,-0.24104997876889042,0.22153727437429008
2007-04-30,1,-0.39409473543560347,0.5145276590058997,-0.3941090331033465,-0.9622308360622908
2007-05-02,1,0.3955909365153631,-0.3149943018032972,0.013427387001873679,0.4567817327065136
2007-05-03,1,-0.33947879917457935,0.43268521600210963,-0.3394832312742498,0.1800460153384477
2007-05-08,-1,-0.18625041558614874,-0.18621849857038972,-0.186251299973805,0.16594075845123232
2007-05-09,1,-0.21231463058761182,-0.21235177079188297,-0.21231375097388608,0.46454992033988923
2007-05-10,1,-0.31142014969860127,0.39071934821485527,-0.3114306875860865,-0.9553546075764462
2007-05-11,1,0.2632476837965566,-0.22664533759913547,0.26324857221158293,0.681097829716195
2007-05-14,-1,0.5606439519607321,-0.4247110344369943,0.5606435116647898,-0.2320966458968595
2007-05-15,1,-0.5088201096650523,0.6869485366981463,-0.5088157469662383,-0.23895686794956414
2007-05-16,-1,-0.31869516161146727,0.40140804406982833,-0.31866878278193234,0.5104502652519908
2007-05-17,1,0.25063506733561364,-0.2180650911011302,0.25062896046092425,0.013025498744881934
2007-05-18,1,-0.26309350154411276,0.3184272948288175,0.26275417598316303,0.34194813742266833
2007-05-21,1,0.1993187324035873,-0.18370326720354918,0.1993144426164312,0.058638746886876036
2007-05-22,-1,-0.19700819403473674,0.2192412323828253,-0.1969944570314027,-0.09857311243534388
2007-05-23,1,-0.2680500065282703,0.3260334247290903,-0.26803383245528845,-0.39917162471395434
2007-05-24,1,0.33698951850639164,-0.27551130036029836,-0.2755374773329194,-1.0229817085163642
2007-05-25,1,0.25036734155511176,-0.21786915518036803,-0.2178126628553356,0.21761502409400263
