date,sym,b5,adr,A,A_R,B,B_status,B_R,dec
2026-05-06,VSH,0.6376042456406369,4.979228224856365,65.58711503325347,19.652663150187813,70.5156222446928,entered,20.0,6
2026-05-06,WT,0.6376042456406369,5.027573943813671,-3.553425656293263,-1.2314251829363814,-1.8017304873270246,entered,-0.6243823593239763,6
2026-05-07,NET,0.525,6.567208725115778,-23.775018408885316,-7.47267704560721,0.0,stopped before entry,0.0,9
2026-05-07,NTRA,0.525,4.9482020839016885,-11.813344047350904,-2.61511309167404,0.0,stopped before entry,0.0,5
2026-05-07,OSCR,0.525,4.89410119706238,1.0913310025776113,0.138878420287718,0.0,abandoned,0.0,5
2026-05-07,PANW,0.525,4.006386705955149,65.35867170456709,20.0,0.0,abandoned,0.0,0
2026-05-07,RIOT,0.525,6.511372589286385,-6.263977065595084,-1.2278399421861317,-6.14719363285584,entered,-1.2049485168502332,9
2026-05-07,TGTX,0.525,4.292502459106777,-5.384076772864144,-1.242089559717536,-5.019827735682092,entered,-1.1580584536788467,2
2026-05-08,COCO,0.4894578313253012,5.876381646695365,2.7412401211397652,0.5983928705390592,1.5218427939406531,entered,0.332207263038559,8
2026-05-08,DDOG,0.4894578313253012,5.390138481084348,11.18827012520458,1.4772055727340239,10.001204773485917,entered,1.3204753961173576,7
2026-05-08,FLEX,0.4894578313253012,4.36996839366831,-8.932407255840126,-1.873039162019971,-10.752885916991229,entered,-2.2547758796028274,3
2026-05-08,HNGE,0.4894578313253012,5.407048457741376,-4.0122308480334485,-1.096415890699421,-1.7677254849603918,entered,-0.48306350893415895,7
2026-05-08,KRYS,0.4894578313253012,4.26095132693404,-4.757092978471434,-1.0607525603240626,-6.939696249960747,entered,-1.5474367640765596,2
2026-05-08,MTSI,0.4894578313253012,4.634541256453266,-1.8886488245018596,-0.6703017419095957,-3.4975591207656254,entered,-1.2413212772360394,4
2026-05-08,OSCR,0.4894578313253012,5.154029660313932,-0.9959542122533693,-0.1443795486053008,0.0,abandoned,0.0,6
2026-05-08,SANM,0.4894578313253012,6.054624340682682,-5.226985395807127,-1.0746040216769983,-4.1033306662436875,entered,-0.8435944052480245,8
2026-05-08,TWLO,0.4894578313253012,5.023386057718219,-4.613372896613832,-1.3255224114584625,-3.119579281722129,entered,-0.896323003778705,6
2026-05-08,VSH,0.4894578313253012,4.836270046702666,62.20388728072885,20.0,59.54934656562487,entered,19.24684162568534,5
2026-05-11,DDOG,0.41056603773584904,5.367999829374994,10.001204773485917,2.208998923649689,11.310614602831471,entered,2.498212570320427,7
2026-05-11,FLEX,0.41056603773584904,4.499254570114766,-10.752885916991229,-2.1368775159056725,-7.315632705223907,entered,-1.4538060910434476,3
2026-05-11,KRYS,0.41056603773584904,4.418668219051818,-2.3018295431275204,-1.1509147715637602,-1.4926870223825106,entered,-0.7463435111912553,3
2026-05-11,LSCC,0.41056603773584904,4.88754420840419,-3.3804734485013976,-1.0658813099004403,-0.661287072820238,entered,-0.20850734139335803,5
2026-05-11,MTSI,0.41056603773584904,4.630347317054304,-3.4975591207656254,-0.9701946257162473,-2.6675692204609525,entered,-0.7399621370376611,4
2026-05-11,OSCR,0.41056603773584904,5.3786712851631595,-4.101083506226555,-0.7166305112702446,0.0,abandoned,0.0,7
2026-05-11,STX,0.41056603773584904,5.269180128499078,-11.348803939251283,-2.1743647401777935,-8.585574117172701,entered,-1.644945999110723,7
2026-05-11,WDC,0.41056603773584904,5.473350134206038,-6.741195581370341,-1.249482176284128,-1.572017717701879,entered,-0.2913738513238731,7
2026-05-12,CNC,0.38930722891566266,4.230446802451393,2.038170879157053,0.3424471071139593,2.9056948418881623,entered,0.4882057745678744,2
