ticker,company,filed,first,entry,sp500,first20,ex60,ind60,ex120,ind120,ex250,ind250
MPC,Marathon Petroleum Corp,2011-01-25,2011-06-24,2011-07-25,True,11.060387853556875,,,,,,
PSX,Phillips 66,2011-11-14,2012-04-12,2012-05-10,True,-4.47061745021794,25.886957341593686,,32.850586218101185,,48.563475243006806,
ABBV,AbbVie Inc.,2012-06-04,2013-01-02,2013-01-31,True,5.714052684792059,19.5423018072025,5.067517404216716,8.470310447923525,-3.3096447218541485,5.719979776173364,-9.310943281498574
MUSA,Murphy USA Inc.,2013-05-06,2013-08-19,2013-09-17,False,4.221356964700496,6.322172406427977,10.249871083415403,-9.013629041327366,16.42369683282513,11.622670199087782,37.63155322877729
ALLE,Allegion plc,2013-06-17,2013-11-18,2013-12-17,True,-9.75656982489369,6.514962622654126,,14.591840928259147,,14.446973745150457,
KN,Knowles Corp,2013-09-30,2014-02-14,2014-03-17,False,9.55036500562465,3.8065578759616625,-15.619629664457573,-10.684455994362578,-15.440880630741677,-62.669040214819745,-59.47038766466575
DNOW,NOW Inc.,2014-02-26,2014-05-20,2014-06-18,False,11.940786862885155,,,,,,
KEYS,"Keysight Technologies, Inc.",2014-03-05,2014-10-20,2014-11-17,True,9.91150172410813,19.205130792551245,,5.9781450090299675,,19.85223182258537,
PK,Park Hotels & Resorts Inc.,2016-06-02,2017-01-04,2017-02-02,False,-2.0061701630761597,3.503677748193732,,6.347344071708138,,1.213709625408855,
CC,"Chemours Company, LLC",2014-12-18,2015-06-19,2015-07-20,False,-40.098775556928565,,-32.670817258536786,,-46.56983407875799,,-26.734884296090097
PYPL,"PayPal Holdings, Inc.",2015-02-25,2015-07-06,2015-08-03,True,7.300467754545958,5.249957164396902,-7.274819134764009,16.55286740626716,-1.8215480700137405,-8.306235661356226,3.2606086963827803
FTV,Fortive Corp,2015-12-03,2016-07-05,2016-08-02,True,-2.2633521648834143,2.558980622374536,,2.7023577905031093,,24.187621489267386,
YUMC,"Yum! China Holding, Inc.",2016-05-04,2016-10-17,2016-11-14,False,0.8966610020034738,-12.818975377239115,-2.158508273255574,25.113610562022245,17.876782101405464,42.41592333164721,54.92527223302106
HGV,Hilton Grand Vacations Inc.,2016-06-02,2017-01-04,2017-02-02,False,12.301741811405641,21.61941073175809,-0.6111568227254125,28.519014405543498,0.7281866810759396,39.38524726308501,8.048449538118078
LW,"Lamb Weston Holdings, Inc.",2016-07-13,2016-11-10,2016-12-09,True,19.94727470277131,11.77135932766181,9.446040073993876,27.531245434987238,27.34066949447675,32.47087224702898,53.48276795824879
NVT,nVent Electric plc,2017-10-30,2018-04-24,2018-05-22,False,15.548640179482408,-5.4734710172222165,,0.22047969648398805,,-29.16743351092603,
WH,"WYNDHAM HOTELS & RESORTS, INC.",2018-03-19,2018-05-21,2018-06-19,False,0.192726445471747,-11.39259954763158,,-2.1315119004841847,,-10.724018966964504,
GTX,Garrett Motion Inc.,2018-08-23,2018-09-17,2018-10-15,False,-20.168932555714612,,-12.211073182357806,,-4.377360671718407,,-45.50079964255223
REZI,"RESIDEO TECHNOLOGIES, INC.",2018-08-23,2018-10-29,2018-11-27,False,-25.058094660726226,9.531961622761639,,-22.745504872406308,,-100.10438586668323,
DOW,Dow Holdings Inc.,2018-09-07,2019-03-20,2019-04-17,True,17.108478900540746,-13.96447514005827,,-10.033228602154196,,-25.089817497673874,
FOX,Fox Corp,2019-01-07,2019-03-13,2019-04-10,True,-8.341836488160315,4.293901761870709,0.694116617019505,0.16811148840960932,-2.047511192727047,-10.574580171600385,3.4121108267516185
CTVA,"Corteva, Inc.",2018-10-18,2019-05-24,2019-06-24,True,-3.41378793194701,,2.718651264875929,,0.04763653523600864,,20.231118849110356
OTIS,Otis Worldwide Corp,2020-02-07,2020-03-19,2020-04-17,True,1.9889626323013054,5.391077489647614,4.376533725401579,7.009974130921066,-2.5840439201877956,-32.2016716017484,-40.15327848531594
CARR,Carrier Global Corp,2020-02-07,2020-03-19,2020-04-17,True,14.499995715558445,64.32550364267586,56.07921655288353,99.7035016720802,79.12388158817706,132.18166928136043,120.33375839244712
