entry_date,sp_gross,sp_net,pu_gross,pu_net,entry,comb_net,comb_gross
2018-01-12,-1.0,-1.12,0.2057026476578411,0.1861507128309572,2018-01-12,-0.46692464358452146,-0.39714867617107946
2018-01-19,-1.0,-1.0839506172839506,0.19133574007220217,0.17581227436823102,2018-01-19,-0.4540691714578598,-0.4043321299638989
2018-01-26,0.7105263157894747,0.5894736842105273,0.17137809187279154,0.16325088339222618,2018-01-26,0.3763622838013767,0.4409522038311331
2018-02-02,0.1639344262295085,-0.164590163934426,0.3003992015968064,0.2558882235528942,2018-02-02,0.045649029809234104,0.23216681391315744
2018-02-16,0.13607594936708867,-0.0006329113924049824,0.2711864406779661,0.2571186440677966,2018-02-16,0.12824286633769583,0.20363119502252738
2018-02-23,0.1904761904761905,0.13904761904761914,0.24667349027635616,0.2327533265097236,2018-02-23,0.1859004727786714,0.21857484037627334
2018-03-02,0.19032258064516128,0.05096774193548391,0.3413063477460902,0.3195952161913524,2018-03-02,0.18528147906341816,0.2658144641956257
2018-03-09,-1.000000000000001,-1.178481012658229,0.15263908701854492,0.12753209700427962,2018-03-09,-0.5254744578269747,-0.4236804564907281
2018-03-16,-1.0,-1.2254237288135594,0.15754339118825098,0.1367156208277703,2018-03-16,-0.5443540539928946,-0.4212283044058745
2018-04-06,0.1489361702127659,-0.1582978723404256,,,2018-04-06,-0.1582978723404256,0.1489361702127659
2018-04-13,0.2903225806451613,0.10506912442396309,-0.2689075630252101,-0.28077731092436975,2018-04-13,-0.08785409325020332,0.010707508809975619
2018-04-20,0.2037037037037039,-0.024074074074074026,-0.3978748524203069,-0.411806375442739,2018-04-20,-0.21794022475840652,-0.09708557435830151
2018-04-27,0.27027027027027006,0.1540540540540539,-0.4032459425717853,-0.4092384519350812,2018-04-27,-0.12759219894051366,-0.06648783615075762
2018-05-04,0.28472222222222204,0.12361111111111092,-0.44155844155844154,-0.4497402597402598,2018-05-04,-0.16306457431457444,-0.07841810966810975
2018-05-11,0.1891891891891892,0.0378378378378378,0.16323024054982818,0.1415807560137457,2018-05-11,0.08970929692579174,0.1762097148695087
2018-05-18,0.21999999999999995,0.13199999999999992,0.15714285714285714,0.14349206349206348,2018-05-18,0.1377460317460317,0.18857142857142856
2018-05-25,0.2052980132450331,0.13774834437086106,0.16774193548387098,0.1603225806451613,2018-05-25,0.1490354625080112,0.18651997436445206
2018-06-01,0.21768707482993202,0.09387755102040822,-0.0029850746268656743,-0.009402985074626872,2018-06-01,0.04223728297289067,0.10735100010153317
2018-06-08,-0.9865771812080539,-1.0610738255033558,0.21441124780316345,0.1975395430579965,2018-06-08,-0.4317671412226797,-0.38608296670244524
2018-06-15,-0.9473684210526315,-0.9907894736842104,0.19157088122605365,0.17892720306513407,2018-06-15,-0.40593113530953817,-0.37789876991328897
2018-06-22,0.22666666666666666,0.09866666666666674,0.17744916820702403,0.1634011090573013,2018-06-22,0.131033887861984,0.20205791743684534
2018-06-29,0.15483870967741953,0.10193548387096796,-0.34535367545076284,-0.3478502080443829,2018-06-29,-0.12295736208670746,-0.09525748288667166
2018-07-06,0.16233766233766228,0.01168831168831167,-0.020689655172413775,-0.024655172413793086,2018-07-06,-0.006483430362740708,0.07082400358262425
2018-07-13,0.1866666666666667,0.023999999999999962,0.21335807050092767,0.19925788497217073,2018-07-13,0.11162894248608535,0.20001236858379717
2018-07-20,0.1518987341772151,-0.179746835443038,0.14137214137214138,0.12557172557172558,2018-07-20,-0.027087554935656205,0.14663543777467825
2018-07-27,0.2,0.09066666666666667,0.22202166064981949,0.21371841155234658,2018-07-27,0.15219253910950664,0.21101083032490975
2018-08-03,0.17105263157894723,-0.02894736842105274,0.1389521640091116,0.1216400911161731,2018-08-03,0.046346361347560185,0.1550023977940294
