edate,pair,regime,credit,width,max_loss,pnl,pnl_gross,cost,exit,days,iv_pct,iv30,vix,vix_pct,roc,roc_gross,win,year,iv_b,vix_b
2018-01-05,0.30/0.15,Bullish_LowIV,0.43999999999999995,3.0,2.56,0.2189999999999999,0.2649999999999999,0.04600000000000001,profit_take,11,,0.12252303117564836,,,0.08554687499999995,0.10351562499999996,True,2018,,
2018-01-12,0.30/0.15,Bullish_LowIV,0.47,3.0,2.5300000000000002,0.19399999999999998,0.23999999999999996,0.045999999999999985,profit_take,10,,0.1318619921781959,10.16,,0.07667984189723319,0.09486166007905136,True,2018,,
2018-01-19,0.30/0.15,Bullish_LowIV,0.5599999999999998,4.0,3.4400000000000004,-3.4630000000000005,-3.4400000000000004,0.022999999999999993,expiry_loss,21,,0.135135100946459,11.27,,-1.0066860465116279,-1.0,False,2018,,
2018-01-26,0.30/0.15,Bullish_LowIV,0.63,4.0,3.37,-0.7460000000000001,-0.7100000000000001,0.036000000000000004,stop_loss,5,,0.1438118146039031,11.08,,-0.22136498516320477,-0.21068249258160238,False,2018,,
2018-02-02,0.30/0.15,Bearish_LowIV,0.7150000000000001,4.5,3.785,-1.196,-1.135,0.061000000000000026,stop_loss,3,,0.18552079004726652,17.31,,-0.31598414795244384,-0.2998678996036988,False,2018,,
2018-02-09,0.30/0.15,Bearish_HighIV,1.2599999999999998,8.0,6.74,1.1319999999999997,1.2599999999999998,0.12800000000000003,expiry_win,21,,0.23628670085443623,29.06,,0.16795252225519283,0.1869436201780415,True,2018,,
2018-02-16,0.30/0.15,Bearish_LowIV,0.6849999999999999,4.5,3.815,0.6495,0.6849999999999999,0.03549999999999999,expiry_win,21,,0.16430673878852783,19.46,,0.17024901703800785,0.17955439056356487,True,2018,,
2018-02-23,0.30/0.15,Bullish_LowIV,0.5700000000000001,4.0,3.4299999999999997,-0.636,-0.6000000000000001,0.03599999999999995,stop_loss,5,,0.1675773007223672,16.49,,-0.18542274052478136,-0.17492711370262395,False,2018,,
2018-03-02,0.30/0.15,Bearish_LowIV,0.7950000000000002,5.0,4.205,0.31900000000000006,0.4200000000000001,0.101,profit_take,4,,0.1727448783697918,19.59,,0.07586206896551725,0.09988109393579074,True,2018,,
2018-03-09,0.30/0.15,Bullish_LowIV,0.53,3.0,2.4699999999999998,-2.5029999999999997,-2.4699999999999998,0.03299999999999999,expiry_loss,20,,0.15291378243509307,14.64,,-1.0133603238866395,-1.0,False,2018,,
2018-03-16,0.30/0.15,Bullish_LowIV,0.5800000000000001,3.5,2.92,-2.9579999999999997,-2.92,0.03800000000000002,expiry_loss,21,,0.14114720830791633,15.8,,-1.013013698630137,-1.0,False,2018,,
2018-03-23,0.30/0.15,Bearish_HighIV,0.83,5.5,4.67,0.41899999999999993,0.5049999999999999,0.086,profit_take,3,,0.22055009914007995,24.87,,0.08972162740899356,0.10813704496788007,True,2018,,
2018-04-06,0.30/0.15,Bearish_HighIV,0.725,4.5,3.775,0.3490000000000001,0.42000000000000004,0.07099999999999998,profit_take,4,,0.19274484623119875,21.49,,0.09245033112582784,0.11125827814569537,True,2018,,
2018-04-13,0.30/0.15,Bullish_LowIV,0.645,4.0,3.355,0.3390000000000001,0.4,0.06099999999999997,profit_take,6,,0.15819027862784046,17.41,,0.10104321907600598,0.11922503725782416,True,2018,,
2018-04-20,0.30/0.15,Bullish_LowIV,0.5750000000000001,4.0,3.425,0.5495000000000001,0.5750000000000001,0.02550000000000001,expiry_win,21,,0.15987363487876952,16.88,,0.1604379562043796,0.16788321167883213,True,2018,,
2018-04-27,0.30/0.15,Bullish_LowIV,0.615,4.0,3.385,0.5895,0.615,0.025499999999999953,expiry_win,21,,0.1442574231715846,15.41,,0.1741506646971935,0.18168389955686853,True,2018,,
2018-05-04,0.30/0.15,Bullish_LowIV,0.535,3.5,2.965,0.5095000000000001,0.535,0.02550000000000001,expiry_win,21,,0.137069026847632,14.77,,0.1718381112984823,0.18043844856661048,True,2018,,
2018-05-11,0.30/0.15,Bullish_LowIV,0.44999999999999996,3.0,2.55,0.20399999999999996,0.24999999999999994,0.045999999999999985,profit_take,6,,0.12378696557350377,12.65,,0.07999999999999999,0.0980392156862745,True,2018,,
2018-05-18,0.30/0.15,Bullish_LowIV,0.445,3.0,2.555,0.4245,0.445,0.020500000000000004,expiry_win,21,,0.12559986889959712,13.42,,0.16614481409001955,0.17416829745596868,True,2018,,
2018-05-25,0.30/0.15,Bullish_LowIV,0.48999999999999994,3.5,3.0100000000000002,0.2539999999999999,0.2899999999999999,0.036000000000000004,profit_take,7,,0.1279817997667411,13.22,,0.08438538205980062,0.09634551495016608,True,2018,,
2018-06-01,0.30/0.15,Bullish_LowIV,0.52,3.5,2.98,0.29400000000000004,0.34,0.04600000000000001,profit_take,5,,0.13174127864685242,13.46,,0.09865771812080538,0.11409395973154364,True,2018,,
2018-06-08,0.30/0.15,Bullish_LowIV,0.52,4.0,3.48,0.23900000000000005,0.28500000000000003,0.045999999999999985,profit_take,10,,0.1309363940889306,12.18,,0.06867816091954024,0.08189655172413794,True,2018,,
2018-06-15,0.30/0.15,Bullish_LowIV,0.615,3.5,2.885,0.2590000000000001,0.31,0.050999999999999907,profit_take,5,,0.1360274849676814,11.98,,0.08977469670710576,0.1074523396880416,True,2018,,
2018-06-22,0.30/0.15,Bullish_LowIV,0.68,4.0,3.32,-0.741,-0.695,0.04600000000000001,stop_loss,5,0.6554621848739496,0.16412831086330731,13.77,,-0.22319277108433735,-0.20933734939759036,False,2018,60-80,
2018-06-29,0.30/0.15,Bullish_LowIV,0.7550000000000001,4.0,3.245,0.39900000000000013,0.4500000000000002,0.05100000000000002,profit_take,6,0.75,0.17576904975773883,16.09,0.5416666666666666,0.12295839753466876,0.13867488443759635,True,2018,60-80,30-60
2018-07-06,0.30/0.15,Bullish_LowIV,0.5900000000000001,4.0,3.41,0.5670000000000002,0.5900000000000001,0.02299999999999995,expiry_win,21,0.421875,0.1440801816910121,13.37,0.28225806451612906,0.16627565982404696,0.17302052785923755,True,2018,30-60,<30
2018-07-13,0.30/0.15,Bullish_LowIV,0.5099999999999999,3.5,2.99,0.2289999999999999,0.2649999999999999,0.036000000000000004,profit_take,7,0.13533834586466165,0.12959763668776456,12.18,0.13178294573643412,0.07658862876254177,0.08862876254180597,True,2018,<30,<30
2018-07-20,0.30/0.15,Bullish_LowIV,0.49499999999999994,3.5,3.005,-0.6909999999999998,-0.6499999999999999,0.04099999999999995,stop_loss,7,0.0,0.11854185783338164,12.86,0.26119402985074625,-0.2299500831946755,-0.21630615640599,False,2018,<30,<30
2018-07-27,0.30/0.15,Bearish_LowIV,0.6000000000000001,4.0,3.4,0.274,0.32000000000000006,0.04600000000000001,profit_take,6,0.45454545454545453,0.14371342789121094,13.03,0.30935251798561153,0.08058823529411765,0.09411764705882356,True,2018,30-60,30-60
2018-08-03,0.30/0.15,Bullish_LowIV,0.58,4.0,3.42,0.259,0.305,0.04600000000000001,profit_take,4,0.24324324324324326,0.13325603716355122,11.64,0.0763888888888889,0.07573099415204679,0.0891812865497076,True,2018,<30,<30
