sym,date,width,credit,cw,roc,win,iv,ivr,ivp,month,qcw,qivr,zcw,zivr,zivp,mstr,roc_dm,zcw_dm,zivr_dm
AAPL,2018-09-07,5.0,0.967,0.1934,0.2397718819737168,True,0.2571,0.5314745616556481,0.6666666666666666,2018-09,1,3,-0.23776380718218293,0.5376697791111098,0.5462343334951455,2018-09,0.11670836981024883,0.28718179885137496,0.3565796060839729
AAPL,2018-09-14,5.0,1.0370000000000001,0.20740000000000003,0.2616704516780217,True,0.2221,0.33026731819488353,0.4838709677419355,2018-09,2,2,0.1289340045262771,-0.1102487214643525,-0.029099310566337248,2018-09,0.7508843207669571,0.5206205059403807,0.26879666937571783
AAPL,2018-09-21,5.0,0.9269999999999997,0.18539999999999995,0.2275963663147556,True,0.236,0.41017533774073,0.53125,2018-09,1,3,-0.4473054138727318,0.14706748304990244,0.12002209350106913,2018-09,0.8554497645103105,-0.11545557327734252,0.35752061868954976
AAPL,2018-09-28,5.0,1.0870000000000002,0.21740000000000004,-0.7614627603427849,False,0.21205,0.27249209542972114,0.42424242424242425,2018-09,3,2,0.3908610128894623,-0.29629389091530667,-0.2167749912494948,2018-09,-0.010464958574096794,0.8742295662725973,-0.46210988249269014
AAPL,2018-10-05,7.5,1.487,0.19826666666666667,-1.0,False,0.3248499999999999,0.920954297211842,0.9411764705882353,2018-10,2,4,-0.11029266311209907,1.7918548766536102,1.410230186514812,2018-10,-0.3492842452034719,0.12759096297271896,0.9593137659201313
AAPL,2018-10-12,7.5,1.0870000000000006,0.14493333333333341,-0.6867133193584649,False,0.37215,1.1928715148031042,1.0,2018-10,0,4,-1.5072367077157505,2.6674704502884508,1.5953721550190263,2018-10,-0.6444781502419403,-0.7022716962445748,0.9861553714132452
AAPL,2018-10-19,5.0,1.1870000000000003,0.23740000000000006,-1.0,False,0.35305,0.9079518072289157,0.9722222222222222,2018-10,4,4,0.9147150296158327,1.7499848442005899,1.5079440032253695,2018-10,-0.8464299482316541,0.5364039063324395,0.29536149032424475
AAPL,2018-10-26,7.5,1.537,0.20493333333333333,-1.0,False,0.4131,1.1973493975903617,1.0,2018-10,2,4,0.06432534246335726,2.6818899267017757,1.5953721550190263,2018-10,-0.9574316993035068,0.33694243888863806,0.7904379404425685
AAPL,2018-11-02,5.0,1.0670000000000002,0.21340000000000003,-1.0,False,0.31675,0.6121956127993559,0.8421052631578947,2018-11,3,4,0.28609020954418823,0.7976040713479843,1.098412134297188,2018-11,-1.080682103063819,0.563356720963861,-0.323275362038577
AAPL,2018-11-09,5.0,1.067,0.21339999999999998,-1.0,False,0.2674999999999999,0.41396659287582976,0.6923076923076923,2018-11,3,3,0.2860902095441868,0.15927591203179375,0.6269372428431365,2018-11,-0.6552799366667132,0.5472017937761986,-0.4380860720644168
AAPL,2018-11-16,7.5,1.5770000000000002,0.21026666666666669,-1.0,False,0.3048,0.5640974039042062,0.775,2018-11,2,3,0.20401974692372318,0.6427203859910618,0.887204125490407,2018-11,-0.726377192612647,0.4765728336782469,-0.1998386144992106
AAPL,2018-11-23,5.0,1.137,0.2274,-1.0,False,0.3735,0.8406117931173274,0.975609756097561,2018-11,3,4,0.6527880212526461,1.533139564570193,1.5186059729563033,2018-11,-0.5575472556372987,0.4918615035620092,0.25770188592950927
