cmp,h,diff,t,h1,h2,pass_
PRIMARY OPEN - HOUSE,20,0.27561846173962595,1.0495249624513299,-0.1728768301430228,0.6508020232183801,False
OPEN - CLOSE-ANY,20,0.09552454544558575,1.0050807677912075,0.08498718275612421,0.10433945461850067,False
CLOSE-ANY - HOUSE,20,0.18009391629404017,0.7920234552113784,-0.2578640128991469,0.5464625685998794,False
OPEN - HOUSE,5,-0.04108257785276276,-0.28197419233766546,-0.29739294581572395,0.17333090303932977,False
OPEN - CLOSE-ANY,5,0.08658392767336562,0.9554228633035198,0.08582228867091704,0.0872210679927217,False
CLOSE-ANY - HOUSE,5,-0.12766650552612838,-1.0981785118158884,-0.383215234486641,0.08610983504660807,False
