date,sym,R,R8,R80,R880,trig,month
2019-10-23,SEDG,-1.494075525131534,-1.494075525131534,-1.494075525131534,-1.494075525131534,False,2019-10
2019-10-24,SEDG,-3.7000633512639927,-3.7000633512639927,-3.7000633512639927,-3.7000633512639927,False,2019-10
2019-10-24,THO,-0.2396814981983073,-0.2396814981983073,-0.2396814981983073,-0.2396814981983073,False,2019-10
2019-11-12,DXCM,1.4579293777287619,1.4579293777287619,1.4579293777287619,1.4579293777287619,False,2019-11
2019-11-15,ROKU,-2.850224097696935,-2.850224097696935,-2.850224097696935,-2.850224097696935,False,2019-11
2019-11-18,ROKU,-3.688733506080252,-3.688733506080252,-3.688733506080252,-3.688733506080252,False,2019-11
2019-11-19,ARWR,-1.3661029138589518,-1.3661029138589518,-1.3661029138589518,-1.3661029138589518,False,2019-11
2019-11-19,OKTA,-1.2660771159077333,-1.2660771159077333,-1.2660771159077333,-1.2660771159077333,False,2019-11
2019-11-22,AVTR,1.3004727571248558,1.3004727571248558,1.3004727571248558,1.3004727571248558,False,2019-11
2019-11-26,ALNY,-0.7065938890337329,-0.7065938890337329,-0.7065938890337329,-0.7065938890337329,False,2019-11
2019-11-26,TTD,-5.014605737383997,-5.014605737383997,-5.014605737383997,-5.014605737383997,False,2019-11
2019-11-27,ARWR,-1.2734898420950442,-1.2734898420950442,-1.2734898420950442,-1.2734898420950442,False,2019-11
2019-11-29,ARWR,-1.8746464857132357,-1.8746464857132357,-1.8746464857132357,-1.8746464857132357,False,2019-11
2019-12-05,ALNY,-1.4063585692108698,-1.4063585692108698,-1.4063585692108698,-1.4063585692108698,False,2019-12
2019-12-12,CVNA,-1.7762586571103973,-1.7762586571103973,-1.7762586571103973,-1.7762586571103973,False,2019-12
2019-12-13,SHOP,6.94124852029206,6.94124852029206,6.94124852029206,6.94124852029206,False,2019-12
2019-12-16,SHOP,9.114557584718241,9.114557584718241,9.114557584718241,9.114557584718241,False,2019-12
2020-01-02,SEDG,-1.1183854323727709,-1.1183854323727709,-1.1183854323727709,-1.1183854323727709,False,2020-01
2020-01-07,TTD,-1.223166307379761,-1.223166307379761,-1.223166307379761,-1.223166307379761,False,2020-01
2020-01-08,APA,-1.0903849966063255,-1.0903849966063255,-1.0903849966063255,-1.0903849966063255,False,2020-01
2020-01-30,MDB,-0.25850102261754826,-0.25850102261754826,-0.25850102261754826,-0.25850102261754826,False,2020-01
2020-02-04,TDOC,3.0930338178233163,3.0930338178233163,3.0930338178233163,3.0930338178233163,False,2020-02
2020-02-06,ENPH,2.4869959753942172,-2.716437052635209,2.4869959753942172,-2.716437052635209,True,2020-02
2020-02-10,ALNY,-1.2914093706438303,-1.2914093706438303,-1.2914093706438303,-1.2914093706438303,False,2020-02
2020-02-10,TNDM,-0.31940094366908295,-0.31940094366908295,-0.31940094366908295,-0.31940094366908295,False,2020-02
2020-02-11,DT,-1.2722337607368792,-1.2722337607368792,-1.2722337607368792,-1.2722337607368792,False,2020-02
2020-02-12,ALNY,-1.0286085117368429,-1.0286085117368429,-1.0286085117368429,-1.0286085117368429,False,2020-02
2020-02-12,TNDM,-1.5482949420204517,-1.5482949420204517,-1.5482949420204517,-1.5482949420204517,False,2020-02
2020-02-13,TNDM,-1.7087681911999124,-1.7087681911999124,-1.7087681911999124,-1.7087681911999124,False,2020-02
2020-02-14,TNDM,-4.749495207750451,-4.749495207750451,-4.749495207750451,-4.749495207750451,False,2020-02
2020-02-18,MDB,-1.8219930147562702,-1.8219930147562702,-1.8219930147562702,-1.8219930147562702,False,2020-02
2020-02-18,TNDM,-2.768657605708665,-2.768657605708665,-2.768657605708665,-2.768657605708665,False,2020-02
2020-02-18,ZM,6.373647752195608,9.69028558426088,6.373647752195608,9.69028558426088,True,2020-02
2020-02-19,ZM,4.2792030367908405,7.4450826776252566,4.2792030367908405,7.4450826776252566,True,2020-02
2020-02-27,ZM,-1.4553397296247228,-1.4553397296247228,-1.4553397296247228,-1.4553397296247228,False,2020-02
2020-03-04,ETSY,-2.6651503069134534,-2.6651503069134534,-2.6651503069134534,-2.6651503069134534,False,2020-03
2020-03-04,REGN,-1.110403056232253,-1.110403056232253,-1.110403056232253,-1.110403056232253,False,2020-03
2020-03-06,GILD,-1.3236070069782544,-1.3236070069782544,-1.3236070069782544,-1.3236070069782544,False,2020-03
2020-04-16,AKAM,-1.459647445324958,-1.459647445324958,-1.459647445324958,-1.459647445324958,False,2020-04
2020-04-16,TTWO,-1.6084156398773182,-1.6084156398773182,-1.6084156398773182,-1.6084156398773182,False,2020-04
2020-04-17,INCY,-1.0776002243123595,-1.0776002243123595,-1.0776002243123595,-1.0776002243123595,False,2020-04
2020-04-20,INCY,-1.788434719557363,-1.788434719557363,-1.788434719557363,-1.788434719557363,False,2020-04
2020-04-22,DPZ,-1.0543467613715314,-1.0543467613715314,-1.0543467613715314,-1.0543467613715314,False,2020-04
2020-04-23,SAM,1.980514595858004,1.980514595858004,1.980514595858004,1.980514595858004,False,2020-04
2020-04-23,WPM,2.5152177676920715,2.5152177676920715,2.5152177676920715,2.5152177676920715,False,2020-04
2020-04-24,SAM,7.216885645105399,7.216885645105399,7.216885645105399,7.216885645105399,False,2020-04
2020-04-24,WST,-1.0695440262887224,-1.0695440262887224,-1.0695440262887224,-1.0695440262887224,False,2020-04
2020-04-27,ACAD,-2.7500748909054074,-2.7500748909054074,-2.7500748909054074,-2.7500748909054074,False,2020-04
2020-04-27,CIEN,-1.3002813061254281,-1.3002813061254281,-1.3002813061254281,-1.3002813061254281,False,2020-04
2020-04-27,SAM,2.815881145217341,2.815881145217341,2.815881145217341,2.815881145217341,False,2020-04
2020-04-27,TW,-1.0775751527150819,-1.0775751527150819,-1.0775751527150819,-1.0775751527150819,False,2020-04
2020-04-29,MPWR,-2.0916695138253436,-2.0916695138253436,-2.0916695138253436,-2.0916695138253436,False,2020-04
2020-05-04,TEAM,0.7504158542962625,0.7504158542962625,0.7504158542962625,0.7504158542962625,False,2020-05
2020-05-04,TECH,1.4282690236162021,1.4282690236162021,1.4282690236162021,1.4282690236162021,False,2020-05
2020-05-04,WPM,0.9400768425581614,0.9400768425581614,0.9400768425581614,0.9400768425581614,False,2020-05
2020-05-05,SAM,1.7886472354627925,1.7886472354627925,1.7886472354627925,1.7886472354627925,False,2020-05
2020-05-05,SFM,3.166744015687957,3.166744015687957,3.166744015687957,3.166744015687957,False,2020-05
2020-05-05,TEAM,0.431039556682936,0.431039556682936,0.431039556682936,0.431039556682936,False,2020-05
2020-05-05,TECH,0.7025376066308446,0.7025376066308446,0.7025376066308446,0.7025376066308446,False,2020-05
