date,sym,R,adr,stack,off52
2019-06-25,SAM,2.07897105623824,3.043604765278989,6,2.132053916316168
2019-06-28,SAM,0.5701936512958422,3.020489988036148,9,3.002047652522144
2019-06-28,TDOC,0.21037310323523237,3.686090811149646,8,-6.359270478394896
2019-07-01,SRPT,-1.563636027354822,4.5631799916661375,24,0.5457503072331393
2019-07-09,STNE,0.8195884178707186,4.0631949762663435,10,-32.48575247911023
2019-07-09,TDOC,-1.7943304240548452,3.2302569302765596,14,-1.762549396888391
2019-07-10,B,-0.5652115656317346,3.130821697113819,18,0.42552257698758034
2019-07-10,STNE,0.4086033379352968,4.077701717317915,11,-29.833407095014188
2019-07-16,KNX,-0.8201016407898596,3.45488250511858,11,-2.2901938629431684
2019-07-17,B,-0.8035728807702237,3.2087613411652063,23,0.17986503259206366
2019-07-17,STNE,-1.281081067860364,4.129765053640468,16,-21.78868972714697
2019-07-18,B,-1.2972910435148604,3.259385144931955,24,2.8059310371570056
2019-07-18,MTCH,-1.6237926019305953,3.8774994901667728,7,1.5661271022845202
2019-07-19,CLF,-1.057140395434745,3.242800845109689,17,-6.880728900470667
2019-07-19,KNX,-1.0654277827794567,3.866601508513852,14,0.6773471004613452
2019-07-19,MU,-2.1089690439555735,3.470974326452103,8,0.5522487457333858
2019-07-22,ALNY,-1.472705863318077,3.527939499904255,11,-20.493341034723112
2019-07-22,MU,-2.4369748874430943,3.442212985183847,9,2.586965848402789
2019-07-23,KNX,-1.088496658081117,3.9440026064803275,16,0.2382309805704974
2019-07-23,XPO,-0.1381570473572977,3.7718333898585756,6,-4.950202767365441
2019-07-24,PEN,-2.5442849490635857,3.100759700844913,10,2.5899141429604366
2019-07-24,XPO,-1.026594699247569,3.778239664694559,7,-3.074031578096159
2019-07-30,ENPH,8.44211591473539,4.709651316973227,96,0.6508572206357144
2019-08-01,ENPH,-1.3947369213579923,5.057309584036833,98,4.044244949712716
2019-08-05,AU,1.1269808550219635,3.8521855857209664,41,2.445256030161014
2019-08-08,ALNY,-1.0045881352432482,4.0716301300350075,24,-13.644879642492047
2019-08-08,FIVN,-0.8882512845904886,4.356780970181464,5,0.9443208211424858
2019-08-08,SHAK,3.1775095705875978,3.294831793922167,56,0.21486197076845404
2019-08-08,STNE,-1.655172670231115,5.316908023810023,32,-16.48399895895488
2019-08-09,CVNA,-0.09305998673279212,5.136654020012259,6,1.6265452300678884
2019-08-09,PODD,-0.7347241362059007,3.129904060870077,60,1.7638801509628266
2019-08-09,SHOP,-1.092356997419612,4.122542284283939,23,3.170832641841037
2019-08-13,CVNA,-1.175626296773576,5.4373575117572575,8,0.6003794419066733
2019-08-15,SHAK,0.6061120653252402,3.615296970529451,61,3.91625146279031
2019-08-16,SHAK,1.169020680854142,3.894469193579403,62,0.9566373988373345
2019-08-19,ENPH,-2.499997880727334,6.728892869902928,110,1.829275313337253
2019-08-20,SHOP,-1.041532604032604,4.032205961178864,30,0.700938840064036
2019-08-21,HUBS,-1.9438196147010247,3.528199621264479,10,1.397428778810661
2019-08-21,SHOP,-2.527166918298146,4.110847508266087,31,3.595537078035238
2019-08-23,WPM,-0.3924073311188901,3.051846315695187,29,2.2546638057012958
2019-08-26,RGLD,-2.266656705026732,3.172024878266946,54,0.2970556931311652
2019-08-26,WPM,-1.4842925585764666,3.2574656415594005,30,0.8002615802729096
2019-08-27,AU,-1.0212750431551125,4.896116271060249,57,2.6200782395067623
2019-08-27,PAAS,-1.028041089933693,4.193162234578102,45,5.013943571750579
2019-08-27,ROKU,-0.4956981227216859,5.149932978679396,14,1.3931063948006361
2019-08-27,SHOP,-1.4358041166242064,4.143923054987135,35,1.4522729248020783
2019-08-27,WPM,-1.3999960910772224,3.3164769956552305,31,1.9119088996231826
2019-09-03,ROKU,-1.9014898927787343,4.772531407301126,18,2.3419738756061736
2019-09-04,ROKU,-2.391388316819431,4.655354607403014,19,7.435442278744153
