date,sym,R,cnt5,cnt5_pct,cnt10,cnt10_pct,cnt20,cnt20_pct,breadth
2019-10-23,SEDG,-1.494075525131534,0.0,0.0,0.0,0.0,0.0,0.0,61.1764705882353
2019-10-24,SEDG,-3.7000633512639927,1.0,82.92682926829268,1.0,75.60975609756098,1.0,60.97560975609756,62.016806722689076
2019-10-24,THO,-0.2396814981983073,1.0,82.92682926829268,1.0,75.60975609756098,1.0,60.97560975609756,62.016806722689076
2019-11-12,DXCM,1.4579293777287619,0.0,0.0,0.0,0.0,3.0,68.34862385321101,65.64019448946516
2019-11-15,ROKU,-2.850224097696935,1.0,80.54298642533936,1.0,71.49321266968326,4.0,73.7556561085973,69.70684039087948
2019-11-18,ROKU,-3.688733506080252,2.0,86.03603603603604,2.0,77.92792792792793,5.0,77.47747747747748,74.87765089722676
2019-11-19,ARWR,-1.3661029138589518,3.0,91.03139013452915,3.0,79.37219730941703,6.0,79.82062780269058,74.83660130718954
2019-11-19,OKTA,-1.2660771159077333,3.0,91.03139013452915,3.0,79.37219730941703,6.0,79.82062780269058,74.83660130718954
2019-11-22,AVTR,1.3004727571248558,4.0,94.24778761061947,5.0,88.49557522123894,5.0,76.10619469026548,60.1957585644372
2019-11-26,ALNY,-0.7065938890337329,3.0,89.03508771929825,6.0,92.98245614035088,6.0,78.50877192982456,74.79541734860884
2019-11-26,TTD,-5.014605737383997,3.0,89.03508771929825,6.0,92.98245614035088,6.0,78.50877192982456,74.79541734860884
2019-11-27,ARWR,-1.2734898420950442,3.0,88.64628820960698,7.0,95.19650655021834,8.0,84.27947598253274,78.14029363784665
2019-11-29,ARWR,-1.8746464857132357,4.0,93.47826086956522,8.0,95.65217391304348,9.0,86.95652173913044,80.84415584415584
2019-12-05,ALNY,-1.4063585692108698,2.0,81.62393162393163,5.0,85.47008547008546,10.0,88.46153846153845,58.620689655172406
2019-12-12,CVNA,-1.7762586571103973,1.0,74.47698744769873,3.0,74.05857740585773,10.0,86.61087866108787,61.57635467980296
2019-12-13,SHOP,6.94124852029206,1.0,74.16666666666667,3.0,73.75,11.0,88.75,69.47194719471948
2019-12-16,SHOP,9.114557584718241,2.0,81.32780082987551,3.0,73.44398340248964,12.0,91.28630705394191,69.35749588138385
2020-01-02,SEDG,-1.1183854323727709,0.0,0.0,0.0,0.0,4.0,64.9402390438247,78.3739837398374
2020-01-07,TTD,-1.223166307379761,1.0,73.30677290836654,1.0,63.34661354581673,4.0,64.9402390438247,69.02086677367576
2020-01-08,APA,-1.0903849966063255,2.0,82.07171314741036,2.0,70.91633466135458,5.0,69.7211155378486,62.33974358974359
2020-01-30,MDB,-0.25850102261754826,0.0,0.0,0.0,0.0,3.0,59.36254980079681,49.51768488745981
2020-02-04,TDOC,3.0930338178233163,1.0,70.1195219123506,1.0,60.1593625498008,3.0,58.16733067729084,41.45569620253164
2020-02-06,ENPH,2.4869959753942172,2.0,79.6812749003984,2.0,68.52589641434263,3.0,57.37051792828686,69.74921630094045
2020-02-10,ALNY,-1.2914093706438303,2.0,78.88446215139442,3.0,72.11155378486056,3.0,56.573705179282875,59.65732087227414
2020-02-10,TNDM,-0.31940094366908295,2.0,78.88446215139442,3.0,72.11155378486056,3.0,56.573705179282875,59.65732087227414
2020-02-11,DT,-1.2722337607368792,4.0,94.42231075697211,5.0,88.44621513944223,5.0,73.70517928286853,63.28125
2020-02-12,ALNY,-1.0286085117368429,4.0,94.02390438247012,6.0,94.42231075697211,6.0,78.48605577689243,69.42277691107644
