book,months,excess,t_nw,h1,h2,yrs_pos,vs_raw,t_vs_raw,wins_p95,t_wins,maxDD,n,PASS,BETTER
RAW,181,0.6653799758162983,2.927722518748625,0.3591893525385126,0.9247046873678922,12/16,,,-0.12314471392100888,-0.6405242800001163,28.32661005410433,84.59668508287292,False,False
R,157,0.18662795055793419,0.9996051074255609,-0.215447282215852,0.4286936519217442,9/14,-0.5144178555523403,-2.513865166005626,-0.1607536882993861,-0.9572208369290774,23.47224926776289,82.28025477707007,False,False
F,181,0.4099025120404097,2.1462412468334535,0.21747187063130924,0.5728794838460762,13/16,-0.25547746377588865,-1.730637983579164,0.058512284154962096,0.3242342575833876,23.10247713942255,86.41436464088397,False,False
RF,157,0.09767741524828862,0.5358747522887054,-0.08282274253375589,0.2063458775864583,9/14,-0.6033683908619857,-2.9974907883642414,-0.12063477905343219,-0.6955755462122003,22.768960170502094,84.3375796178344,False,False
