,trades,months,mean,month_mean,t_month,t_nw,win,h1,h2,yrs_pos,worst
combined (net),374,97,-3.4608199246487525,-4.239278298129435,-2.6498362084952936,-2.6695004742307424,63.903743315508024,-2.009138217583632,-4.959839078683387,1/9,-131.17216117216117
combined (gross),374,97,5.6032884515301795,5.333149173005614,3.6044266943036147,4.249230694226635,76.47058823529412,6.052984596624569,5.1389283017044525,8/9,-111.72161172161172
call spread leg (net),374,97,-7.439023986829439,-8.078269357071598,-3.6504724116342646,-3.3863702371390136,72.45989304812835,-5.346938972498476,-9.599329164671191,1/9,-131.17216117216117
"short put leg (net, VIX<20)",228,73,4.156125293879535,4.189223612796751,1.8169363806305259,1.9284781896999197,73.68421052631578,4.023635708976916,4.3140936451095815,7/9,-65.59740259740259
