entry,roc_net,roc_gross,cell
2018-02-09,0.05419734904270994,0.10162002945508108,QQQ bull put Bearish_HighIV
2018-03-23,0.08022988505747124,0.09770114942528733,QQQ bull put Bearish_HighIV
2018-04-06,0.08428005284015852,0.10303830911492734,QQQ bull put Bearish_HighIV
2018-10-12,0.12280071813285456,0.13644524236983843,QQQ bull put Bearish_HighIV
2018-10-26,0.11004366812227077,0.12663755458515286,QQQ bull put Bearish_HighIV
2018-11-23,0.10267379679144388,0.11764705882352945,QQQ bull put Bearish_HighIV
2018-12-07,-0.7696236559139785,-0.7580645161290323,QQQ bull put Bearish_HighIV
2018-12-14,0.18975741239892177,0.21024258760107814,QQQ bull put Bearish_HighIV
2018-12-21,0.0992628992628992,0.12285012285012281,QQQ bull put Bearish_HighIV
2018-12-28,0.11157684630738526,0.13073852295409186,QQQ bull put Bearish_HighIV
2019-01-04,0.09642384105960262,0.11788079470198673,QQQ bull put Bearish_HighIV
2020-02-28,0.10634682658670666,0.12543728135932036,QQQ bull put Bearish_HighIV
2020-03-06,-0.213601741022851,-0.20021762785636568,QQQ bull put Bearish_HighIV
2020-03-13,0.12852703542573027,0.1858297078931013,QQQ bull put Bearish_HighIV
2020-03-20,0.03642172523961642,0.15335463258785917,QQQ bull put Bearish_HighIV
2020-03-27,0.16639757820383452,0.17709384460141273,QQQ bull put Bearish_HighIV
2020-04-03,0.1208182912154031,0.13116726835138387,QQQ bull put Bearish_HighIV
2020-09-11,0.10854408749145586,0.1250854408749145,QQQ bull put Bearish_HighIV
2020-09-18,0.11221001221001219,0.12148962148962143,QQQ bull put Bearish_HighIV
2020-09-25,0.09565217391304347,0.1033396345305608,QQQ bull put Bearish_HighIV
2020-10-02,0.1178305084745763,0.12881355932203392,QQQ bull put Bearish_HighIV
2020-10-30,0.18196078431372545,0.18879551820728285,QQQ bull put Bearish_HighIV
2021-02-26,0.08389513108614223,0.08935259497057241,QQQ bull put Bearish_HighIV
2021-03-05,0.09766913018760665,0.1057418988061399,QQQ bull put Bearish_HighIV
2021-03-12,0.10287425149700596,0.10958083832335327,QQQ bull put Bearish_HighIV
2021-03-19,0.14511904761904762,0.1529761904761905,QQQ bull put Bearish_HighIV
