ticker,eff,into,ex20,ex60,ex120,ex60_eff
CAG,2026-06-30,5.271084052943564,7.030082985059954,,,
POOL,2026-06-22,9.437384515646752,-0.17953924824751555,-18.835813122014187,,-15.87889566129034
CPB,2026-06-22,5.749996678471914,5.004602378399927,-0.5400603074828458,,4.420557528777534
EPAM,2026-06-02,-3.1781355262448296,-29.720894531214775,-5.762929680125811,,0.9642916992813486
MTCH,2026-03-23,-2.4190979856560824,6.897148619993331,4.421275522109488,22.598237614362112,3.4944696705941816
MOH,2026-03-23,-7.675494263503724,-7.121085527091128,25.43702236214569,27.278606933556407,30.82154560012392
LW,2026-03-23,-17.13279296432776,4.91030977215998,-0.164516437922261,6.111262812513452,-1.6708993190382433
PAYC,2026-03-23,9.11000111125022,-8.266039736976357,-14.440073038367741,56.930151089422395,-15.758930169810412
LKQ,2025-12-22,3.407504758389779,10.50243507032933,-0.992396647454,-16.212223937959536,-1.6836836215065718
SOLS,2025-12-22,16.416177268612486,18.77193932219289,44.190011042846315,47.052248396584396,38.24594175085404
MHK,2025-12-22,4.050922970563042,11.474696684850947,-6.9097531528607785,-2.7186586139954523,-7.474508842803729
EMN,2025-11-04,-9.149411128557016,3.565151786787667,15.895415684380199,20.91874113086077,13.124678747048126
KMX,2025-10-31,-9.11656347028651,-10.298250350138218,3.848137622682387,-18.266285260859547,1.3481729219568725
ENPH,2025-09-22,11.10467361063614,-4.763788214702923,-25.47351378276932,5.310822756228184,-26.87889046722002
CZR,2025-09-22,2.2399978637695384,-16.270653431783025,-10.16567844034601,7.474393344161639,-12.693966445703413
MKTX,2025-09-22,-4.565151414506707,-1.6107970379094732,-0.3223129003680578,3.378737404527218,0.5146741966734218
BWA,2025-03-24,-2.3179276681409067,0.8820715167432258,12.035764974660104,41.25065146985769,13.593394895849443
TFX,2025-03-24,-19.20171251088869,0.6172071176253677,-19.49025795450011,-19.57504261968421,-20.552781375461386
CE,2025-03-24,8.287311470334636,-18.873087398430616,-11.819521716749568,-42.222590832539204,-12.383644665764017
FMC,2025-03-24,8.52287298635348,2.3255773047949395,-0.4878584439147877,-17.148990063960312,-0.03858086857795384
QRVO,2024-12-23,4.390740543603622,22.530079488414515,9.88326134157261,17.2124268778568,8.244553008977022
AMTM,2024-12-23,-22.57673707961971,4.6548101656454826,11.469495355525526,8.927156171088,4.004648800206516
BBWI,2024-10-01,3.771137840681127,-8.208119510384114,19.112257925173573,5.711098222244027,17.316384396217885
AAL,2024-09-23,8.579880237696269,15.896189448765544,42.64112106435985,8.727701428678163,46.529819163962095
ETSY,2024-09-23,0.22308780413149432,-7.3548401339972385,6.878772587378174,-8.222582775113391,5.451199684620817
BIO,2024-09-23,6.444541194399522,1.4933167019417906,-1.612866125269517,-19.778422220760092,-0.9311863791540604
RHI,2024-06-24,-2.736251821530322,-2.6582647952068266,-6.947564031870463,4.580057668812101,-7.070056364012146
ILMN,2024-06-24,1.098796605482999,8.136223246631019,18.282539216740396,12.44747179932623,19.010755969231333
XRAY,2024-04-03,-3.8837884519105526,-1.0849176683728095,-17.45103106855148,-21.44916660628148,-18.39885756637706
VFC,2024-04-03,-8.707399987064257,-8.733320464331785,-4.1264110068481035,27.174161901523004,-2.6478519429230007
WHR,2024-03-18,-2.679928697690548,3.206291900991049,-13.700336154417197,-5.291171584294125,-9.258524392190882
ZION,2024-03-18,-4.16667869839471,3.5710928898676952,1.5137621138034205,15.682133023342693,5.014404349673976
ALK,2023-12-18,7.59668492276766,-11.59467808365671,-8.835365408284343,0.04810665315040019,-8.279033296981453
SEDG,2023-12-18,26.921075545266927,-12.532948197266453,-27.635874503150514,-55.411972417956456,-28.888423304021252
OGN,2023-10-18,-13.519207634645458,-28.869562676715333,-8.861956899547254,-4.508779399983883,-12.836845157390954
DXC,2023-10-03,0.18947895320806651,-1.629961124222179,-8.155957718996431,-27.855783741366583,-9.543526686223522
LNC,2023-09-18,2.4803143320886623,-2.0397137648555557,-12.629772775146495,-12.758805491500105,-12.269289530282101
NWL,2023-09-18,-7.600962566419101,-20.985999210402007,-20.307015131989235,-36.10791516858437,-23.558824961494473
LUMN,2023-03-20,-35.41666472641126,-18.753929322071592,-44.562203993249824,-74.41868541766672,-37.93855299489006
VNO,2023-01-05,-7.292568032141489,9.286998812515677,-34.18945107967763,-35.259776012830415,-33.92741134277676
PVH,2022-09-19,-22.438863764925586,3.346212164296258,37.139452703061544,40.6103475964644,35.32698213888013
PENN,2022-09-19,-14.445693108683411,5.490535466045211,15.955835681873602,-4.758031359474349,13.226554232610525
IPGP,2022-06-21,-9.954246128537958,4.393326360438254,-15.627891082263517,-12.511733896445218,-17.541997334975747
WU,2021-12-20,4.484958155442742,3.005478501758489,6.345801034480974,7.974700519243966,1.8789536458846594
PRGO,2021-09-20,11.195274598695647,-0.546255989365731,-19.350125061769972,-9.291725644938627,-19.896183871250905
UNM,2021-09-20,-4.033208778923858,10.904818154016358,-4.589752711757633,19.037739898792143,-3.1040074683868015
NOV,2021-09-20,10.844386787717909,10.02958115767016,6.243247239166201,80.1414095118688,10.889104856900492
FLS,2021-03-22,2.0641806981466004,-4.6729310681506,-1.5729397554941613,-17.94462600911048,3.002963357013093
SLG,2021-03-22,19.49138603560896,-4.565061994743159,6.411761127001359,-9.224752695114569,8.109271318454052
VNT,2021-03-22,2.4234250306193417,-6.678901906119274,-4.428993116661305,3.079053523292826,-2.71082779865887
HRB,2020-09-21,-1.3959904920034627,20.148005591128793,-4.8071501024453696,12.546191541138931,-19.255034901383645
KSS,2020-09-21,23.15788339358098,-22.080076078026885,25.528028482956017,100.98529558314074,44.92409362569586
HOG,2020-06-22,5.2586912378127515,11.429793243678883,-5.659745551222015,4.3022284999653735,-9.391943015176844
HP,2020-05-22,0.8155358318028494,0.36620510901317616,-27.155426525638223,-51.56992385227235,-27.068455654742046
CPRI,2020-05-12,9.82348973812015,12.757301861001338,-25.454060869478425,17.484195289797277,-25.18034773251205
M,2020-04-06,-56.40089685567903,-11.47327088122238,3.8100961051244155,-22.222055216895072,-10.954117317376323
AMG,2019-12-23,0.5593211703478485,-1.1933915369487393,0.7186397468098136,-8.644226677608046,-5.749881039708882
TRIP,2019-12-23,7.127583884766242,-2.3505159219323715,-12.81843582662406,-26.691284028645345,-9.863630973545376
MAC,2019-12-23,2.0431879845021372,-6.227039046299032,-34.92522395820062,-57.99887027436166,-33.6098116484441
NKTR,2019-10-03,2.1816110234677,-4.770269148567139,8.515850651574777,11.915122484622062,1.5210231021184697
RRC,2018-06-18,2.1011676174292893,-0.5486316420522248,-8.66490311450377,-1.885158607159397,-7.163930108826487
AYI,2018-06-18,2.922348243896744,8.527914009219106,26.70609996293236,7.325995452913301,23.166871564773142
SIG,2018-03-19,-24.51210429789582,6.650311430937528,38.88790424001822,46.25185462694938,31.50799811474101
RIG,2017-07-26,7.607372616603958,,,,6.059013573845229
MUR,2017-07-26,5.409801178886942,-3.6459909344920973,-4.374008905700124,15.844899574936044,-2.2943178792137884
TDC,2017-06-19,0.9272407740515742,1.7601817620211966,9.139358745608009,20.729262219323687,7.300841196900397
R,2017-06-19,6.519659552516854,7.935127146995377,17.025026626073107,12.743454486858038,14.626878807549922
URBN,2017-03-20,-12.295688917390478,-1.6758706186994412,-20.877153658243305,-10.860589015807507,-16.326093648776265
FSLR,2017-03-20,-6.6842587096101695,-14.256744000570663,12.124111702256188,35.347714887967925,15.613761958923728
JBL,2014-11-05,6.977912161344624,-3.4006552519711897,-1.7700614205520606,5.6821826813832335,-1.8275446568325484
GHC,2014-09-20,0.6675731016863695,3.259397759010081,22.59197373921459,44.147436819257685,24.301247483241397
CLF,2014-04-02,4.647511183769137,-6.204032219205677,-29.078738559874104,-36.884342462816264,-32.74356285887043
ANF,2013-12-23,-5.330917630235154,2.2692427460561477,11.425279883247809,18.845856815670373,13.032994648911327
TER,2013-12-23,0.2396499767901128,15.565441978017178,17.420174153914306,7.625669784289894,14.341096963996144
AMD,2013-09-20,9.418287048976914,2.222010151881716,-4.922077011593211,-10.09046609078936,-8.639881459673003
NYT,2010-12-17,22.349950462229252,,,,
