date,expiry,strike,S,ST,credit,pnl,roc,exit,ba_pct,month
2018-01-05,2018-01-26,24.0,23.959140091555568,23.269298313480416,0.217,-0.5137016865195841,-0.10720369857944921,expiry,0.23076923076923075,2018-01
2018-02-09,2018-03-02,23.5,23.608444658401577,23.512390085779373,0.307,0.10399999999999998,0.022026016856427966,take,0.1971830985915493,2018-02
2018-02-23,2018-03-16,23.5,23.489917089346974,23.60235664947829,0.347,0.13399999999999995,0.0285228763239805,take,0.10526315789473686,2018-02
2018-03-02,2018-03-23,23.5,23.512390085779373,23.407583689411663,0.29700000000000004,0.11400000000000005,0.024242537569361962,take,0.1764705882352941,2018-03
2018-03-09,2018-03-29,23.5,23.565387173196292,23.59703318562481,0.247,0.094,0.01994450575098493,take,0.2372881355932203,2018-03
2018-03-23,2018-04-13,23.5,23.407583689411663,23.545544852165868,0.247,0.10399999999999998,0.02221502257130539,take,0.23728813559322032,2018-03
2018-04-13,2018-05-04,23.5,23.545544852165868,24.31918741385252,0.22699999999999998,-0.5921874138525215,-0.12575360170483554,expiry,0.2857142857142858,2018-04
2018-04-27,2018-05-18,24.0,24.041251552778707,24.60588243610374,0.247,-0.35888243610374093,-0.07463888377771684,expiry,0.10909090909090907,2018-04
2018-06-15,2018-07-06,25.0,24.965265024871503,24.810630797164706,0.257,0.09399999999999997,0.01882615704386735,take,0.2580645161290322,2018-06
2018-06-22,2018-07-13,25.0,24.901352889531108,25.006442649513296,0.287,0.12399999999999997,0.02489824559936488,take,0.20895522388059704,2018-06
2018-06-29,2018-07-20,25.0,24.951255706283742,24.93761319896614,0.31699999999999995,0.12399999999999994,0.024848448803474785,take,0.08695652173913052,2018-06
2018-07-13,2018-08-03,25.0,25.006442649513296,25.1223160758353,0.267,0.11399999999999999,0.022794125817455844,take,0.22222222222222224,2018-07
2018-07-20,2018-08-10,25.0,24.93761319896614,25.48029960284577,0.307,-0.17329960284576845,-0.03474662981238178,expiry,0.11764705882352945,2018-07
2018-07-27,2018-08-17,25.0,25.001392348712027,25.420466815592675,0.28700000000000003,-0.13346681559267537,-0.02669187654253805,expiry,0.1538461538461538,2018-07
2018-08-10,2018-08-31,25.5,25.48029960284577,25.1943984601549,0.317,0.01139846015490048,0.0022367201980677343,expiry,0.16666666666666666,2018-08
2018-08-17,2018-09-07,25.5,25.420466815592675,25.246485555322685,0.297,0.04348555532268544,0.00855325664122183,expiry,0.1764705882352941,2018-08
2018-09-21,2018-10-12,25.0,25.01048851740194,25.319771513530203,0.287,-0.032771513530202634,-0.006551554062488761,expiry,0.15384615384615388,2018-09
2018-10-05,2018-10-26,25.5,25.391288612778258,25.62225922555766,0.297,0.17474077444234065,0.03440959163340803,expiry,0.2028985507246377,2018-10
2018-10-19,2018-11-09,25.5,25.438655696211868,25.81153126706743,0.277,0.10400000000000001,0.020441331735836753,take,0.24242424242424243,2018-10
2018-10-26,2018-11-16,25.5,25.62225922555766,25.695624055803293,0.347,0.15137594419670686,0.029539929103073112,expiry,0.08000000000000003,2018-10
2018-11-30,2018-12-21,26.0,25.904961843531435,25.890363266040016,0.367,0.12399999999999997,0.02393363880421295,take,0.0759493670886076,2018-11
2018-12-28,2019-01-18,25.5,25.506164097838337,25.513037002706103,0.357,0.14399999999999996,0.028228470468478647,take,0.2168674698795181,2018-12
2019-01-18,2019-02-08,25.5,25.513037002706103,25.67554719415724,0.307,0.12399999999999997,0.024301301328189116,take,0.2222222222222222,2019-01
2019-01-25,2019-02-15,25.5,25.406450902763606,25.755255199086633,0.31699999999999995,0.06174480091336654,0.012151402246161467,expiry,0.14084507042253527,2019-01
2019-03-08,2019-03-29,26.0,25.939580377553696,25.97310745160834,0.237,0.134,0.0258292536058051,take,0.3050847457627118,2019-03
2019-03-29,2019-04-18,26.0,25.97310745160834,26.100364253825802,0.28700000000000003,0.134,0.02579591222376094,take,0.12499999999999993,2019-03
2019-04-12,2019-05-03,26.0,25.93832517970008,26.167467745455212,0.22699999999999998,0.0595322545447875,0.011475732170899528,expiry,0.22222222222222224,2019-04
2019-06-07,2019-06-28,26.0,26.01756075391783,25.94162969137317,0.267,0.11399999999999999,0.02190827977269802,take,0.30303030303030304,2019-06
2019-06-21,2019-07-12,26.0,25.960022565575443,26.16319928571295,0.257,0.09380071428705106,0.01806637764857656,expiry,0.22950819672131145,2019-06
2019-06-28,2019-07-19,26.0,25.94162969137317,26.261136640325322,0.257,-0.004136640325322127,-0.000797297697665031,expiry,0.22950819672131145,2019-06
2019-07-26,2019-08-16,26.5,26.52866670183505,26.668842522977208,0.28700000000000003,0.11815747702279211,0.02226977298761473,expiry,0.1538461538461538,2019-07
2019-08-02,2019-08-23,26.5,26.570907568863444,26.514165450774886,0.267,0.25283454922511395,0.04757732654969467,expiry,0.25000000000000006,2019-08
2019-08-09,2019-08-30,26.5,26.43999703109815,26.851592295927027,0.267,-0.084592295927027,-0.01599703203966539,expiry,0.27692307692307694,2019-08
2019-08-23,2019-09-13,26.5,26.514165450774886,26.715048819997392,0.307,0.09195118000260788,0.017340010224594977,expiry,0.2702702702702703,2019-08
2019-09-27,2019-10-18,27.0,26.98897685349834,26.582458804860245,0.297,-0.12054119513975498,-0.02233156073201239,expiry,0.0923076923076923,2019-09
2019-10-04,2019-10-25,27.0,26.943014238771223,26.728863685197915,0.267,-0.004136314802085095,-0.0007676043158031114,expiry,0.2222222222222222,2019-10
2019-10-18,2019-11-08,26.5,26.582458804860245,26.89084857225526,0.327,-0.06384857225525836,-0.012009530932402783,expiry,0.21052631578947362,2019-10
2019-11-01,2019-11-22,26.5,26.88893669616303,26.885948382364642,0.27699999999999997,-0.10894838236464216,-0.02025896070114754,expiry,0.15873015873015875,2019-11
