sym,date,expiry,cw,credit,width,roc,win,iv,stock_roc,S,ST,month,rank,n_quotes
AAPL,2018-01-05,2018-02-02,0.21940000000000004,1.0970000000000002,5.0,-1.0,False,0.25465,-0.45807309360375326,175.12882178705013,160.49822207890406,2018-01,1.0,19
AAPL,2018-01-12,2018-02-09,0.24540000000000006,1.2270000000000003,5.0,-1.0,False,0.25375,-0.6896407229371542,176.84107350755517,156.49694178244272,2018-01,0.8888888888888888,18
AAPL,2018-01-26,2018-02-23,0.2494,1.247,5.0,0.33226751931787907,True,0.2859,0.12809085648440818,171.3044948192335,175.44510622652018,2018-01,0.7368421052631579,19
AAPL,2018-02-02,2018-03-02,0.20939999999999998,1.047,5.0,0.26486213002782694,True,0.2617,0.5177227983325732,160.49822207890406,176.36301449602547,2018-02,0.631578947368421,19
AAPL,2018-02-09,2018-03-09,0.18539999999999998,0.9269999999999999,5.0,0.22759636631475566,True,0.3142,0.6110024337043747,156.49694178244272,179.8861608846788,2018-02,0.9230769230769231,13
AAPL,2018-02-23,2018-03-23,0.16279999999999997,0.4069999999999999,2.5,-1.0,False,0.20165,-0.3322420124145586,175.44510622652018,165.49685827253347,2018-02,0.3333333333333333,18
AAPL,2018-03-09,2018-04-06,0.1868,0.46699999999999997,2.5,-1.0,False,0.1892,-0.4188943138083872,179.8861608846788,168.88342005816133,2018-03,0.7058823529411765,17
AAPL,2018-03-16,2018-04-13,0.16279999999999997,0.4069999999999999,2.5,0.1944577161968466,True,0.1969,-0.11614396060730123,178.43484434530757,174.94719284529205,2018-03,0.5625,16
AAPL,2018-03-23,2018-04-20,0.22139999999999999,1.107,5.0,0.28435653737477523,True,0.30335,0.0154186401359688,165.49685827253347,166.0480498799653,2018-03,0.7777777777777778,18
AAPL,2018-04-06,2018-05-04,0.21693333333333334,1.627,7.5,0.27703047846075257,True,0.3385,0.3784214665367718,168.88342005816133,184.16862826291003,2018-04,0.875,16
AAPL,2018-04-13,2018-05-11,0.13079999999999994,0.32699999999999985,2.5,0.15048320294523693,True,0.2857,0.3193373611295589,174.94719284529205,188.5534690361652,2018-04,0.17647058823529413,17
AAPL,2018-04-20,2018-05-18,0.2674,1.3370000000000002,5.0,0.3650013650013651,True,0.3386,0.5917459690148001,166.0480498799653,186.7112098847433,2018-04,0.9333333333333333,15
AAPL,2018-04-27,2018-05-25,0.25340000000000007,1.2670000000000003,5.0,0.33940530404500413,True,0.30705,0.7961620534062455,163.02485490915836,188.51433128450583,2018-04,1.0,17
