,trades,months,mean_trade,gross,win,month_mean,t_month,t_nw,h1,h2,yrs_pos,top_year_share,worst_trade
QQQ bull put Bearish_HighIV,78,36,6.180565213991105,7.383180303031437,92.3076923076923,7.850191477890661,3.53494114958402,3.4996669185576468,2.43538999458021,12.508619895064687,8/8,44.871794871794876,-100.52247873633044
QQQ bull put Bullish_HighIV,68,29,11.819580982915925,14.110458737499465,80.88235294117648,7.12763896247484,1.0379593552036035,1.0353938804305765,10.732343119891356,13.57588830010946,5/6,44.11764705882353,-75.57632398753896
QQQ bull put Bullish_LowIV,220,69,3.373394676045572,5.898504194917126,80.45454545454545,-4.779544771853928,-0.865373385878902,-0.8594932366657698,-0.16433858033242452,6.723283688722086,5/9,18.636363636363637,-105.07692307692307
QQQ bull put Bearish_LowIV,42,22,7.700215957442488,8.321276953710957,90.47619047619048,7.144836517192746,1.7381779450960426,1.841448728360438,5.647852752693463,11.035306165159655,6/8,26.190476190476193,-100.5716963448922
SPY bull put Bearish_HighIV,75,37,6.7615391957204976,7.492885850289202,94.66666666666667,8.698680877222664,6.070311510318311,6.364341796338836,2.620651109201734,12.325857561980087,8/9,42.66666666666667,-100.66532258064515
SPX condor Bullish_HighIV+200MA 0.20c/0.40p,47,22,10.907978036752407,11.175980828161185,95.74468085106383,8.701363774146882,2.2555231433590794,2.4402191332237777,10.726546393281499,11.674022753629593,5/6,51.06382978723404,-71.07612325973844
SPX condor Bearish_HighIV 0.20c/0.30p,71,36,9.82466396077701,10.33515174941911,78.87323943661971,9.548016057715387,5.2111518557118695,5.322687543197373,11.571227843844104,7.295157647369489,7/8,42.25352112676056,-41.94479160964528
