fill,series,n,mean,median,win%,nw_t,h1,h2,yrs+,2022
mid,arm A P&L %spot,50564,0.7575637340720718,-0.5128194063328622,45.360335416501854,3.5533022980392084,0.660724133144815,0.7893167899600622,8/9,0.4059734489711443
mid,arm B P&L %spot,50564,0.7218400215972093,-0.895680961056569,42.51839253223637,3.3750814385658523,0.6176589722517368,0.7600965035267497,8/9,0.360320648940869
mid,arm C P&L %spot,50564,0.7081929749699452,-1.7828917325371187,38.90514990902618,3.100734120750359,0.5377121362025343,0.7846308795185997,8/9,0.2934854276382499
mid,A - C %spot,50564,0.0493707591021268,0.008408535634199854,50.199746855470295,1.9286377009775029,0.12301199694228056,0.0046859104414626075,6/9,0.11248802133289433
mid,B - C %spot,50564,0.013647046627264271,-0.0861953144359262,46.90095720275295,1.1817009610785256,0.07994683604920226,-0.024534375991849808,6/9,0.06683522130261911
mid,A - B %spot,50564,0.03572371247486252,0.12607261858242813,60.46198876671149,2.50245371626341,0.04306516089307826,0.02922028643331241,7/9,0.04565280003027522
mid,A - C delta-adjusted,50564,0.048583800351852516,-0.024762640291636773,49.40273712522744,1.8796673268908446,0.1220022661559238,0.0012823175443898494,6/9,0.11936763483561931
mid,arm A % of premium,50564,11.08877064569521,-9.420888729189121,45.360335416501854,3.512947651005929,8.563021096082462,11.592795563756576,8/9,5.228296454964033
mid,arm B % of premium,50564,13.072056450104057,-21.381479071784852,42.51839253223637,3.2400440995982076,9.758206292233572,14.038691205934185,8/9,4.199732224407977
mid,arm C % of premium,50564,18.261156998757947,-74.64140004008036,38.90514990902618,3.080992213493456,11.525715355496063,20.716861481704544,8/9,4.720911185862469
house,arm A P&L %spot,50564,0.5765958120794773,-0.6520956916081174,44.268649632149355,2.681331539889681,0.47224561100158763,0.6103295648072136,8/9,0.20780851158475927
house,arm B P&L %spot,50564,0.5321236389240511,-1.0305838430084155,41.454394430820344,2.4312210102295775,0.41643749077782416,0.5642916352280102,8/9,0.1577837499583999
house,arm C P&L %spot,50564,0.6258913046384111,-1.8334845515230822,38.572897713788464,2.7087883349793187,0.44974851598500065,0.7033309594319013,8/9,0.19388540777066213
house,A - C %spot  <- PRIMARY,50564,-0.04929549255893397,-0.06562080981166263,48.433668222450756,-1.0940957031187428,0.022497095016587015,-0.0930013946246876,3/9,0.013923103814097127
house,B - C %spot,50564,-0.09376766571436007,-0.16507529531821236,44.272605015425995,-3.782381284822221,-0.03331102520717634,-0.139039324203891,1/9,-0.03610165781226226
house,A - B %spot,50564,0.04447217315542611,0.12257385937698762,60.612293331223796,3.7396697768230487,0.05580812022376335,0.04603792957920341,7/9,0.0500247616263594
house,A - C delta-adjusted,50564,-0.05008245130920825,-0.09847015770782575,47.622814650739656,-1.170911046252677,0.02148736423023027,-0.09640498752176034,4/9,0.020802717316822116
house,arm A % of premium,50564,8.32029156131147,-11.796574253529844,44.268649632149355,2.583997249415918,5.63335360706261,8.942100582511666,8/9,2.5912232465194993
house,arm B % of premium,50564,9.328219298014922,-24.1633579126489,41.454394430820344,2.2214718766607784,5.668787772410777,10.304919028546003,8/9,0.8490058807723008
house,arm C % of premium,50564,15.869203853595451,-75.15692811444163,38.572897713788464,2.6741979533641094,9.00761763130723,18.407470755021844,8/9,2.459150433233812
cross,arm A P&L %spot,50564,0.4234592122025763,-0.7668830533789711,43.26002689660628,1.9276291541031105,0.3135439416570428,0.45727301901845885,8/9,0.03941829955685306
cross,arm B P&L %spot,50564,0.3702385783665866,-1.14368173945376,40.54070089391662,1.6019083879832863,0.2449928621025945,0.3944174462933642,7/9,-0.014978423665590502
cross,arm C P&L %spot,50564,0.557505295364724,-1.8733993594515823,38.30195395933866,2.3801744149029314,0.3766733221668079,0.6349963790272499,8/9,0.1091727505823137
cross,A - C %spot,50564,-0.13404608316214783,-0.12401231354045139,46.7862510877304,-3.7475007261212383,-0.06312938050976516,-0.17772336000879094,1/9,-0.06975445102546064
cross,B - C %spot,50564,-0.18726671699813757,-0.22746835491349526,42.21185032829681,-7.89923230310346,-0.1316804600642136,-0.2405789327338854,0/9,-0.1241511742479042
cross,A - B %spot,50564,0.05322063383598969,0.11801046180153334,59.267463017166364,4.897161172553931,0.06855107955444843,0.06285557272509446,8/9,0.054396723222443565
cross,A - C delta-adjusted,50564,-0.1348330419124221,-0.1589115607133319,46.034728265168894,-3.8338298733433245,-0.06413911129612189,-0.1811269529058637,1/9,-0.06287483752273565
cross,arm A % of premium,50564,6.054039923353678,-13.814745273250713,43.26002689660628,1.800084141262751,3.2666661505471035,6.738024786181322,8/9,0.4164325091030691
cross,arm B % of premium,50564,6.258811031836194,-26.282811581184916,40.54070089391662,1.3501291569309162,2.3434400633394628,7.191930002714563,7/9,-1.901334569436108
cross,arm C % of premium,50564,13.978033286846859,-75.55003840661541,38.30195395933866,2.339824355162705,7.031804254881023,16.561218149931523,8/9,0.6432707341001265
