label,h,dates,names_per_date,abs_ret,ctl_ret,excess,t,h1,h2,short_pnl,t_short,yrs_neg,PASS,VETO
SKEW top decile *PRIMARY*,20,838,55.78639618138425,1.2726330810926132,1.2132926725394657,0.06331318399168966,0.6680232559355376,0.13919216772068926,-0.010242973704789535,-1.5519981604576925,-4.24725327803199,7/17,False,False
SKEW top decile,5,838,55.78639618138425,0.3332841603836113,0.3134856143093194,0.02097150252884386,0.6154082059973814,0.044209404812804595,-0.0015550353994854243,-0.5531254302248811,-5.414437458980761,8/17,False,False
CW bottom decile,20,838,57.15513126491647,1.0261684347669398,1.1852518932109677,-0.15718683071221054,-2.5996867253064937,0.054097234223912126,-0.36200301610947233,-1.305533514132019,-4.1584960006511364,11/17,False,False
CW bottom decile,5,838,57.15513126491647,0.25733107806243827,0.29701009370819403,-0.03858858917987965,-1.5275077424843289,0.007021672015785097,-0.08280261788996282,-0.4771723479037081,-5.777014873736647,11/17,False,False
