sample,gamma,dates,trades,date_mean,trade_mean,median,win,top1pct_share
full,NEG,139,2059.0,3.055489080478534,3.3883500039069596,-15.62729273661052,43.12773190869354,122.51042100701385
full,POS,176,3625.0,0.020568590094482368,4.539177591195087,-16.207529843894,42.06896551724138,78.7116718675268
full,NEG-POS,315,,3.0349204903840517,0.5471665159159,,,
H1,NEG,58,528.0,6.351215046327045,-2.6066893545577323,-19.738867836819427,39.77272727272727,-202.0604711876302
H1,POS,99,1864.0,-2.224643804551753,4.0663072159392035,-17.367548075933918,41.362660944206006,83.32740140672234
H1,NEG-POS,157,,8.575858850878799,0.8619378847980776,,,
H2,NEG,81,1531.0,0.6955865370314498,5.455875008001903,-13.867355727820838,44.284781188765514,68.70882473197769
H2,POS,77,1761.0,2.9072702403539283,5.039705915713525,-15.388053031432298,42.81658148779103,71.47001231822014
H2,NEG-POS,158,,-2.2116837033224783,-0.349820265778914,,,
