cell,months,mom_mo,ew_mo,spy_mo,excess,t_nw,h1,h2,yrs_pos,beta_ew,alpha_mo,t_alpha,maxDD,excess_maxDD,turnover,n_mom,n_univ,PASS
PRIMARY chain_spot (incl. delisted) top decile 12-1,180,1.6477111966072229,0.9799608909698924,1.1708568804289068,0.6677503056373305,2.931061481752008,0.3753028477865832,0.917988852045702,12/16,1.1078452903445832,0.562066138824346,2.490114341428193,28.32661005410433,17.63676642691408,0.3118851331792509,84.17222222222222,837.4111111111112,False
chain_spot top quintile 12-1,180,1.396223937090388,0.9799608909698924,1.1708568804289068,0.41626304612049553,2.643679767309142,0.28519846877629385,0.5284110865284207,14/16,0.9805153386353419,0.43535725223165256,2.7676251515962624,25.295061140361252,13.97762873675039,0.2770093628366766,167.90555555555557,837.4111111111112,False
chain_spot top decile 6-1,180,1.4560987368689287,0.9841555551198468,1.1708568804289068,0.4719431817490819,2.084120076399519,0.33260097401947414,0.5911741430022515,13/16,1.097711032652199,0.3757803261679235,1.7136493029019317,31.444400906157632,23.038605249733692,0.4407751539462718,87.65,871.5388888888889,False
SECONDARY survivor panel top decile 12-1,180,1.7017076170270224,1.1582550347880234,1.1708568804289068,0.543452582238999,2.340437028150775,-0.002873358831196566,1.010927356556795,12/16,1.135804229137012,0.38615665009554834,1.7238469552154099,26.270591047505732,17.47632363541136,0.29041327096961733,61.71111111111111,612.5444444444445,False
