cell,months,ret_mo,excess,t_nw,h1,h2,yrs_pos,vs_D1,t_vs_D1,maxDD,vol_mo,turnover,PASS,ACCEPTABLE,WORSE
D1,180,1.6477111966072229,0.6677503056373305,2.931061481752008,0.3753028477865832,0.917988852045702,12/16,,,28.32661005410433,6.578086406774229,0.3118851331792509,False,False,False
T20,180,2.1977009294513548,1.2177400384814616,2.676661581173118,0.4407437443819156,1.8825925375563308,9/16,0.5499897328441311,1.8927704886130983,34.777959344474475,9.113556389867863,0.38,False,True,False
T30,180,2.0588791629266194,1.0789182719567267,2.765809339722945,0.4690057316502167,1.60080219819838,11/16,0.4111679663193963,1.9616679555040784,30.394444600616733,8.15376457908634,0.3492592592592592,False,True,False
LV20,180,1.0588720302158796,0.07891113924598721,0.34314014983256924,0.03920568131568919,0.11288591252655146,8/16,-0.5888391663913433,-2.523511757227972,31.46198357112535,5.076075458055673,0.4941666666666667,False,False,True
