date,ticker,close,k,ext21,adr20,rv20,breach,model
2020-01-15,A,84.6015625,81.6494107942225,3.011950251338267,1.2004327131864612,0.11509500786860992,1.0,0.08051474556593141
2020-06-04,A,87.22872924804688,81.08927131789758,3.186898506449076,2.375737195940851,0.25384627989441516,0.0,0.0985540404144461
2020-07-21,A,92.0922622680664,87.01052752193785,3.0318346845487523,1.92634767689413,0.1952269186374565,0.0,0.09491654190240295
2020-11-06,A,108.1311264038086,101.51417829331777,3.284112410665411,1.9847829081535937,0.252590738505919,0.0,0.13177151046979113
2021-01-07,A,121.41635131835938,113.7888327540081,3.340949669651307,2.006382345329364,0.1799096986845693,0.0,0.05123522104093052
2021-04-23,A,131.74098205566406,126.14863792659062,3.025699912720138,1.4651614042626004,0.17738296141138782,0.0,0.13539187761759008
2021-06-10,A,137.89039611816406,131.18355571156468,3.1297556041419443,1.633533887086076,0.1627565338945076,0.0,0.08285115389506426
2021-08-16,A,156.41876220703125,149.1036986291481,3.782941520899227,1.2968808002321397,0.1091505225100094,0.0,0.022809359638195113
2021-09-01,A,169.33226013183594,160.7007238825998,3.3497058705103115,1.6034801621352845,0.13863624940218705,0.0,0.0432402767079903
2022-11-22,A,152.54969787597656,138.3472668513066,3.926409860098621,2.6145471208721913,0.4259367324723089,0.0,0.15746874430208335
2024-03-06,A,143.4489288330078,134.06180846931642,3.1803496942723286,2.20167107880883,0.24641786358046638,0.0,0.10902910049041425
2024-05-15,A,151.40554809570312,141.0604445495389,3.0420944563755676,2.4107762210318087,0.24930999247026614,1.0,0.10138695711491652
2025-10-06,A,140.76480102539062,128.71833924602925,3.8549239396965898,2.427746103441005,0.3718669152389293,0.0,0.1441398615925868
2026-08-19,A,155.41000366210938,144.26859143333135,3.3811864421216966,2.284017004121581,0.270821974801827,0.0,0.10949770737341435
2020-11-27,AA,19.46108055114746,16.42966224747684,3.866997782836098,4.771372354966297,0.542686626844059,0.0,0.08524421321068221
2021-02-24,AA,25.84674644470215,21.35357779146503,3.781325401840946,5.564652088530876,0.5726959425730676,0.0,0.07138228062617748
2021-10-15,AA,53.213890075683594,46.268457304595344,3.0434989401244152,4.932205210429306,0.6745109297748214,1.0,0.19035302120594721
2022-03-04,AA,86.337646484375,71.66550186677838,3.0555655238049804,6.70026301895675,0.6187938105683609,0.0,0.09478803839737693
2024-05-20,AA,41.53889083862305,37.20120348001476,3.2196937274300943,3.6214850397826077,0.48318361686977596,0.0,0.16028786181008542
2024-10-16,AA,41.224510192871094,37.60044659157961,3.2268124960252864,2.9869577354345065,0.5154892714671027,0.0,0.22310012318444084
2024-11-06,AA,44.55598831176758,40.15127418925011,3.2091468163242403,3.418446666255877,0.3937190642359942,0.0,0.12128361510418556
2025-12-11,AA,46.99620819091797,41.36807595949402,3.07986996534933,4.417398604946304,0.5278637032543954,0.0,0.14691016456246087
2025-12-30,AA,54.09935760498047,48.21302420677893,3.5114519066639955,3.4769124740923494,0.4231982776548279,0.0,0.11483940898005984
2026-05-26,AA,74.42556762695312,66.16420576190575,3.1485107875159177,3.9657319514945244,0.5214814603534007,0.0,0.16427191325075047
2021-03-15,AAL,25.170000076293945,21.00452931831772,3.0938249756165046,6.4099611140860375,0.5889446717021749,0.0,0.08956518949671044
