pop,filter,h,n_tag,diff,t,h1,h2,yrs,PASS,hold_tag,hold_rest,z_hold
P2,V1 DRY,20,4051,-0.13834472196854827,-0.30963856883381663,-0.40851240643619335,0.08985516685363741,9/17,False,0.3290545544310047,0.3913463395789067,-6.947466920712702
P2,V1 DRY,60,4051,-0.08104082606630117,-0.12471399954085848,0.6646347502580774,-0.7170582294018005,9/17,False,0.3290545544310047,0.3913463395789067,-6.947466920712702
P2,V2 TURN,20,1572,0.2080720827184993,0.2699781647238387,-0.4428878813442097,0.654809312957613,8/17,False,0.44338422391857507,0.3653081898231123,6.039049950132709
P2,V2 TURN,60,1572,1.013248614950881,0.7966323963963202,0.029251695645276448,1.6952266778359537,9/17,False,0.44338422391857507,0.3653081898231123,6.039049950132709
P2,V3 BOTH,20,108,-0.1934045250792991,-0.09579016446093827,-0.5531434230125211,-0.09955959518367542,11/16,False,0.4351851851851852,0.3733650416171225,1.3228934140931574
P2,V3 BOTH,60,108,0.22335751748750268,0.06474330056622929,2.8057625994827853,-0.45031337346778877,8/16,False,0.4351851851851852,0.3733650416171225,1.3228934140931574
P1,V1 DRY,20,666,-2.5603451702160185,-2.1320765961304384,,-2.5603451702160185,6/7,False,0.3228228228228228,0.4043412417970722,-3.742296871805379
P1,V1 DRY,60,666,-4.756295699200165,-2.2752212533085463,,-4.756295699200165,6/7,False,0.3228228228228228,0.4043412417970722,-3.742296871805379
P1,V2 TURN,20,304,-0.7147037668197175,-0.38625491545869317,,-0.7147037668197175,3/7,False,0.47368421052631576,0.3721724285104567,3.4240691283418943
P1,V2 TURN,60,304,-0.9976812353593394,-0.2622068125709422,,-0.9976812353593394,3/7,False,0.47368421052631576,0.3721724285104567,3.4240691283418943
P1,V3 BOTH,20,17,-0.9490180505455269,-0.20491635653700213,,-0.9490180505455269,4/6,False,0.7647058823529411,0.38136882129277566,3.2395618802388277
P1,V3 BOTH,60,17,3.390094595597576,0.20820352574238776,,3.390094595597576,3/6,False,0.7647058823529411,0.38136882129277566,3.2395618802388277
