entry_date,ticker,close,pivot,state,iv_pct,row_id,expiry,dte,ks,kl,credit,ba_s,ba_l,ba_pct_s,width,max_loss,break_date,spot_expiry,spot_break,broke,mark_s_break,mark_l_break,val_expiry,pnl_hold,pnl_hold_net,pnl_conv,pnl_conv_net,days_conv,roc_hold,roc_hold_net,roc_conv,roc_conv_net,stock_to_exit,year,iv_gate
2019-10-11,URBN,27.780000686645508,28.530000686645508,chop/B+,0.6,2,2019-11-15,35,26.0,24.0,0.3999999999999999,0.09999999999999998,0.09999999999999998,0.15384615384615383,2.0,1.6,2019-10-22,31.059999465942383,28.790000915527344,True,0.3,0.1,0.0,0.3999999999999999,0.3369999999999999,0.19999999999999993,0.07399999999999995,11.0,0.24999999999999994,0.21062499999999992,0.12499999999999994,0.04624999999999997,0.03635709877312454,2019,IV>=60pct
2019-10-18,ACAD,39.95000076293945,40.83000183105469,up/B+,,3,2019-11-22,35,36.5,32.5,1.0,0.95,0.85,0.5352112676056338,4.0,3.0,2019-10-21,47.08000183105469,43.2400016784668,True,0.975,0.525,0.0,1.0,0.537,0.55,-0.3759999999999999,3.0,0.3333333333333333,0.17900000000000002,0.18333333333333335,-0.1253333333333333,0.08235296252057611,2019,unknown
2019-10-18,TDOC,69.22000122070312,70.73999786376953,up/B+,,6,2019-11-15,28,65.0,60.0,1.15,0.1499999999999999,0.15000000000000013,0.06896551724137928,5.0,3.85,2019-10-29,80.94000244140625,71.52999877929688,True,1.2999999999999998,0.575,0.0,1.15,1.0619999999999998,0.42500000000000004,0.24900000000000003,11.0,0.2987012987012987,0.2758441558441558,0.1103896103896104,0.06467532467532468,0.03337182198579414,2019,unknown
2019-10-18,URBN,27.690000534057617,28.530000686645508,up/B+,0.7151515151515152,7,2019-11-22,35,25.5,23.5,0.5,0.1499999999999999,0.15000000000000002,0.17142857142857132,2.0,1.5,2019-10-22,25.530000686645508,28.790000915527344,True,0.65,0.25,0.0,0.5,0.41200000000000003,0.09999999999999998,-0.07599999999999998,4.0,0.3333333333333333,0.27466666666666667,0.06666666666666665,-0.05066666666666666,0.03972554569353548,2019,IV>=60pct
2019-10-25,CPRI,31.8700008392334,32.0,up/B+,,8,2019-11-29,35,29.5,26.5,0.7749999999999998,0.19999999999999996,0.14999999999999997,0.15384615384615383,3.0,2.225,2019-10-28,37.13999938964844,32.41999816894531,True,1.125,0.45,0.0,0.7749999999999998,0.6744999999999999,0.09999999999999976,-0.1010000000000002,3.0,0.34831460674157294,0.30314606741573025,0.04494382022471899,-0.04539325842696638,0.017257524795381896,2019,unknown
2019-10-25,ETSY,58.66999816894531,60.88199996948242,up/B+,,9,2019-11-29,35,54.5,50.0,1.0999999999999999,0.19999999999999973,0.10000000000000009,0.08695652173913032,4.5,3.4000000000000004,,43.38999938964844,,False,,,4.5,-3.4000000000000004,-3.4880000000000004,-3.4000000000000004,-3.4880000000000004,35.0,-1.0,-1.0258823529411765,-1.0,-1.0258823529411765,-0.26043973506351237,2019,unknown
2019-11-01,ACAD,43.0,44.099998474121094,up/B+,,11,2019-12-06,35,39.5,36.0,0.825,0.95,0.6,0.6229508196721312,3.5,2.675,2019-11-11,51.400001525878906,45.2400016784668,True,1.275,1.425,0.0,0.825,0.4245,0.9750000000000001,0.17400000000000015,10.0,0.308411214953271,0.15869158878504674,0.36448598130841126,0.06504672897196268,0.05209306228992561,2019,unknown
2019-11-01,CPRI,32.29999923706055,32.7400016784668,up/B+,,12,2019-12-06,35,29.5,27.0,0.625,0.15000000000000013,0.09999999999999998,0.12244897959183683,2.5,1.875,2019-11-04,38.130001068115234,33.290000915527344,True,0.9750000000000001,0.45,0.0,0.625,0.5495,0.09999999999999987,-0.051000000000000184,3.0,0.3333333333333333,0.29306666666666664,0.05333333333333326,-0.0272000000000001,0.030650207487648684,2019,unknown
2019-11-01,SRPT,88.56999969482422,89.37000274658203,up/B+,0.601593625498008,13,2019-12-06,35,81.0,70.0,2.525,1.3999999999999995,0.4900000000000002,0.35897435897435886,11.0,8.475,2019-11-04,109.45999908447266,90.80999755859375,True,3.125,0.845,0.0,2.525,2.0395,0.24499999999999966,-0.7260000000000002,3.0,0.29793510324483774,0.2406489675516224,0.028908554572271348,-0.08566371681415932,0.025290706463674484,2019,IV>=60pct
2019-11-08,ACAD,42.61000061035156,44.099998474121094,up/B+,,14,2019-12-13,35,39.5,36.0,0.725,0.8500000000000001,0.7,0.6181818181818183,3.5,2.775,2019-11-11,44.34000015258789,45.2400016784668,True,0.925,1.0,0.0,0.725,0.32449999999999996,0.7999999999999999,-0.001000000000000112,3.0,0.26126126126126126,0.11693693693693692,0.2882882882882883,-0.0003603603603604007,0.06172262451168109,2019,unknown
