cell,n,net,gross,t,h1,h2,yrs_pos,win,vs_ctl,t_vs_ctl,ctl_net,PASS
0.30/0.20,4920,-7.934198909881352,-4.791771203037785,-4.003722646084657,-8.61378307939643,-7.41709227266265,4/15,0.7471544715447155,-4.337486486062204,-1.6110150401513716,-5.493090673561706,False
0.30/0.15,4998,-6.686139251701694,-4.6899946315803716,-3.6340326548587987,-6.865965958043844,-6.5453188377091776,4/15,0.7617046818727491,-4.221331208117085,-1.7478749566856604,-4.307074936574591,False
0.25/0.15,4939,-7.25599857319565,-4.570980774058218,-4.313824574637553,-8.035111916180519,-6.656873806939017,4/15,0.7831544847135048,-4.226040209268372,-1.7445894519695835,-4.7038491487356175,False
0.25/0.10,4994,-5.810708740567355,-4.096905751793913,-3.949738691222691,-5.992675112377805,-5.668588072141931,4/15,0.8007609130957148,-3.6750054014567852,-1.8064990379443704,-3.6280791121125415,False
0.20/0.10,4945,-5.945563460680183,-3.719762371876655,-4.5837123617764695,-6.408780528321614,-5.589828651493987,4/15,0.8258847320525784,-3.457890124027474,-1.80922204543693,-3.766639521053197,False
0.20/0.05,4976,-4.100056020365996,-2.8345265234777703,-4.047796762436892,-4.1070907672346255,-4.094597940532877,3/15,0.8420418006430869,-2.584518039184633,-1.8503690998027058,-2.472567576747823,False
0.15/0.05,4910,-3.8518827458479814,-2.4640186036163922,-4.404904468312075,-3.822150058141713,-3.8743257181266237,4/15,0.8741344195519348,-2.134389671966338,-1.7902079793954115,-2.4775776750505294,False
0.10/0.03,4766,-2.8562983428235094,-1.5152953311135882,-4.6115778808612315,-2.9767412124224397,-2.7700322759771745,3/15,0.9118757868233319,-1.1695327817650303,-1.2052251337404707,-1.9481678428865363,False
