d,r,g,ctrl,yr
2007-01-05,-0.006126616746085833,-9.132420091324533,15.978087194704615,2007
2007-01-08,0.0031934306569341153,-18.19008640291053,-6.835269993165083,2007
2007-01-09,0.0066059225512529185,-15.840687938447617,13.608528010886634,2007
2007-01-10,0.010199456029011955,15.705631590756663,2.2578460149014212,2007
2007-01-11,0.008960573476702427,6.66074600355282,-11.074197120708451,2007
2007-01-12,0.004881295762147797,6.623978803268482,-11.042402826856312,2007
2007-01-16,-0.0022065313327449543,-11.057054400709365,-11.035091591260482,2007
2007-01-17,-0.0068478020764303205,13.345195729538295,11.069293779057965,2007
2007-01-18,-0.016703786191536785,18.120045300112906,-13.553196295459369,2007
2007-01-19,0.002269117313365099,-2.2639800769763685,-20.34358047016349,2007
2007-01-22,-0.010190217391304213,4.575611988104633,-22.941041523283356,2007
2007-01-23,-0.0016021972991531186,9.170105456212108,-11.470520761642788,2007
2007-01-24,0.015603487838458108,6.778129236331143,-4.5238633793265315,2007
2007-01-25,-0.013547076089410748,-0.0,-0.0,2007
2007-01-26,-0.00045777065690078,22.89901534234029,-0.0,2007
2007-01-29,0.0,0.0,18.3570445158332,2007
2007-01-30,0.00045861041045647255,11.46000458400076,6.882312456986117,2007
2007-01-31,0.010302197802197766,-15.862225243598038,-13.729977116705427,2007
2007-02-01,0.00045392646391273495,-18.14882032667886,9.092975676290305,2007
2007-02-02,0.0024999999999999467,13.602357742008575,-18.09954751131326,2007
2007-02-05,0.0,-0.0,-6.793478260869179,2007
2007-02-06,-0.000906412871062745,6.804264005443317,-2.2862368541365363,2007
2007-02-07,0.007489786654562014,22.52759630547496,-13.437849944007985,2007
2007-02-08,0.00022476961114858973,2.2471910112353832,-4.498425551056062,2007
2007-02-09,-0.012132105144911254,18.194223334091486,-13.673655423882547,2007
2007-02-12,-0.0043290043290042934,-2.2883295194509046,2.285714285713558,2007
2007-02-13,0.0016014641958361775,15.989036089538722,-6.839945280437965,2007
2007-02-14,0.01710376282782211,-6.7264573991032695,20.22471910112511,2007
2007-02-15,0.0044873233116446976,8.934554389099514,2.2381378692926113,2007
2007-02-16,0.0,-0.0,-0.0,2007
2007-02-20,0.0069227333631085575,-8.871146595699209,-15.555555555555323,2007
2007-02-21,0.0015538290788013054,15.5141843971629,-13.297872340424233,2007
2007-02-22,0.0019915910599690445,30.918727915194566,2.2099447513812542,2007
2007-02-23,-0.0019815059445179584,15.442311934701358,19.885108263366646,2007
2007-02-26,-0.007512152010605289,-33.392698130008114,-4.458314757023185,2007
