edate,pair,regime,credit,width,max_loss,pnl,pnl_gross,cost,exit,days,iv_pct,iv30,vix,vix_pct,roc,roc_gross,win,year,iv_b,vix_b
2018-01-05,0.35/0.25,Bullish_LowIV,0.235,1.0,0.765,0.11399999999999996,0.15499999999999997,0.04100000000000001,profit_take,7,,0.13188365743137154,,,0.1490196078431372,0.20261437908496727,True,2018,,
2018-01-05,0.45/0.35,Bullish_LowIV,0.51,1.5,0.99,0.24899999999999997,0.295,0.04600000000000001,profit_take,7,,0.13188365743137154,,,0.25151515151515147,0.29797979797979796,True,2018,,
2018-01-05,0.25/0.15,Bullish_LowIV,0.36,2.5,2.14,0.34199999999999997,0.36,0.018000000000000002,expiry_win,21,,0.13188365743137154,,,0.1598130841121495,0.16822429906542055,True,2018,,
2018-01-12,0.35/0.25,Bullish_LowIV,0.4750000000000001,2.0,1.525,0.30400000000000016,0.3450000000000001,0.04099999999999995,profit_take,10,,0.14127754944438217,10.16,,0.1993442622950821,0.22622950819672139,True,2018,,
2018-01-12,0.45/0.35,Bullish_LowIV,0.53,1.5,0.97,0.2839999999999999,0.32999999999999996,0.04600000000000001,profit_take,10,,0.14127754944438217,10.16,,0.2927835051546391,0.34020618556701027,True,2018,,
2018-01-12,0.25/0.15,Bullish_LowIV,0.33999999999999997,2.5,2.16,0.13400000000000004,0.16999999999999998,0.03599999999999995,profit_take,7,,0.14127754944438217,10.16,,0.06203703703703705,0.07870370370370369,True,2018,,
2018-01-19,0.35/0.25,Bullish_LowIV,0.47,2.0,1.53,0.204,0.25,0.04600000000000001,profit_take,4,,0.15338156017071794,11.27,,0.13333333333333333,0.16339869281045752,True,2018,,
2018-01-19,0.45/0.35,Bullish_LowIV,0.5050000000000001,1.5,0.9949999999999999,0.26900000000000013,0.3200000000000001,0.05100000000000002,profit_take,7,,0.15338156017071794,11.27,,0.27035175879397,0.3216080402010052,True,2018,,
2018-01-19,0.25/0.15,Bullish_LowIV,0.4149999999999999,3.0,2.585,0.1689999999999999,0.2099999999999999,0.04100000000000001,profit_take,11,,0.15338156017071794,11.27,,0.06537717601547385,0.08123791102514503,True,2018,,
2018-01-26,0.35/0.25,Bullish_LowIV,0.6500000000000001,2.5,1.8499999999999999,-1.8679999999999999,-1.8499999999999999,0.018000000000000002,expiry_loss,21,,0.17030368751592134,11.08,,-1.0097297297297296,-1.0,False,2018,,
