day,w,gex,credit,maxrisk,width_c,width_p,straddle_mid,pnl_usd,ret_risk,ret_credit,NEG,half,yr
2011-03-31,1.0,-182816709.01920074,0.4414999999999999,0.5585000000000001,1.0,1.0,0.535,2.1499999999998187,3.8495971351832017,4.869762174405027,True,2010-2017,2011
2011-03-31,2.0,-182816709.01920074,0.4414999999999999,0.5585000000000001,1.0,1.0,0.535,2.1499999999998187,3.8495971351832017,4.869762174405027,True,2010-2017,2011
2011-04-01,1.0,-179450451.15782806,0.5065,0.49350000000000005,1.0,1.0,0.635,5.649999999999711,11.448834853089584,11.154985192496962,True,2010-2017,2011
2011-04-01,2.0,-179450451.15782806,0.5065,0.49350000000000005,1.0,1.0,0.635,5.649999999999711,11.448834853089584,11.154985192496962,True,2010-2017,2011
2011-04-21,1.0,813038.0950398397,0.39649999999999996,0.6035,1.0,1.0,0.575,6.650000000000167,11.01905550952803,16.771752837327032,False,2010-2017,2011
2011-04-21,2.0,813038.0950398397,0.39649999999999996,0.6035,1.0,1.0,0.575,6.650000000000167,11.01905550952803,16.771752837327032,False,2010-2017,2011
2011-05-06,1.0,-114830066.87704724,0.5539999999999999,0.44600000000000006,1.0,1.0,0.6900000000000001,7.400000000000306,16.59192825112176,13.357400722022215,True,2010-2017,2011
2011-05-06,2.0,-114830066.87704724,0.5539999999999999,0.44600000000000006,1.0,1.0,0.6900000000000001,7.400000000000306,16.59192825112176,13.357400722022215,True,2010-2017,2011
2011-05-13,1.0,-38356414.95762512,0.344,0.656,1.0,1.0,0.42000000000000004,-24.600000000000342,-37.50000000000052,-71.51162790697775,True,2010-2017,2011
2011-05-13,2.0,-38356414.95762512,0.344,0.656,1.0,1.0,0.42000000000000004,-24.600000000000342,-37.50000000000052,-71.51162790697775,True,2010-2017,2011
2011-05-27,1.0,-280762169.8737308,0.3115,0.6885,1.0,1.0,0.385,-10.85000000000017,-15.758896151053262,-34.831460674157846,True,2010-2017,2011
2011-05-27,2.0,-280762169.8737308,0.3115,0.6885,1.0,1.0,0.385,-10.85000000000017,-15.758896151053262,-34.831460674157846,True,2010-2017,2011
2011-06-03,1.0,-336483791.639424,0.429,0.571,1.0,1.0,0.5449999999999999,-21.10000000000006,-36.95271453590203,-49.18414918414932,True,2010-2017,2011
2011-06-03,2.0,-336483791.639424,0.429,0.571,1.0,1.0,0.5449999999999999,-21.10000000000006,-36.95271453590203,-49.18414918414932,True,2010-2017,2011
2011-06-10,1.0,-478061550.89773184,0.45899999999999996,0.541,1.0,1.0,0.565,7.899999999999741,14.602587800369204,17.211328976034295,True,2010-2017,2011
2011-06-10,2.0,-478061550.89773184,0.45899999999999996,0.541,1.0,1.0,0.565,7.899999999999741,14.602587800369204,17.211328976034295,True,2010-2017,2011
2011-06-30,1.0,198446632.29502186,0.4339999999999999,0.5660000000000001,1.0,1.0,0.5349999999999999,-56.60000000000001,-100.0,-130.41474654377885,False,2010-2017,2011
2011-06-30,2.0,198446632.29502186,0.4339999999999999,0.5660000000000001,1.0,1.0,0.5349999999999999,-56.60000000000001,-100.0,-130.41474654377885,False,2010-2017,2011
2011-07-08,1.0,-30578784.810239993,0.5039999999999999,0.4960000000000001,1.0,1.0,0.635,48.39999999999968,97.58064516128965,96.03174603174541,True,2010-2017,2011
2011-07-08,2.0,-30578784.810239993,0.5039999999999999,0.4960000000000001,1.0,1.0,0.635,48.39999999999968,97.58064516128965,96.03174603174541,True,2010-2017,2011
2011-07-22,1.0,-31029616.246900033,0.4014999999999999,0.5985,1.0,1.0,0.55,-20.84999999999995,-34.83709273182949,-51.93026151930251,True,2010-2017,2011
2011-07-22,2.0,-31029616.246900033,0.4014999999999999,0.5985,1.0,1.0,0.55,-20.84999999999995,-34.83709273182949,-51.93026151930251,True,2010-2017,2011
2011-07-29,1.0,-191059438.6410675,0.5615,0.4385,1.0,1.0,0.77,56.15,128.05017103762827,100.0,True,2010-2017,2011
2011-07-29,2.0,-191059438.6410675,0.679,1.321,2.0,2.0,0.77,67.9,51.400454201362614,100.0,True,2010-2017,2011
2011-08-05,1.0,-262925747.06011078,0.7314999999999999,0.26850000000000007,1.0,1.0,1.365,58.150000000000134,216.57355679702093,79.49419002050601,True,2010-2017,2011
2011-08-05,2.0,-262925747.06011078,1.189,1.811,3.0,3.0,1.365,103.90000000000015,57.371617890668226,87.38435660218683,True,2010-2017,2011
2011-08-12,1.0,-151056891.75970802,0.6389999999999998,0.3610000000000002,1.0,1.0,1.145,6.899999999999951,19.113573407202068,10.798122065727627,True,2010-2017,2011
2011-08-12,2.0,-151056891.75970802,0.9164999999999998,1.0835000000000004,2.0,2.0,1.145,34.64999999999995,31.97969543147202,37.806873977086696,True,2010-2017,2011
2011-08-26,1.0,-117685269.16964358,0.6214999999999999,0.37850000000000006,1.0,1.0,1.095,-37.85000000000001,-100.0,-60.901045856798085,True,2010-2017,2011
2011-08-26,2.0,-117685269.16964358,0.914,1.0859999999999999,2.0,2.0,1.095,-17.60000000000034,-16.206261510129227,-19.25601750547083,True,2010-2017,2011
2011-09-02,1.0,-109068183.9502322,0.5314999999999999,0.46850000000000014,1.0,1.0,0.8849999999999999,-46.850000000000016,-100.0,-88.14675446848547,True,2010-2017,2011
2011-09-02,2.0,-109068183.9502322,0.709,1.291,2.0,2.0,0.8849999999999999,-102.09999999999968,-79.08597986057295,-144.0056417489417,True,2010-2017,2011
