date,sym,ext10,arm,entry,legs,pnl,post,xname,day_ret,e_post,e_x
2026-02-02,AAOI,0.12038846013508575,10:32,14:00,1,6.585998307952629,4.9269014515052785,-0.32783103837693484,5.076172339919061,1.6590968564473503,6.913829346329564
2026-02-03,GLW,0.1044283593846389,09:30,09:45,1,0.7461293160325498,-0.0875393528378757,0.516506572540397,-3.861892583120208,0.8336686688704256,0.22962274349215284
2026-02-03,LITE,0.14507164421027952,09:30,09:45,1,1.1155647195146878,1.2395803840387583,1.1219023026996584,-3.7056714039048977,-0.12401566452407042,-0.006337583184970574
2026-02-03,SNDK,0.2811974505946988,09:30,09:45,1,-4.086997711944233,-4.533506931692878,-1.1778482008648654,0.23412961415438804,0.44650921974864577,-2.9091495110793675
2026-02-03,STX,0.132478735241792,09:30,09:45,1,-0.8122677465459645,-1.7842904157826065,1.3133576496999728,-1.6289963566294974,0.972022669236642,-2.1256253962459373
2026-02-04,GEV,0.10884508753247668,09:30,09:52,1,4.671172505362069,-1.600167747601318,-1.2680194754679397,-6.007556675062975,6.2713402529633875,5.939191980830008
2026-02-04,LITE,0.15226839492199296,09:30,10:02,1,2.7413533834586485,-2.9347767097178385,0.19413311498815555,-1.624323638823133,5.6761300931764875,2.547220268470493
2026-02-04,TER,0.16127240000672294,09:30,09:50,1,6.891176470588237,0.8845207958552462,0.1836664331123286,-5.206020231926967,6.006655674732991,6.707510037475908
2026-02-05,DINO,0.10088724321824682,09:30,09:47,2,-2.081023483162979,-1.330714327841811,1.766429301627436,0.8734402852049961,-0.750309155321168,-3.847452784790415
2026-02-05,DK,0.12128072295046133,09:30,11:14,1,-1.8139077340569905,-1.0114814593126715,-1.1277945042620683,5.502020516008699,-0.8024262747443189,-0.6861132297949222
2026-02-06,AXTI,0.11026576163055357,09:33,09:53,1,-5.333989709083726,-5.406918609500952,0.024773224417532547,12.424100887435774,0.07292890041722622,-5.358762933501258
2026-02-06,DK,0.14022703227829303,09:30,10:48,1,-0.3039503386004611,-0.4139738239348949,-1.6200283787093284,4.224112643003797,0.11002348533443379,1.3160780401088672
2026-02-06,LITE,0.25195456531315763,09:30,09:47,1,-3.3011339583542707,-4.403806934983866,-0.9561010917355353,2.2814814814814843,1.102672976629595,-2.3450328666187357
2026-02-09,AXTI,0.26186602277836624,09:30,10:00,2,-7.143781967947787,-1.5552683461230377,0.1536955912334872,13.208316347329795,-5.58851362182475,-7.297477559181274
