date,EQ precision-tier breakout,EQ all breakouts,EQ counter-trend long,EQ earnings drift good+muted,EQ in-play up mover,EQ in-play down mover (short),EQ bouncy ball (short),EQ boring stock violent move,EQ VCP damped sine,EQ Kell wedge pop,EQ DR-EP catalyst+retrace,EQ reclaim,OPT QQQ bull put Bullish_LowIV,OPT ASHR Bear Call Spread,OPT ASHR Bull Put Spread,OPT BJ Bull Put Spread,OPT GLD Bull Put Spread,OPT SQQQ Bear Call Spread,OPT TLT Bear Call Spread,OPT TMF Bear Call Spread,OPT USO Bull Put Spread,OPT XOP Bull Put Spread,OPT SPY 1-day iron fly (all days),OPT ETF 7-DTE long straddle,OPT UVXY combined,OPT ETF 45-DTE put-spread roster
2016-02-01,,,,,,,,,,,,,,,,,,,,,,,9.357729592990902,,,
2016-03-01,,,,,,,,,,,,,,,,,,,,,,,21.967747553019123,,,
2016-04-01,,,,,,,,,,,,,,,,,,,,,,,36.98662734066276,,,
2016-05-01,,,,,,,,,,,,,,,,,,,,,,,-2.583002025515213,,,
2016-06-01,,,,,,,,,,,,,,,,,,,,,,,-41.79943443968432,,,
2016-07-01,,,,,,,,,,,,,,,,,,,,,,,10.904485319097585,,,
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,27.656782695910184,,,
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,-6.887062421889166,,,
2016-10-01,,,,,,,,,,,,,,,,,,,,,,,47.21655753557639,,,
2016-11-01,,,,,,,,,,,,,,,,,,,,,,,38.770224963397965,,,
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,-10.204160394272375,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,-13.48038970184045,,,
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,-4.506393929808938,,,
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,32.52503495330442,,,
2017-04-01,,,,,,,,,,,,,,,,,,,,,,,23.504300916633547,,,
2017-05-01,,,,,,,,,,,,,,,,,,,,,,,-5.933739322528577,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,28.704453705048326,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,,,,-13.263308218820312,,,
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,26.244795261623167,,,
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,14.75802777490156,,,
2017-10-01,,,,,,,,,,,,,,,,,,,,,,,-28.894798405647126,,,
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,6.40021426423468,,,
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,7.772908491848259,,,
2018-01-01,,,,,,,,,,,,,-0.15193736815748124,,,,0.1736703914540727,,,,,-0.741308300004166,-34.671620840308265,,-0.1815438437470015,
2018-02-01,,,,,,,,,,,,,0.25779633149148284,,,,-0.030151775257251268,,,,,0.22710529899785495,-24.11832895311581,,0.1199307896418671,
2018-03-01,,,,,,,,,,,,,-0.6199380172003746,,,,0.11194876729952598,,,,,0.14157537911692913,-1.5889456766738712,,-0.29484901091881704,
2018-04-01,,,,,,,,,,,,,,,,,-0.43400046200046194,,,,,0.1747483291562238,-0.025646998750462904,0.26486354903691134,-0.14792109732238726,
2018-05-01,,,,,,,,,,,,,0.2478413176676902,,,,-0.18867507022959235,,,,,0.17940656113915313,-15.513894020907978,0.19780205844393742,0.05335655421631505,
2018-06-01,,,,,,,,,,,,,0.15333193779512863,,,,-0.5804443856403171,,,,,0.1872469160670462,-8.143895079139881,0.11880019201354948,-0.1574768935568101,
2018-07-01,,,,,,,,,,,,,0.21518911477215352,,,,-0.8091114357437021,,,,,0.2593278989309794,-8.927198215084253,0.15517916814479438,0.057562624074298754,0.05398173656024742
