tk,days,neg_share,T1_pass,T1_b,T1_t,T1_pct,T2_pass,T2_g,T2_t,T3_pass,T3_edge,T3_t,T3_days
SPY,3985,0.5739021329987453,True,0.07809320819172796,7.713196794250443,8.12234328545507,False,0.056606999554547774,2.0124072547366327,False,-5.390713130908055,-4.204834420066332,1934
QQQ,3680,0.5260869565217391,True,0.03913110554016476,4.143868300302314,3.9906812257586743,False,0.050831642574050304,1.6801707390617093,False,-4.347134609737248,-2.3594305124551718,1483
