sym,date,expiry,wing,width,credit,cw,roc,win,iv,S,ST,month
AAPL,2018-01-05,2018-02-02,0.25,2.5,0.5870000000000001,0.23480000000000004,-1.0,False,0.25465,175.12882178705013,160.49822207890406,2018-01
AAPL,2018-01-05,2018-02-02,0.2,5.0,1.0970000000000002,0.21940000000000004,-1.0,False,0.25465,175.12882178705013,160.49822207890406,2018-01
AAPL,2018-01-05,2018-02-02,0.15,7.5,1.4770000000000003,0.19693333333333338,-1.0,False,0.25465,175.12882178705013,160.49822207890406,2018-01
AAPL,2018-01-05,2018-02-02,0.1,10.0,1.7570000000000001,0.17570000000000002,-0.9395581609967167,False,0.25465,175.12882178705013,160.49822207890406,2018-01
AAPL,2018-01-12,2018-02-09,0.25,2.5,0.6370000000000003,0.25480000000000014,-1.0,False,0.25375,176.84107350755517,156.49694178244272,2018-01
AAPL,2018-01-12,2018-02-09,0.2,5.0,1.2270000000000003,0.24540000000000006,-1.0,False,0.25375,176.84107350755517,156.49694178244272,2018-01
AAPL,2018-01-12,2018-02-09,0.15,7.5,1.6570000000000003,0.22093333333333337,-1.0,False,0.25375,176.84107350755517,156.49694178244272,2018-01
AAPL,2018-01-12,2018-02-09,0.1,10.0,1.9570000000000003,0.19570000000000004,-1.0,False,0.25375,176.84107350755517,156.49694178244272,2018-01
AAPL,2018-01-19,2018-02-16,0.15,5.0,0.9069999999999999,0.18139999999999998,0.221597849987784,True,0.2702,178.34738610303316,172.70757704837632,2018-01
AAPL,2018-01-19,2018-02-16,0.1,5.0,0.9069999999999999,0.18139999999999998,0.221597849987784,True,0.2702,178.34738610303316,172.70757704837632,2018-01
AAPL,2018-01-26,2018-02-23,0.25,2.5,0.6670000000000001,0.26680000000000004,0.363884342607747,True,0.2859,171.3044948192335,175.44510622652018,2018-01
AAPL,2018-01-26,2018-02-23,0.2,5.0,1.247,0.2494,0.33226751931787907,True,0.2859,171.3044948192335,175.44510622652018,2018-01
AAPL,2018-01-26,2018-02-23,0.15,7.5,1.677,0.2236,0.2879958784131891,True,0.2859,171.3044948192335,175.44510622652018,2018-01
AAPL,2018-01-26,2018-02-23,0.1,10.0,2.007,0.20070000000000002,0.2510947078693857,True,0.2859,171.3044948192335,175.44510622652018,2018-01
AAPL,2018-02-02,2018-03-02,0.25,2.5,0.46699999999999997,0.1868,0.22970978848991638,True,0.2617,160.49822207890406,176.36301449602547,2018-02
AAPL,2018-02-02,2018-03-02,0.2,5.0,1.047,0.20939999999999998,0.26486213002782694,True,0.2617,160.49822207890406,176.36301449602547,2018-02
AAPL,2018-02-02,2018-03-02,0.15,6.0,1.2269999999999999,0.2045,0.257071024512885,True,0.2617,160.49822207890406,176.36301449602547,2018-02
AAPL,2018-02-02,2018-03-02,0.1,9.0,1.637,0.18188888888888888,0.22232785549368467,True,0.2617,160.49822207890406,176.36301449602547,2018-02
AAPL,2018-02-09,2018-03-09,0.25,2.0,0.33699999999999963,0.16849999999999982,0.20264582080577245,True,0.3142,156.49694178244272,179.8861608846788,2018-02
AAPL,2018-02-09,2018-03-09,0.2,5.0,0.9269999999999999,0.18539999999999998,0.22759636631475566,True,0.3142,156.49694178244272,179.8861608846788,2018-02
AAPL,2018-02-09,2018-03-09,0.15,8.0,1.347,0.168375,0.20246505335938672,True,0.3142,156.49694178244272,179.8861608846788,2018-02
AAPL,2018-02-09,2018-03-09,0.1,10.0,1.577,0.1577,0.1872254541137362,True,0.3142,156.49694178244272,179.8861608846788,2018-02
AAPL,2018-02-23,2018-03-23,0.2,2.5,0.4069999999999999,0.16279999999999997,-1.0,False,0.20165,175.44510622652018,165.49685827253347,2018-02
AAPL,2018-02-23,2018-03-23,0.15,5.0,0.7769999999999999,0.15539999999999998,-0.8823447140579037,False,0.20165,175.44510622652018,165.49685827253347,2018-02
AAPL,2018-02-23,2018-03-23,0.1,7.5,1.017,0.1356,-0.5377358826880344,False,0.20165,175.44510622652018,165.49685827253347,2018-02
AAPL,2018-03-09,2018-04-06,0.25,2.5,0.46699999999999997,0.1868,-1.0,False,0.1892,179.8861608846788,168.88342005816133,2018-03
AAPL,2018-03-09,2018-04-06,0.2,2.5,0.46699999999999997,0.1868,-1.0,False,0.1892,179.8861608846788,168.88342005816133,2018-03
AAPL,2018-03-09,2018-04-06,0.15,5.0,0.827,0.1654,-1.0,False,0.1892,179.8861608846788,168.88342005816133,2018-03
AAPL,2018-03-09,2018-04-06,0.1,7.5,1.077,0.1436,-0.7846146569887382,False,0.1892,179.8861608846788,168.88342005816133,2018-03
AAPL,2018-03-16,2018-04-13,0.2,2.5,0.4069999999999999,0.16279999999999997,0.1944577161968466,True,0.1969,178.43484434530757,174.94719284529205,2018-03
