date,sym,follows,B_pct,A_pct,B_R,A_R,early_pct,late_pct,early_ext,late_ext,lag
2020-11-19,AA,True,22.733681361501958,17.28163199145165,5.676137106839339,5.810204087171256,22.733681361501958,17.28163199145165,3.7169719986052154,3.8762901158644074,2.0
2021-08-11,AA,False,-7.015527838220226,0.0,-2.0173357794663223,0.0,-7.015527838220226,,2.2691785496500074,,
2022-02-16,AA,False,-5.007769300954157,0.0,-1.220183452051595,0.0,-5.007769300954157,,2.34555598529636,,
2025-12-18,AA,True,21.280648858515082,14.01563187899355,8.565705176866611,2.6039644122490953,21.280648858515082,14.01563187899355,2.394576880512788,3.356998145359709,1.0
2021-03-12,AAL,False,-4.897286460334527,0.0,-0.9068118286425594,0.0,-4.897286460334527,,1.9565832191551462,,
2025-07-22,AAP,False,-9.293272936002861,0.0,-1.567211737386865,0.0,-9.293272936002861,,2.4679802824580284,,
2026-07-17,ACHC,False,-5.985319028797276,0.0,-1.132912558392751,0.0,-5.985319028797276,,2.3423465777707952,,
2023-03-01,ACLS,False,-2.5167037964273553,0.0,-1.1639151623670287,0.0,-2.5167037964273553,,1.8610355586377187,,
2026-04-09,ACLS,False,34.83723258539815,0.0,8.843355277360516,0.0,34.83723258539815,,2.460220220718275,,
2026-06-22,ADI,False,-8.762169187318403,0.0,-4.097618675879463,0.0,-8.762169187318403,,1.601250177671494,,
2025-12-11,AEIS,False,-8.936934570478716,0.0,-2.0984255823885523,0.0,-8.936934570478716,,1.1648893020836653,,
2026-02-09,AEIS,True,11.362852812982748,-6.140253001759088,5.337438274604468,-1.4634704498773927,11.362852812982748,-6.140253001759088,1.5023470866421156,2.314128567290773,8.0
2026-04-09,AEIS,False,-3.816753750055868,0.0,-1.7188209100642626,0.0,-3.816753750055868,,2.0010465105002764,,
2020-05-04,AEM,False,-0.19980019980018193,0.0,-0.07355314166404088,0.0,-0.19980019980018193,,2.520474412794844,,
2026-02-23,AEM,False,-7.919853943552435,0.0,-1.7767589244568942,0.0,-7.919853943552435,,2.6214767707187927,,
2020-12-04,AEO,False,45.354413830848905,0.0,11.452358652803005,0.0,45.354413830848905,,1.9898352811199775,,
2021-04-21,AEO,True,-6.743184888297316,-3.670191246548138,-1.2921072886223761,-1.74945782752129,-6.743184888297316,-3.670191246548138,2.6874177420077427,2.7372250025704594,1.0
2025-09-11,AEO,False,-6.66315699157728,0.0,-1.9245627114580643,0.0,-6.66315699157728,,3.948381345379398,,
2025-11-24,AEO,True,35.78606119838121,31.918307074520147,12.237456188222588,9.522208523507855,35.78606119838121,31.918307074520147,2.119228852879504,2.4448077374057515,1.0
2026-04-27,AESI,True,8.525241338032231,5.9866416791012345,1.6831671262552907,2.5805507640481475,8.525241338032231,5.9866416791012345,2.604573613584324,2.6313124023455883,1.0
2023-09-11,AFRM,False,-10.023153448748378,0.0,-2.5330934818079798,0.0,-10.023153448748378,,2.8746058305276643,,
2024-12-16,AFRM,False,-13.239848783711716,0.0,-2.756661589551889,0.0,-13.239848783711716,,1.4711931176762518,,
